elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1200,9600,8,194,8,8,30,238,4,55,9,8,outdoor
1192,9533,8,194,8,8,30,237,4,55,9,8,outdoor
1204,9634,8,194,8,8,30,238,4,55,9,8,outdoor
1227,9818,8,194,8,8,30,239,4,55,9,8,outdoor
1276,10208,8,194,8,8,31,248,4,55,9,6,outdoor
1274,10194,8,194,8,8,31,247,4,55,9,6,outdoor
1279,10232,8,194,8,8,31,246,4,56,9,6,outdoor
1267,10134,8,194,8,8,30,243,4,58,9,6,outdoor
1274,10196,8,194,8,8,32,254,4,60,10,8,outdoor
1264,10110,8,194,8,8,32,253,4,61,10,8,outdoor
1267,10135,8,194,8,8,32,253,4,62,10,8,outdoor
1251,10006,8,194,8,8,31,250,4,62,10,8,outdoor
1226,9812,8,194,8,8,31,245,4,63,10,8,outdoor
1208,9666,8,194,8,8,30,242,4,63,10,8,outdoor
1193,9542,8,194,8,7,30,238,4,63,10,8,outdoor
1178,9427,8,194,8,7,30,236,4,63,10,8,outdoor
1216,9724,8,194,8,8,30,241,4,64,10,6,outdoor
1216,9729,8,194,8,8,30,241,4,64,10,6,outdoor
1212,9695,8,194,8,8,30,240,4,64,10,6,outdoor
1207,9657,8,194,8,8,30,241,4,64,10,6,outdoor
1209,9674,8,194,8,8,30,242,4,64,10,4,outdoor
1216,9728,8,194,8,8,30,242,4,64,10,4,outdoor
1223,9782,8,194,8,8,30,243,4,64,10,4,outdoor
1217,9737,8,194,8,8,30,241,5,64,10,6,outdoor
1221,9771,8,194,8,8,30,243,5,64,10,6,outdoor
1232,9859,8,194,8,8,30,243,5,64,10,6,outdoor
1238,9901,8,194,8,8,30,243,5,64,10,6,outdoor
1229,9833,8,194,8,8,30,242,5,64,10,6,outdoor
1223,9785,8,194,8,8,30,240,5,64,10,6,outdoor
1215,9717,8,194,8,8,30,239,5,64,10,8,outdoor
1206,9646,8,194,8,8,30,238,5,64,10,8,outdoor
1208,9667,8,194,8,8,30,238,5,64,10,8,outdoor
1203,9623,8,194,8,8,30,236,5,64,10,8,outdoor
1194,9555,8,194,8,8,29,235,5,64,10,8,outdoor
1178,9424,8,194,8,8,29,232,5,64,10,12,outdoor
1174,9388,8,194,8,8,29,233,5,64,10,12,outdoor
1174,9388,8,194,8,8,29,233,5,64,10,12,outdoor
1170,9361,8,194,8,8,29,231,5,64,10,12,outdoor
1170,9357,8,194,8,8,29,231,5,64,10,12,outdoor
1170,9358,8,194,8,8,29,232,5,64,10,8,outdoor
1206,9646,8,194,8,8,30,239,5,64,10,8,outdoor
1235,9882,8,194,8,8,31,245,5,64,10,8,outdoor
1253,10027,8,194,8,8,31,249,5,64,10,8,outdoor
1255,10042,8,194,8,8,31,249,5,64,10,8,outdoor
1252,10018,8,194,8,8,32,252,5,64,10,8,outdoor
1236,9891,8,194,8,8,31,249,5,64,10,8,outdoor
1276,10208,8,194,8,8,32,258,5,64,10,8,outdoor
1271,10169,8,194,8,8,32,257,5,64,10,8,outdoor
1276,10206,8,194,8,8,32,259,6,64,10,8,outdoor
1258,10068,8,194,8,8,32,257,6,64,10,8,outdoor
1265,10121,8,194,8,8,32,260,6,64,10,8,outdoor
1268,10143,8,194,8,8,33,261,6,64,10,8,outdoor
1272,10180,8,194,8,8,32,260,6,64,10,8,outdoor
1275,10202,8,194,8,8,32,260,6,64,10,8,outdoor
1269,10154,8,194,8,8,32,258,6,64,10,8,outdoor
1278,10220,8,194,8,8,32,257,6,64,10,8,outdoor
1274,10191,8,194,8,8,32,257,6,65,11,8,outdoor
1272,10176,8,194,8,8,32,257,6,65,11,8,outdoor
1263,10104,8,194,8,8,32,256,6,65,11,8,outdoor
1256,10050,8,194,8,8,32,255,6,65,11,8,outdoor
1250,10004,8,194,8,8,32,256,6,65,11,8,outdoor
1249,9992,8,194,8,8,32,255,6,65,11,8,outdoor
1245,9962,8,194,8,8,32,254,6,65,11,8,outdoor
1242,9935,8,194,8,8,32,252,6,65,11,8,outdoor
1226,9811,8,194,8,8,31,248,6,65,11,8,outdoor
1217,9735,8,194,8,8,31,245,6,65,11,8,outdoor
1216,9724,8,194,8,8,30,244,6,65,11,8,outdoor
1210,9679,8,194,8,8,30,243,6,65,11,8,outdoor
1205,9637,8,194,8,8,30,240,6,65,11,8,outdoor
1190,9522,8,194,8,8,30,238,6,65,11,8,outdoor
1187,9495,8,194,8,8,30,236,6,65,11,8,outdoor
