elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
955,8592,9,250,9,9,26,232,9,137,22,32,indoor
967,8700,9,250,9,9,26,234,9,130,21,32,indoor
978,8805,9,250,9,9,27,242,9,137,22,16,indoor
972,8747,9,250,9,9,27,240,9,139,22,16,indoor
959,8629,9,250,9,9,26,238,9,142,23,16,indoor
963,8666,9,250,9,9,27,239,9,143,23,12,indoor
962,8660,9,250,9,9,26,238,9,145,23,12,indoor
974,8768,9,250,9,9,27,243,9,145,23,12,indoor
987,8886,9,250,9,9,27,244,9,145,23,12,indoor
982,8840,9,250,9,9,27,243,9,145,23,12,indoor
982,8840,9,250,9,9,27,243,9,144,23,12,indoor
977,8791,9,250,9,9,27,243,9,144,23,12,indoor
976,8784,9,250,9,9,27,243,9,144,23,12,indoor
964,8673,9,250,9,9,27,243,9,143,23,8,indoor
964,8676,9,250,9,9,27,242,9,143,23,8,indoor
968,8711,9,250,9,9,27,242,9,143,23,8,indoor
974,8766,9,250,9,9,27,244,9,143,23,8,indoor
974,8766,9,250,9,9,27,244,9,143,23,8,indoor
971,8739,9,250,9,9,27,244,9,143,23,8,indoor
980,8816,9,250,9,9,27,245,9,143,23,8,indoor
995,8954,9,250,9,9,28,249,9,143,23,8,indoor
1000,9003,9,250,9,9,28,249,9,143,23,8,indoor
990,8907,9,250,9,9,27,247,9,143,23,8,indoor
979,8812,9,250,9,9,27,245,9,143,23,8,indoor
980,8822,9,250,9,9,27,245,9,143,23,8,indoor
983,8846,9,250,9,9,27,247,9,143,23,8,indoor
1007,9059,9,250,9,9,28,251,9,143,23,8,indoor
997,8977,9,250,9,9,28,249,9,143,23,8,indoor
997,8976,9,250,9,9,28,248,9,143,23,8,indoor
997,8977,9,250,9,9,27,247,9,143,23,6,indoor
984,8860,9,250,9,9,27,245,9,143,23,6,indoor
983,8847,9,250,9,9,27,243,9,143,23,6,indoor
985,8864,9,250,9,9,27,245,9,143,23,6,indoor
984,8859,9,250,9,9,27,245,9,143,23,6,indoor
993,8936,9,250,9,9,27,246,9,143,23,6,indoor
981,8829,9,250,9,9,27,242,9,143,23,6,indoor
982,8837,9,250,9,9,27,246,9,143,23,6,indoor
983,8849,9,250,9,9,27,247,9,143,23,8,indoor
995,8952,9,250,9,9,28,252,9,143,23,8,indoor
979,8810,9,250,9,9,28,249,9,143,23,8,indoor
976,8783,9,250,9,9,28,248,9,144,23,8,indoor
1017,9156,9,250,9,9,29,260,9,144,23,8,indoor
1017,9156,9,250,9,9,29,260,9,144,23,8,indoor
1028,9253,9,250,9,9,29,262,9,144,23,8,indoor
1057,9515,9,250,9,9,30,266,9,144,23,6,indoor
1057,9515,9,250,9,9,30,266,9,144,23,6,indoor
1059,9528,9,250,9,9,30,267,9,144,23,6,indoor
1122,10099,9,250,9,9,31,276,9,145,23,6,indoor
1153,10380,9,250,9,9,31,280,9,145,23,6,indoor
1153,10379,9,250,9,8,31,279,9,145,23,6,indoor
1148,10335,9,250,9,8,31,279,9,145,23,6,indoor
1137,10230,9,250,9,8,30,274,9,145,23,6,indoor
1139,10253,9,250,9,8,30,274,9,145,23,6,indoor
1108,9975,9,250,9,8,30,266,9,145,23,6,indoor
1099,9887,9,250,9,8,29,262,9,145,23,6,indoor
1099,9887,9,250,9,8,29,262,9,145,23,6,indoor
1075,9678,9,250,9,8,29,257,9,145,23,6,indoor
1090,9813,9,250,9,8,29,260,9,145,23,6,indoor
1086,9774,9,250,9,8,29,258,9,145,23,6,indoor
1066,9596,9,250,9,8,28,254,9,145,23,6,indoor
1087,9783,9,250,9,8,28,254,9,145,23,6,indoor
1071,9641,9,250,9,8,28,251,9,145,23,6,indoor
1071,9643,9,250,9,8,28,250,9,145,23,6,indoor
1052,9466,9,250,9,8,27,247,9,145,23,6,indoor
1048,9433,9,250,8,8,27,244,9,145,23,6,indoor
1030,9274,9,250,8,8,27,241,9,145,23,6,indoor
1029,9264,9,250,9,8,27,242,9,144,23,6,indoor
1035,9319,9,250,9,8,27,243,9,144,23,6,indoor
1027,9240,9,250,9,8,27,243,9,144,23,6,indoor
1024,9213,9,250,9,8,27,242,9,144,23,6,indoor
1024,9213,9,250,9,8,27,242,9,144,23,6,indoor
1034,9303,9,250,9,8,27,247,9,144,23,6,indoor
1038,9346,9,250,9,8,28,249,9,144,23,8,indoor
1040,9356,9,250,9,9,28,251,9,144,23,8,indoor
1031,9281,9,250,9,9,28,251,9,144,23,8,indoor
1029,9261,9,250,9,9,28,250,9,144,23,8,indoor
1011,9100,9,250,9,9,27,246,9,144,23,6,indoor
1006,9050,9,250,9,9,27,246,9,144,23,6,indoor
998,8983,9,250,9,9,27,245,9,144,23,6,indoor
970,8733,9,250,9,9,27,239,9,144,23,8,indoor
961,8651,9,250,9,9,26,237,9,144,23,8,indoor
975,8776,9,250,9,9,26,237,9,144,23,8,indoor
1020,9184,9,250,9,9,27,247,9,145,23,8,indoor
1044,9400,9,250,9,9,28,253,9,145,23,8,indoor
1104,9933,9,250,9,9,29,262,9,145,23,8,indoor
1114,10025,9,250,9,9,29,265,9,144,23,6,indoor
1096,9861,9,250,9,9,29,261,9,144,23,6,indoor
1088,9794,9,250,9,9,29,260,9,144,23,6,indoor
1075,9676,9,250,9,9,29,258,9,144,23,6,indoor
1095,9852,9,250,9,9,29,261,9,144,23,6,indoor
1091,9818,9,250,9,9,29,260,9,144,23,6,indoor
1063,9565,9,250,9,9,28,254,9,144,23,6,indoor
1050,9453,9,250,9,9,28,254,9,144,23,6,indoor
1022,9196,9,250,9,9,28,251,9,144,23,6,indoor
1027,9247,9,250,9,9,28,251,9,144,23,6,indoor
1014,9127,9,250,9,9,28,248,9,144,23,6,indoor
1014,9127,9,250,9,9,28,248,9,143,23,6,indoor
1011,9099,9,250,9,9,27,246,9,143,23,8,indoor
1051,9460,9,250,9,9,28,252,9,143,23,8,indoor
1050,9454,9,250,9,9,28,252,9,143,23,8,indoor
1042,9376,9,250,9,9,28,250,9,143,23,8,indoor
1040,9356,9,250,9,9,28,249,9,143,23,8,indoor
1059,9528,9,250,9,9,28,254,9,143,23,8,indoor
1057,9516,9,250,9,9,28,253,9,143,23,8,indoor
1075,9675,9,250,9,9,29,262,9,143,23,6,indoor
1069,9624,9,250,9,9,29,265,9,143,23,6,indoor
1069,9624,9,250,9,9,29,265,9,143,23,6,indoor
1045,9402,9,250,9,9,29,259,9,143,23,6,indoor
1040,9361,9,250,9,9,29,258,9,143,23,6,indoor
1039,9350,9,250,9,9,29,258,9,143,23,6,indoor
1028,9248,9,250,9,9,28,255,9,143,23,6,indoor
1013,9119,9,250,9,9,28,250,9,143,23,8,indoor
1000,9001,9,250,9,9,28,249,9,143,23,8,indoor
995,8953,9,250,9,9,27,246,9,143,23,12,indoor
989,8900,9,250,9,9,27,244,9,143,23,12,indoor
993,8935,9,250,9,9,27,243,9,144,23,12,indoor
983,8846,9,250,9,9,27,242,9,144,23,12,indoor
973,8759,9,250,9,9,27,240,9,144,23,12,indoor
975,8772,9,250,9,9,27,239,9,144,23,12,indoor
1001,9009,9,250,9,9,27,246,9,144,23,12,indoor
984,8859,9,250,9,9,27,244,9,144,23,12,indoor
988,8892,9,250,9,9,27,245,9,144,23,12,indoor
1010,9094,9,250,9,9,28,250,9,144,23,12,indoor
1010,9088,9,250,9,9,28,249,9,144,23,12,indoor
1027,9247,9,250,9,9,28,251,9,144,23,8,indoor
1014,9123,9,250,9,9,27,247,9,145,23,8,indoor
1015,9133,9,250,9,9,27,247,9,145,23,8,indoor
1002,9015,9,250,9,9,27,244,9,145,23,8,indoor
999,8987,9,250,9,9,27,242,9,145,23,8,indoor
981,8827,9,250,9,8,26,236,9,145,23,8,indoor
975,8779,9,250,9,8,26,233,9,145,23,8,indoor
971,8738,9,250,9,8,26,232,9,145,23,8,indoor
957,8617,9,250,9,8,25,229,9,145,23,8,indoor
949,8543,9,250,9,8,25,226,8,145,23,8,indoor
925,8322,9,250,9,8,24,219,8,145,23,8,indoor
891,8016,9,250,9,8,23,211,8,145,23,8,indoor
873,7853,9,250,9,8,23,207,0,145,23,8,indoor
724,10133,14,278,10,8,18,245,5,145,23,8,indoor
834,7502,9,250,8,7,22,197,0,381,62,34,indoor
699,9782,14,278,9,7,17,235,5,381,62,40,indoor
787,7086,9,250,8,6,21,187,0,381,62,40,indoor
741,6669,9,250,8,5,20,176,0,381,62,48,indoor
615,8607,14,278,9,5,15,206,5,381,62,57,indoor
615,8607,14,278,9,5,15,206,5,381,62,57,indoor
750,5996,8,222,8,3,18,147,0,381,62,68,indoor
637,8276,13,250,9,3,14,185,5,381,62,68,indoor
637,8276,13,250,9,3,14,185,5,381,62,81,indoor
