elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1028,8227,8,222,8,6,27,214,6,131,21,32,outdoor
1046,8370,8,222,8,6,27,217,6,138,22,48,outdoor
933,8401,9,222,9,7,26,237,5,138,22,48,outdoor
937,8433,9,222,9,7,26,238,6,134,22,24,outdoor
920,8279,9,222,9,7,26,233,6,126,20,24,outdoor
1001,8005,8,194,8,7,27,214,6,124,20,16,outdoor
917,8249,9,222,9,7,26,233,6,124,20,16,outdoor
894,8042,9,222,9,7,25,227,6,123,20,16,outdoor
900,8099,9,222,9,7,25,228,6,124,20,13,outdoor
836,8364,10,250,9,8,25,253,7,125,20,13,outdoor
875,8752,10,250,9,8,25,253,6,125,20,13,outdoor
932,9317,10,250,9,9,26,258,6,122,20,13,outdoor
929,9287,10,250,9,9,26,256,6,125,20,13,outdoor
918,9185,10,250,9,9,25,251,6,127,21,13,outdoor
923,9233,10,250,9,9,25,251,6,127,21,13,outdoor
1028,9254,9,222,9,9,27,240,6,126,20,13,outdoor
1014,9125,9,222,9,9,26,235,6,126,20,13,outdoor
999,8994,9,222,9,9,26,233,6,126,20,13,outdoor
988,8892,9,222,9,9,26,231,6,126,20,13,outdoor
978,8800,9,222,9,9,25,228,6,125,20,13,outdoor
881,8810,10,250,10,9,24,244,7,127,21,13,outdoor
856,8561,10,250,10,9,24,239,7,127,21,10,outdoor
849,8489,10,250,10,9,24,238,7,127,21,10,outdoor
841,8410,10,250,10,9,24,236,7,127,21,10,outdoor
836,8364,10,250,10,9,23,234,7,127,21,13,outdoor
838,8384,10,250,10,10,24,238,7,127,21,13,outdoor
861,8608,10,250,10,10,25,250,7,127,21,13,outdoor
877,8767,10,250,10,10,25,253,7,127,21,10,outdoor
876,8763,10,250,10,9,25,251,7,127,21,10,outdoor
873,8729,10,250,10,10,25,252,7,127,21,10,outdoor
871,8709,10,250,10,10,25,252,7,127,21,10,outdoor
794,8738,11,278,10,9,24,260,7,127,21,10,outdoor
773,8507,11,278,10,8,23,257,7,126,20,10,outdoor
775,8530,11,278,11,8,23,258,6,126,20,7,outdoor
773,8504,11,278,11,8,24,259,7,126,20,7,outdoor
773,8504,11,278,11,8,24,259,7,126,20,7,outdoor
829,8289,10,250,10,7,24,239,7,126,20,7,outdoor
838,8381,10,250,10,7,24,241,7,126,20,7,outdoor
774,8519,11,278,11,7,23,258,7,126,20,7,outdoor
774,8510,11,278,11,7,24,260,7,126,20,7,outdoor
776,8541,11,278,11,8,24,263,7,126,20,7,outdoor
779,8566,11,278,11,8,24,264,7,126,20,7,outdoor
779,8566,11,278,11,8,24,264,7,126,20,7,outdoor
779,8566,11,278,11,8,24,264,7,126,20,7,outdoor
784,8626,11,278,11,8,24,268,7,126,20,7,outdoor
790,8686,11,278,10,8,24,268,7,126,20,7,outdoor
793,8724,11,278,10,9,25,272,7,126,20,5,outdoor
793,8724,11,278,10,9,25,272,7,126,20,5,outdoor
800,8795,11,278,10,9,25,273,6,126,20,5,outdoor
800,8795,11,278,10,9,25,273,6,126,20,5,outdoor
798,8782,11,278,10,9,25,272,6,126,20,5,outdoor
798,8779,11,278,10,9,25,272,7,126,20,5,outdoor
794,8733,11,278,10,9,25,272,7,126,20,5,outdoor
797,8770,11,278,10,9,25,274,7,125,20,5,outdoor
806,8863,11,278,10,9,25,276,7,125,20,5,outdoor
816,8978,11,278,10,9,25,280,7,125,20,5,outdoor
