elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
804,4019,5,250,5,5,24,121,5,107,17,18,indoor
778,3891,5,250,5,5,23,115,5,105,17,18,indoor
638,3827,6,250,6,5,22,130,5,96,16,11,indoor
663,4638,7,250,7,4,21,149,5,105,17,10,indoor
758,6062,8,250,8,6,22,173,5,105,17,10,indoor
676,6086,9,250,9,6,21,193,5,108,17,9,indoor
721,6486,9,250,9,6,22,200,6,109,18,9,indoor
717,6451,9,250,9,7,23,205,6,120,19,8,indoor
778,7783,10,250,10,8,24,240,6,120,19,7,indoor
787,7872,10,250,10,8,24,236,6,124,20,6,indoor
755,7551,10,250,10,8,23,232,6,124,20,6,indoor
697,6974,10,250,10,8,21,214,6,125,20,5,indoor
692,6925,10,250,10,8,21,211,6,126,20,5,indoor
703,7032,10,250,10,8,21,213,6,126,20,5,indoor
703,7028,10,250,10,8,21,213,6,126,20,6,indoor
694,6942,10,250,10,7,21,208,6,126,20,7,indoor
675,6753,10,250,10,4,20,196,6,126,20,7,indoor
678,6784,10,250,10,5,20,197,6,125,20,6,indoor
680,6805,10,250,10,7,20,204,4,125,20,6,indoor
676,6755,10,250,10,6,21,213,4,125,20,6,indoor
681,6806,10,250,10,6,22,223,5,124,20,6,indoor
686,6856,10,250,10,6,22,221,5,125,20,6,indoor
675,6750,10,250,10,6,22,216,5,125,20,7,indoor
638,6384,10,250,9,4,21,206,5,125,20,7,indoor
649,6489,10,250,9,4,20,198,6,126,20,8,indoor
653,6528,10,250,9,5,20,203,6,124,20,9,indoor
652,6523,10,250,9,5,20,205,6,124,20,8,indoor
660,6605,10,250,9,6,21,209,6,123,20,8,indoor
643,6427,10,250,9,5,20,200,6,122,20,8,indoor
641,6409,10,250,9,4,20,199,6,122,20,9,indoor
624,6237,10,250,9,3,19,194,4,122,20,10,indoor
640,6402,10,250,9,4,19,194,4,122,20,11,indoor
600,6001,10,250,8,4,18,185,4,123,20,11,indoor
513,4617,9,250,7,4,18,165,4,122,20,12,indoor
502,4517,9,250,6,3,17,154,4,122,20,13,indoor
470,4227,9,250,5,3,17,152,4,122,20,12,indoor
468,4214,9,250,5,3,17,150,6,122,20,11,indoor
420,3778,9,250,4,1,16,140,6,123,20,11,indoor
416,3748,9,250,4,1,15,137,5,123,20,11,indoor
422,3794,9,222,4,1,15,137,4,123,20,11,indoor
422,3794,9,222,4,1,15,137,4,123,20,13,indoor
422,3794,9,222,4,1,15,137,4,123,20,14,indoor
417,3757,9,222,4,0,15,134,2,123,20,17,indoor
413,3720,9,222,3,0,14,128,2,123,20,19,indoor
408,3675,9,222,2,0,14,124,2,123,20,20,indoor
408,3675,9,222,2,0,14,124,3,123,20,22,indoor
408,3675,9,222,2,0,14,124,3,123,20,23,indoor
386,3475,9,222,2,0,13,121,3,123,20,25,indoor
386,3475,9,222,2,0,13,121,4,123,20,26,indoor
360,2881,8,222,1,0,13,107,3,124,20,28,indoor
360,2881,8,222,1,0,13,107,3,124,20,29,indoor
360,2881,8,222,1,0,13,107,2,124,20,31,indoor
368,3313,9,222,2,0,14,125,2,124,20,32,indoor
368,3313,9,222,2,0,14,125,3,124,20,33,indoor
353,2473,7,222,2,1,15,103,2,124,20,34,indoor
353,2473,7,222,2,1,15,103,2,124,20,35,indoor
347,2427,7,222,2,1,14,99,1,120,19,35,indoor
336,2352,7,222,2,0,14,96,2,119,19,36,indoor
366,2195,6,222,2,0,14,82,2,119,19,37,indoor
366,2195,6,222,2,0,14,82,2,119,19,38,indoor
366,2195,6,222,2,0,14,82,2,119,19,37,indoor
387,2321,6,222,3,0,15,90,2,119,19,38,indoor
432,2590,6,194,3,0,16,94,3,117,19,26,indoor
475,2852,6,222,4,2,17,103,3,117,19,25,indoor
452,3617,8,222,6,2,17,137,3,117,19,19,indoor
508,3559,7,222,6,3,18,126,4,120,19,17,indoor
549,3844,7,222,7,3,19,133,4,121,20,17,indoor
592,4739,8,222,7,3,18,147,5,122,20,16,indoor
644,5148,8,222,8,4,19,153,5,122,20,18,indoor
664,5316,8,222,8,4,20,157,5,120,19,16,indoor
643,5146,8,222,8,2,18,147,4,122,20,16,indoor
654,5234,8,222,8,3,18,148,5,122,20,16,indoor
640,5763,9,222,8,2,18,161,6,122,20,15,indoor
665,6648,10,222,8,2,17,170,6,122,20,15,indoor
709,7092,10,222,8,3,18,176,7,120,19,15,indoor
716,7162,10,222,8,3,18,177,7,120,19,14,indoor
704,7043,10,222,8,2,17,173,5,120,19,14,indoor
719,7187,10,222,8,2,18,176,5,119,19,14,indoor
701,7009,10,222,8,1,17,173,4,117,19,14,indoor
701,7009,10,222,8,2,17,173,4,117,19,14,indoor
726,7258,10,222,8,2,18,177,4,117,19,15,indoor
717,7169,10,222,7,2,17,170,5,115,19,15,indoor
706,7062,10,222,7,2,17,168,6,114,18,15,indoor
700,7001,10,222,7,2,17,167,6,113,18,15,indoor
648,6480,10,222,7,1,16,159,7,111,18,15,indoor
654,6537,10,222,7,1,16,160,7,111,18,15,indoor
654,6537,10,222,7,1,16,160,7,111,18,15,indoor
647,6468,10,222,7,1,16,159,5,111,18,15,indoor
701,6308,9,222,6,1,16,143,4,111,18,16,indoor
692,6226,9,222,6,1,16,142,4,112,18,17,indoor
697,6276,9,222,6,1,16,142,2,111,18,18,indoor
693,6237,9,222,6,1,16,141,1,111,18,18,indoor
680,6123,9,222,4,1,15,137,2,112,18,18,indoor
683,6143,9,222,4,1,15,139,4,111,18,19,indoor
683,6143,9,222,4,1,15,139,5,110,18,19,indoor
683,6143,9,222,4,1,15,139,5,110,18,20,indoor
671,6043,9,222,3,1,15,138,5,109,18,22,indoor
660,5943,9,222,3,1,15,134,5,111,18,19,indoor
674,6066,9,222,3,2,15,137,5,111,18,18,indoor
684,6160,9,222,4,2,16,140,3,112,18,18,indoor
694,6246,9,222,4,2,16,142,3,111,18,17,indoor
675,6750,10,222,4,2,15,154,3,112,18,18,indoor
631,5682,9,222,3,1,15,133,3,112,18,19,indoor
632,5691,9,222,3,1,15,133,3,112,18,19,indoor
632,5691,9,222,3,1,15,133,3,112,18,20,indoor
620,5580,9,222,3,1,14,130,3,112,18,22,indoor
640,5756,9,222,4,1,15,135,2,112,18,22,indoor
640,5756,9,222,4,1,15,135,2,112,18,22,indoor
631,5678,9,222,5,0,15,132,2,111,18,22,indoor
643,5785,9,222,5,1,15,135,2,111,18,22,indoor
649,5838,9,222,5,1,15,136,2,111,18,22,indoor
693,5545,8,194,4,1,15,122,2,110,18,23,indoor
783,5483,7,222,4,1,16,112,3,109,18,22,indoor
716,5725,8,222,5,2,16,128,3,109,18,21,indoor
886,5319,6,222,5,4,20,121,5,113,18,15,indoor
698,5584,8,222,7,5,20,163,5,108,17,13,indoor
703,5626,8,222,7,5,20,163,7,112,18,13,indoor
654,6539,10,222,9,6,20,199,6,113,18,13,indoor
623,6228,10,222,9,5,20,197,7,111,18,12,indoor
679,7473,11,222,11,7,21,234,7,116,19,12,indoor
700,8394,12,222,12,7,21,255,8,121,20,13,indoor
