elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1287,18023,14,250,14,14,32,444,4,124,20,3,outdoor
1273,17816,14,250,14,14,31,439,4,124,20,3,outdoor
1219,17063,14,250,14,14,31,430,4,125,20,3,outdoor
1308,18315,14,250,14,13,32,452,4,125,20,3,outdoor
1309,18324,14,250,14,12,32,443,4,124,20,3,outdoor
1317,18444,14,250,14,12,32,443,4,125,20,3,outdoor
1317,18440,14,250,14,12,32,447,4,125,20,3,outdoor
1320,18479,14,250,14,12,32,449,4,125,20,3,outdoor
1427,18550,13,250,13,12,33,434,4,126,20,3,outdoor
1416,18412,13,250,13,12,33,432,4,126,20,4,outdoor
1306,18286,14,250,14,12,32,443,4,127,21,4,outdoor
1277,17874,14,250,14,12,31,432,4,127,21,4,outdoor
1224,17139,14,250,14,13,30,427,4,126,20,3,outdoor
1348,17528,13,250,13,12,32,418,4,126,20,4,outdoor
1329,17272,13,250,13,12,32,412,4,127,21,4,outdoor
1274,17842,14,250,14,13,31,439,4,127,21,4,outdoor
1324,17216,13,250,13,12,31,406,4,127,21,4,outdoor
1379,17930,13,250,13,12,32,415,4,126,20,4,outdoor
1392,18093,13,250,13,12,32,419,4,127,21,4,outdoor
1404,18252,13,250,13,12,32,421,4,126,20,4,outdoor
1311,18356,14,250,14,13,32,448,4,126,20,4,outdoor
1345,18828,14,250,14,13,32,453,4,126,20,4,outdoor
1314,18391,14,250,14,13,32,446,4,124,20,4,outdoor
1276,17863,14,250,14,13,31,435,4,124,20,10,outdoor
1202,18030,15,250,15,13,31,460,4,124,20,10,outdoor
1232,18474,15,250,15,13,31,468,4,124,20,10,outdoor
1225,18382,15,250,15,13,31,471,4,124,20,10,outdoor
1188,17818,15,250,15,13,31,467,4,124,20,10,outdoor
1208,18118,15,250,15,13,31,467,4,124,20,10,outdoor
1208,18116,15,250,15,13,31,468,4,124,20,10,outdoor
1222,18324,15,250,15,13,32,474,4,124,20,10,outdoor
1236,18541,15,250,15,13,32,475,4,125,20,10,outdoor
1206,18085,15,250,15,13,31,466,4,125,20,10,outdoor
1160,17394,15,250,15,13,30,453,4,125,20,10,outdoor
1150,17253,15,250,15,13,30,449,4,125,20,10,outdoor
1134,17005,15,250,15,13,30,445,4,126,20,10,outdoor
1128,16920,15,250,15,13,29,441,4,128,21,10,outdoor
1165,17469,15,250,14,13,30,449,4,128,21,11,outdoor
1163,17444,15,250,14,13,30,447,4,128,21,11,outdoor
1164,17453,15,250,14,13,30,446,4,129,21,10,outdoor
1187,17808,15,250,14,13,30,454,4,129,21,10,outdoor
1153,17301,15,250,14,13,30,446,5,128,21,10,outdoor
1183,17741,15,250,14,13,30,454,5,128,21,10,outdoor
1264,17689,14,250,13,13,31,430,5,125,20,10,outdoor
1268,17757,14,250,13,13,31,439,6,124,20,10,outdoor
1360,19036,14,250,13,13,32,454,6,123,20,10,outdoor
1304,18261,14,250,13,13,32,443,6,123,20,10,outdoor
1338,18732,14,250,13,13,32,451,6,124,20,10,outdoor
1341,18775,14,250,13,13,32,451,6,125,20,10,outdoor
1251,18765,15,250,14,13,32,474,6,125,20,10,outdoor
1237,18549,15,250,14,13,31,467,6,125,20,10,outdoor
1210,18144,15,250,14,13,30,454,6,126,20,10,outdoor
1240,18604,15,250,14,13,31,471,6,126,20,10,outdoor
1243,18642,15,250,14,13,31,462,6,127,21,10,outdoor
1257,18862,15,250,14,13,31,470,6,129,21,3,outdoor
1253,18788,15,250,14,13,32,473,5,129,21,3,outdoor
1262,18933,15,250,14,13,32,478,5,129,21,3,outdoor
1234,18516,15,250,14,13,31,472,5,130,21,3,outdoor
1276,19141,15,250,14,13,32,481,5,131,21,3,outdoor
1252,18780,15,250,14,13,31,464,5,133,22,3,outdoor
1244,18654,15,250,14,13,31,466,5,133,22,3,outdoor
1259,18880,15,250,14,13,31,472,5,133,22,3,outdoor
1255,18831,15,250,14,13,31,469,6,134,22,3,outdoor
1344,18820,14,250,14,13,32,454,6,135,22,3,outdoor
1308,18316,14,250,14,13,32,454,6,136,22,4,outdoor
1326,18561,14,250,14,13,33,460,6,137,22,4,outdoor
1309,18330,14,250,14,13,33,460,6,138,22,4,outdoor
1327,18583,14,250,14,13,34,470,6,138,22,4,outdoor
1343,18804,14,250,14,13,34,477,6,137,22,4,outdoor
1319,18468,14,250,14,13,33,465,6,136,22,4,outdoor
1315,18413,14,250,14,13,32,454,5,136,22,4,outdoor
1317,18444,14,250,14,13,32,451,5,135,22,3,outdoor
