elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1318,21082,16,278,16,15,33,526,9,130,21,3,indoor
1282,20516,16,278,16,15,33,521,9,130,21,3,indoor
1277,20433,16,278,16,15,32,515,9,129,21,3,indoor
1251,20023,16,278,16,15,32,509,9,130,21,3,indoor
1217,19475,16,278,16,15,31,498,9,130,21,3,indoor
1099,17589,16,278,16,16,30,473,9,130,21,3,indoor
1118,17894,16,278,16,16,30,478,9,131,21,3,indoor
1113,17813,16,278,16,16,30,474,9,132,21,3,indoor
1078,17251,16,278,16,16,29,468,9,132,21,3,indoor
1120,17919,16,278,16,16,30,477,9,133,22,3,indoor
1110,17765,16,278,16,16,30,477,8,132,21,3,indoor
1146,18340,16,278,16,16,31,495,9,132,21,3,indoor
1192,19065,16,278,16,15,31,497,9,132,21,3,indoor
1197,19149,16,278,16,14,31,499,9,133,22,3,indoor
1201,19222,16,278,16,14,31,490,9,133,22,3,indoor
1254,20066,16,278,16,14,31,495,9,132,21,3,indoor
1248,19969,16,278,16,14,31,501,9,132,21,3,indoor
1115,17843,16,278,16,15,30,475,9,131,21,3,indoor
1094,17509,16,278,16,15,29,467,9,130,21,3,indoor
1100,17593,16,278,16,15,29,468,8,131,21,4,indoor
1069,17099,16,278,16,15,29,458,8,131,21,4,indoor
1069,17110,16,278,16,16,29,466,8,132,21,4,indoor
1065,17044,16,278,16,15,29,457,8,133,22,4,indoor
1009,16150,16,278,16,14,27,434,8,134,22,4,indoor
1044,16708,16,278,16,15,28,448,8,135,22,4,indoor
1158,18524,16,278,16,15,31,491,8,135,22,4,indoor
1161,18572,16,278,16,15,31,494,8,134,22,4,indoor
1195,19118,16,278,16,16,31,499,9,134,22,4,indoor
1271,20336,16,278,16,16,32,520,9,134,22,4,indoor
1264,20216,16,278,16,16,33,524,9,134,22,4,indoor
1245,19923,16,278,16,16,32,511,9,134,22,4,indoor
1213,19408,16,278,16,16,31,502,9,134,22,3,indoor
1263,20215,16,278,16,16,32,518,9,134,22,3,indoor
1288,20600,16,278,16,16,33,522,9,135,22,3,indoor
1262,20200,16,278,16,16,32,519,9,134,22,3,indoor
1259,20149,16,278,16,15,32,513,9,133,22,3,indoor
1218,19489,16,278,16,15,32,509,9,134,22,3,indoor
1227,19633,16,278,16,14,32,504,9,133,22,3,indoor
1261,20171,16,278,16,14,32,511,9,132,21,3,indoor
1240,19833,16,278,16,14,32,506,9,132,21,3,indoor
1311,20972,16,278,16,14,32,520,9,131,21,3,indoor
1302,20833,16,278,16,14,33,521,9,130,21,3,indoor
1255,20086,16,278,16,14,32,507,9,130,21,3,indoor
1227,19632,16,278,16,15,31,503,9,129,21,3,indoor
1250,19999,16,278,16,15,32,511,9,129,21,3,indoor
1265,20244,16,278,16,15,32,517,9,129,21,3,indoor
1289,20622,16,278,16,15,32,518,9,129,21,3,indoor
1187,18993,16,278,16,15,30,487,9,129,21,3,indoor
1167,18668,16,278,16,15,31,490,9,128,21,3,indoor
1131,18090,16,278,16,15,30,476,9,127,21,3,indoor
1120,17928,16,278,16,14,29,468,9,128,21,3,indoor
1076,17224,16,278,16,14,28,446,9,126,20,3,indoor
1042,16677,16,278,16,14,28,444,9,127,21,3,indoor
1061,16980,16,278,15,14,28,444,9,125,20,3,indoor
1058,16934,16,278,15,14,27,437,9,123,20,3,indoor
1149,18380,16,278,15,14,29,467,9,124,20,3,indoor
1194,19110,16,278,16,14,30,485,8,123,20,4,indoor
1201,19216,16,278,16,14,30,488,8,122,20,4,indoor
1242,19870,16,278,16,14,31,496,9,122,20,4,indoor
1214,19418,16,278,16,15,31,492,9,123,20,4,indoor
1254,20056,16,278,16,15,32,504,9,123,20,4,indoor
1264,20226,16,278,16,15,32,512,9,123,20,4,indoor
1232,19708,16,278,16,15,31,495,9,122,20,4,indoor
1245,19915,16,278,16,15,32,507,9,121,20,3,indoor
1246,19937,16,278,16,14,32,504,9,121,20,3,indoor
1259,20145,16,278,16,14,32,517,9,120,19,3,indoor
1281,20496,16,278,16,15,33,528,9,120,19,3,indoor
1262,20197,16,278,16,15,33,521,9,119,19,3,indoor
1345,20174,15,278,15,14,33,497,9,120,19,3,indoor
1344,20160,15,278,15,14,33,491,9,119,19,3,indoor
1354,20312,15,278,15,14,33,495,9,119,19,3,indoor
1271,19060,15,278,15,14,31,470,9,117,19,3,indoor
1206,19290,16,278,16,14,30,487,9,118,19,3,indoor
1210,19360,16,278,16,14,31,489,9,118,19,3,indoor
1126,18013,16,278,16,15,29,466,9,118,19,3,indoor
1115,17836,16,278,16,15,29,466,9,118,19,3,indoor
1079,17261,16,278,16,15,28,454,9,119,19,3,indoor
1075,17198,16,278,16,15,28,450,9,119,19,3,indoor
1059,16941,16,278,16,15,28,442,9,119,19,3,indoor
1068,17090,16,278,16,15,28,447,9,118,19,3,indoor
1028,16452,16,278,16,15,27,431,9,118,19,3,indoor
1060,16956,16,278,16,14,28,444,9,118,19,3,indoor
1114,17823,16,278,16,14,29,465,9,118,19,4,indoor
1147,18350,16,278,16,15,30,481,8,118,19,4,indoor
1232,19712,16,278,16,15,31,502,8,117,19,3,indoor
1258,20133,16,278,16,14,32,506,8,119,19,3,indoor
1247,19945,16,278,16,14,31,501,9,120,19,3,indoor
1301,19516,15,278,15,14,32,482,9,122,20,3,indoor
1342,20133,15,278,15,14,33,491,9,122,20,3,indoor
1370,20554,15,278,15,15,33,502,9,122,20,3,indoor
1313,21001,16,278,16,15,33,531,9,121,20,3,indoor
1261,20172,16,278,16,15,32,510,9,121,20,3,indoor
1221,19534,16,278,16,16,32,504,9,120,19,3,indoor
1223,19565,16,278,16,16,31,503,9,120,19,3,indoor
1204,19256,16,278,16,16,30,485,9,120,19,3,indoor
1158,18526,16,278,16,16,29,469,9,120,19,3,indoor
1145,18314,16,278,16,14,29,461,9,120,19,3,indoor
1130,18075,16,278,16,14,29,460,9,119,19,3,indoor
1113,17813,16,278,16,13,28,447,9,119,19,3,indoor
1124,17982,16,278,16,13,28,446,9,120,19,3,indoor
1190,19033,16,278,16,14,29,465,8,120,19,3,indoor
1101,17617,16,278,16,14,28,455,8,122,20,3,indoor
1177,18828,16,278,16,14,30,474,7,124,20,3,indoor
1233,19725,16,278,16,15,31,492,8,124,20,3,indoor
1208,19330,16,278,16,15,31,493,8,124,20,3,indoor
1230,19674,16,278,16,15,32,506,8,124,20,3,indoor
1259,20148,16,278,16,15,32,510,9,124,20,3,indoor
1261,20180,16,278,16,15,32,506,9,123,20,3,indoor
1398,20972,15,278,15,14,34,503,9,123,20,3,indoor
1381,20711,15,278,15,14,33,502,9,122,20,3,indoor
1380,20694,15,278,15,14,33,499,9,121,20,3,indoor
1427,21399,15,278,15,14,34,512,9,122,20,3,indoor
1451,21767,15,278,15,14,35,524,9,122,20,3,indoor
1423,21348,15,278,15,14,34,511,9,121,20,3,indoor
1388,20819,15,278,15,14,33,502,9,121,20,3,indoor
1346,20185,15,278,15,14,33,492,9,120,19,3,indoor
1306,19584,15,278,15,14,32,475,9,119,19,3,indoor
1254,18817,15,278,15,14,30,454,9,118,19,3,indoor
1212,18180,15,278,15,14,30,444,9,118,19,3,indoor
1191,17863,15,278,15,14,30,451,9,118,19,3,indoor
1123,16839,15,278,14,14,28,426,9,119,19,3,indoor
1130,16954,15,278,14,14,29,431,9,118,19,3,indoor
1133,17000,15,278,14,14,29,431,9,118,19,3,indoor
1152,17280,15,278,14,14,29,433,9,119,19,4,indoor
1172,17573,15,278,14,14,29,435,9,119,19,4,indoor
1242,18632,15,278,14,14,31,461,9,119,19,4,indoor
1208,19328,16,278,15,14,31,495,9,119,19,4,indoor
1284,20536,16,278,15,14,32,506,9,119,19,4,indoor
1306,20899,16,278,15,15,32,517,9,119,19,4,indoor
1282,20506,16,278,15,15,32,513,9,120,19,4,indoor
1256,20104,16,278,15,15,32,505,9,120,19,4,indoor
1296,20729,16,278,16,15,33,526,9,120,19,4,indoor
1204,19265,16,278,16,16,31,491,9,120,19,4,indoor
1217,19475,16,278,16,16,32,504,9,120,19,3,indoor
1199,19187,16,278,16,16,31,494,9,120,19,3,indoor
1207,19314,16,278,16,15,31,494,9,120,19,3,indoor
1214,19421,16,278,16,15,31,498,9,120,19,3,indoor
1252,20039,16,278,16,14,32,512,9,119,19,3,indoor
1250,19992,16,278,16,14,32,511,9,118,19,3,indoor
1273,20366,16,278,16,14,32,515,9,117,19,3,indoor
1239,19825,16,278,16,15,32,507,9,117,19,3,indoor
1335,20026,15,278,15,15,33,497,9,117,19,3,indoor
1353,20291,15,278,15,15,34,508,9,117,19,3,indoor
1311,19670,15,278,15,15,33,488,9,117,19,3,indoor
1203,19253,16,278,16,16,31,498,9,117,19,3,indoor
1176,18808,16,278,16,15,31,496,9,119,19,3,indoor
1163,18608,16,278,16,15,30,488,9,120,19,3,indoor
1141,18250,16,278,16,15,30,482,9,121,20,3,indoor
1127,18036,16,278,16,15,30,474,9,120,19,3,indoor
1089,17420,16,278,16,15,29,458,9,122,20,3,indoor
1066,17062,16,278,16,15,29,460,9,123,20,3,indoor
1086,17380,16,278,16,14,29,459,9,123,20,3,indoor
1037,16588,16,278,16,14,28,443,9,124,20,3,indoor
1085,17355,16,278,16,14,29,460,9,127,21,3,indoor
1062,16988,16,278,16,14,28,454,9,127,21,3,indoor
1090,17444,16,278,16,14,29,461,8,128,21,3,indoor
1057,16919,16,278,16,14,28,451,9,128,21,4,indoor
1079,17262,16,278,16,15,29,457,9,129,21,4,indoor
1145,17172,15,278,15,15,30,446,9,127,21,4,indoor
1058,16936,16,278,16,16,28,450,9,127,21,4,indoor
1100,17592,16,278,16,16,29,469,9,127,21,4,indoor
1073,17172,16,278,16,16,29,461,9,128,21,3,indoor
1081,17290,16,278,16,16,29,458,9,127,21,3,indoor
1103,17655,16,278,16,15,29,464,9,125,20,4,indoor
1184,18948,16,278,16,15,31,500,8,125,20,4,indoor
1186,18974,16,278,16,15,31,500,9,125,20,4,indoor
1239,19831,16,278,16,14,32,515,9,126,20,4,indoor
1232,19714,16,278,16,15,31,502,9,126,20,4,indoor
1213,19404,16,278,16,15,31,503,9,126,20,4,indoor
1213,19402,16,278,16,16,32,507,9,126,20,4,indoor
1199,19179,16,278,16,15,31,498,9,125,20,3,indoor
1196,19136,16,278,16,16,31,500,9,125,20,4,indoor
1230,19683,16,278,16,16,32,519,9,125,20,4,indoor
1237,19793,16,278,16,16,32,514,9,125,20,4,indoor
1266,20250,16,278,16,15,32,519,9,125,20,4,indoor
1265,20243,16,278,16,16,33,522,9,125,20,4,indoor
1214,19426,16,278,16,16,32,506,9,124,20,3,indoor
1220,19519,16,278,16,15,32,511,9,124,20,3,indoor
1242,19878,16,278,16,15,32,517,9,125,20,3,indoor
1243,19884,16,278,16,15,33,524,9,125,20,3,indoor
