elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1318,14498,11,250,11,10,28,313,5,118,19,8,outdoor
1270,15234,12,250,12,10,28,336,7,147,24,7,outdoor
1288,15456,12,250,12,11,29,343,7,151,24,5,outdoor
1291,15491,12,250,12,11,29,350,7,152,25,4,outdoor
1318,15821,12,250,12,12,30,354,7,150,24,4,outdoor
1253,15035,12,250,12,12,29,344,7,149,24,3,outdoor
1254,15049,12,250,12,12,29,345,7,148,24,3,outdoor
1266,15196,12,250,12,12,29,347,7,148,24,3,outdoor
1287,15442,12,250,12,12,29,343,7,148,24,3,outdoor
1170,15211,13,250,13,11,27,352,7,148,24,3,outdoor
1173,15253,13,250,13,11,27,353,8,146,24,3,outdoor
1212,15762,13,250,13,12,28,364,8,146,24,3,outdoor
1214,15787,13,250,13,12,28,363,8,145,23,3,outdoor
1220,15859,13,250,13,12,27,352,8,146,24,3,outdoor
1230,15992,13,250,13,12,28,358,8,147,24,3,outdoor
1192,15497,13,250,13,12,27,351,8,147,24,3,outdoor
1116,14508,13,250,13,11,26,337,7,147,24,3,outdoor
1078,14012,13,250,13,11,25,325,7,148,24,3,outdoor
1128,14664,13,250,13,12,26,337,7,148,24,3,outdoor
1201,15619,13,250,13,11,26,344,7,149,24,3,outdoor
1256,16332,13,250,13,11,28,367,8,148,24,3,outdoor
1223,15897,13,250,13,11,27,356,8,148,24,3,outdoor
1220,15858,13,250,13,12,27,357,8,148,24,3,outdoor
1258,16360,13,250,13,12,28,368,8,147,24,3,outdoor
1214,15788,13,250,13,12,27,355,8,147,24,3,outdoor
1190,15471,13,250,13,12,27,346,8,147,24,3,outdoor
1193,15510,13,250,13,12,27,346,7,147,24,3,outdoor
1208,15706,13,250,13,12,27,351,8,147,24,3,outdoor
1209,15719,13,250,13,12,27,353,8,147,24,3,outdoor
1138,15929,14,250,14,12,27,374,8,147,24,3,outdoor
1152,16126,14,250,14,12,27,381,8,146,24,3,outdoor
1117,15643,14,250,14,12,26,369,8,146,24,3,outdoor
1136,15903,14,250,14,12,27,372,8,146,24,3,outdoor
1131,15829,14,250,14,12,26,369,8,146,24,3,outdoor
1145,16029,14,250,14,12,26,370,8,146,24,3,outdoor
1102,15431,14,250,14,12,26,364,8,147,24,3,outdoor
1149,16089,14,250,14,13,27,379,8,146,24,3,outdoor
1159,16221,14,250,14,13,27,384,8,147,24,3,outdoor
1153,16143,14,250,14,12,27,376,8,147,24,3,outdoor
1136,15902,14,250,14,11,26,366,8,147,24,3,outdoor
1159,16220,14,250,14,12,27,377,8,148,24,3,outdoor
1213,16982,14,250,13,13,28,394,8,148,24,3,outdoor
1181,16536,14,250,13,12,28,388,8,148,24,3,outdoor
1168,16347,14,250,13,13,28,386,8,148,24,3,outdoor
1183,15373,13,250,13,13,27,357,8,148,24,3,outdoor
1161,15087,13,250,13,13,27,355,8,148,24,3,outdoor
1217,15824,13,250,13,13,28,366,8,148,24,3,outdoor
1236,16069,13,250,13,13,29,371,8,148,24,3,outdoor
1188,15442,13,250,13,13,27,356,8,149,24,3,outdoor
