elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
559,3916,7,250,5,2,18,127,5,144,23,7,indoor
562,3931,7,250,5,2,18,128,5,145,23,7,indoor
560,3919,7,250,5,2,18,128,5,145,23,6,indoor
538,3763,7,250,5,2,17,120,5,145,23,7,indoor
529,3703,7,250,5,2,17,118,6,145,23,7,indoor
512,3586,7,250,4,3,17,120,5,145,23,6,indoor
508,3555,7,250,4,3,17,121,3,145,23,6,indoor
572,4006,7,250,4,3,19,132,3,144,23,6,indoor
561,3928,7,250,4,3,19,131,4,145,23,6,indoor
554,3877,7,250,4,2,18,126,4,145,23,6,indoor
562,3931,7,250,4,3,19,131,4,145,23,6,indoor
571,3999,7,250,4,3,19,132,5,143,23,6,indoor
572,4003,7,250,4,3,19,132,6,142,23,6,indoor
570,3988,7,250,4,2,18,129,6,141,23,6,indoor
547,3826,7,250,4,3,18,127,6,141,23,7,indoor
595,4165,7,250,5,3,19,136,6,141,23,7,indoor
605,4232,7,250,5,2,20,139,6,141,23,7,indoor
600,4203,7,250,5,2,20,138,5,140,23,8,indoor
605,4238,7,250,5,2,20,140,5,137,22,8,indoor
597,4180,7,250,5,2,19,134,5,137,22,7,indoor
629,4404,7,250,6,3,21,145,5,138,22,7,indoor
627,4387,7,250,6,3,21,144,5,138,22,7,indoor
629,4406,7,250,7,2,21,144,4,138,22,7,indoor
597,4181,7,250,7,2,20,138,5,139,22,7,indoor
589,4120,7,250,7,2,20,137,5,139,22,6,indoor
682,4775,7,250,7,3,21,149,5,140,23,6,indoor
660,4623,7,250,7,3,21,147,5,141,23,6,indoor
603,4223,7,250,6,3,19,133,5,141,23,6,indoor
607,4250,7,250,6,3,19,135,6,141,23,6,indoor
591,4138,7,250,6,2,20,137,5,140,23,5,indoor
593,4148,7,250,6,2,20,138,6,141,23,10,indoor
592,4147,7,250,6,2,20,137,6,141,23,10,indoor
568,3979,7,250,6,2,19,130,6,141,23,10,indoor
597,4179,7,250,6,2,19,135,6,141,23,10,indoor
582,4072,7,250,6,2,19,133,4,141,23,10,indoor
595,4162,7,250,6,2,20,138,4,141,23,10,indoor
567,3971,7,250,6,2,19,134,2,141,23,10,indoor
595,4162,7,250,6,3,20,143,4,141,23,10,indoor
588,3525,6,250,6,4,24,145,4,141,23,10,indoor
567,3400,6,250,6,5,23,140,6,139,22,11,indoor
535,3212,6,250,6,5,23,136,6,140,23,11,indoor
527,3162,6,250,6,5,22,131,6,139,22,11,indoor
630,4408,7,250,7,5,21,148,6,139,22,12,indoor
616,4315,7,250,7,4,21,146,6,138,22,12,indoor
642,4497,7,250,7,5,21,148,6,138,22,12,indoor
685,4794,7,250,7,5,22,156,6,138,22,12,indoor
692,4842,7,250,7,7,23,160,6,139,22,12,indoor
672,4706,7,250,7,6,23,164,6,139,22,12,indoor
733,5132,7,250,7,7,25,174,6,137,22,12,indoor
732,5122,7,250,7,7,25,173,6,137,22,12,indoor
632,5052,8,250,8,6,22,180,6,137,22,12,indoor
586,4685,8,250,8,6,21,169,6,133,22,12,indoor
597,4776,8,250,8,6,22,172,6,133,22,12,indoor
618,5561,9,250,9,4,21,185,6,133,22,12,indoor
609,5477,9,250,9,4,20,183,7,134,22,12,indoor
610,5487,9,250,9,4,20,182,7,134,22,12,indoor
587,5286,9,250,9,3,19,174,7,134,22,12,indoor
598,5386,9,250,9,3,20,177,6,134,22,12,indoor
604,5432,9,250,9,4,20,181,6,134,22,12,indoor
577,5192,9,250,9,3,21,185,6,134,22,12,indoor
558,5019,9,250,9,4,21,187,5,134,22,11,indoor
599,5387,9,250,9,4,21,190,5,134,22,11,indoor
570,5133,9,250,9,4,20,183,5,134,22,11,indoor
586,5274,9,250,9,4,20,182,5,134,22,11,indoor
616,5548,9,250,9,5,21,192,5,134,22,11,indoor
587,5281,9,250,8,5,20,184,5,134,22,11,indoor
581,5227,9,250,8,5,20,182,6,133,22,11,indoor
535,4813,9,250,8,3,19,172,6,133,22,11,indoor
542,4877,9,250,8,3,19,174,6,133,22,11,indoor
519,4667,9,250,8,2,19,167,6,133,22,11,indoor
525,4729,9,222,8,1,18,161,6,133,22,11,indoor
527,4746,9,222,8,3,18,164,6,133,22,11,indoor
525,4721,9,222,8,3,18,164,5,133,22,12,indoor
