elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1211,16952,14,250,14,14,30,421,7,122,20,4,outdoor
1173,16424,14,250,14,13,29,410,8,122,20,4,outdoor
1271,16517,13,250,13,12,31,399,7,122,20,4,outdoor
1211,15737,13,250,13,13,30,388,7,122,20,4,outdoor
1345,16137,12,250,12,12,32,378,7,122,20,4,outdoor
1257,16340,13,250,13,13,31,402,8,121,20,4,outdoor
1255,16311,13,250,13,13,31,403,8,121,20,4,outdoor
1408,16893,12,250,12,12,32,390,8,120,19,4,outdoor
1528,16808,11,250,11,11,33,364,7,120,19,4,outdoor
1321,17176,13,250,13,12,30,394,7,120,19,4,outdoor
1316,17104,13,250,13,13,31,398,7,119,19,4,outdoor
1373,16473,12,250,12,12,32,379,7,120,19,4,outdoor
1333,15994,12,250,12,12,31,374,7,120,19,4,outdoor
1337,16046,12,250,12,12,31,373,7,121,20,4,outdoor
1329,15948,12,250,12,12,31,370,7,122,20,4,outdoor
1291,15495,12,250,12,11,30,365,7,122,20,4,outdoor
1255,16320,13,250,13,12,31,404,7,123,20,4,outdoor
1289,16757,13,250,13,13,32,410,7,123,20,4,outdoor
1276,17869,14,250,14,14,32,445,7,123,20,4,outdoor
1283,17957,14,250,14,13,31,440,8,123,20,5,outdoor
1265,17711,14,250,14,14,32,444,8,122,20,4,outdoor
1283,17960,14,250,14,14,32,448,8,122,20,4,outdoor
1318,18445,14,250,14,13,32,445,8,121,20,5,outdoor
1341,18780,14,250,14,14,32,452,8,120,19,4,outdoor
1365,19111,14,250,14,14,33,467,8,120,19,4,outdoor
1518,18222,12,250,12,12,34,406,8,120,19,4,outdoor
1446,18792,13,250,13,13,34,446,8,120,19,4,outdoor
1416,18413,13,250,13,13,34,439,8,119,19,4,outdoor
1419,18452,13,250,13,13,34,438,8,119,19,4,outdoor
1457,18942,13,250,13,13,34,447,8,119,19,4,outdoor
1464,19037,13,250,13,13,35,450,8,119,19,4,outdoor
1506,18076,12,250,12,12,34,408,8,119,19,4,outdoor
1343,18802,14,250,14,14,33,464,8,118,19,4,outdoor
1393,18106,13,250,13,13,33,431,8,118,19,4,outdoor
1335,18689,14,250,14,14,33,457,8,118,19,4,outdoor
1332,18652,14,250,14,14,33,459,8,118,19,4,outdoor
1393,18105,13,250,13,13,33,427,8,118,19,4,outdoor
1429,18573,13,250,13,13,34,436,8,118,19,4,outdoor
1421,18473,13,250,13,13,34,439,8,118,19,3,outdoor
1366,17758,13,250,13,13,32,420,8,118,19,3,outdoor
1394,18121,13,250,13,13,33,431,8,118,19,3,outdoor
1430,18590,13,250,13,12,34,436,8,117,19,3,outdoor
1493,17920,12,250,12,11,33,401,8,117,19,3,outdoor
1458,18951,13,250,13,12,34,441,8,117,19,3,outdoor
1418,18431,13,250,13,12,33,431,8,117,19,3,outdoor
1469,19103,13,250,13,13,34,443,8,117,19,3,outdoor
1465,19040,13,250,13,13,34,443,7,116,19,3,outdoor
1453,18889,13,250,13,13,34,436,7,115,19,3,outdoor
1420,18457,13,250,13,13,33,435,7,115,19,3,outdoor
1430,18585,13,250,13,13,34,446,7,115,19,3,outdoor
1284,17972,14,250,14,14,32,451,7,116,19,4,outdoor
1300,18202,14,250,14,14,32,455,7,115,19,4,outdoor
1304,18259,14,250,14,14,33,457,7,115,19,3,outdoor
1376,19264,14,250,14,14,34,474,7,115,19,3,outdoor
1340,18758,14,250,14,14,33,458,7,114,18,4,outdoor
1369,19164,14,250,14,14,34,477,8,114,18,3,outdoor
1326,18564,14,250,14,13,33,461,8,114,18,3,outdoor
1331,18637,14,250,14,13,33,467,8,114,18,3,outdoor
1389,19448,14,250,14,13,34,482,8,114,18,3,outdoor
1371,19189,14,250,14,14,33,466,8,114,18,3,outdoor
1412,19769,14,250,14,14,34,483,8,114,18,4,outdoor
1377,19283,14,250,14,14,34,472,8,114,18,3,outdoor
1360,19034,14,250,14,14,34,470,8,114,18,4,outdoor
1325,18553,14,250,14,14,33,461,8,114,18,3,outdoor
1316,18426,14,250,14,14,33,461,8,114,18,4,outdoor
1311,18355,14,250,14,13,33,458,8,114,18,3,outdoor
1340,18756,14,250,14,14,34,471,8,114,18,3,outdoor
1391,18085,13,250,13,13,34,446,8,114,18,4,outdoor
1404,18246,13,250,13,13,35,451,8,114,18,4,outdoor
1328,18598,14,250,14,14,34,470,8,115,19,4,outdoor
1312,18369,14,250,14,14,33,461,8,115,19,4,outdoor
1293,18106,14,250,14,14,32,453,8,115,19,4,outdoor
1309,18332,14,250,14,14,32,453,8,116,19,4,outdoor
1311,18354,14,250,14,14,33,460,8,118,19,4,outdoor
1335,18684,14,250,14,14,32,455,8,118,19,4,outdoor
1379,17927,13,250,13,13,32,416,8,119,19,4,outdoor
1371,17827,13,250,13,13,32,418,8,120,19,3,outdoor
1400,18205,13,250,13,13,32,421,8,121,20,3,outdoor
1387,18034,13,250,13,12,32,414,8,123,20,3,outdoor
1327,17248,13,250,13,12,30,396,8,124,20,4,outdoor
1356,17633,13,250,13,12,31,407,8,126,20,3,outdoor
1356,17633,13,250,13,12,31,408,8,127,21,4,outdoor
1454,17445,12,250,12,12,32,386,8,127,21,4,outdoor
1392,18093,13,250,13,13,32,418,8,128,21,4,outdoor
1351,17559,13,250,13,13,31,408,8,128,21,4,outdoor
1423,9959,7,250,7,7,33,231,4,129,21,3,outdoor
1455,10188,7,250,7,7,33,234,8,130,21,3,outdoor
1313,10502,8,250,8,8,33,261,8,131,21,3,outdoor
1432,10021,7,250,7,7,33,231,8,132,21,3,outdoor
1457,10200,7,250,7,7,34,236,8,133,22,3,outdoor
1317,10537,8,250,8,8,33,262,8,134,22,3,outdoor
1306,10445,8,250,8,8,32,260,8,135,22,3,outdoor
1498,10486,7,250,7,7,35,243,8,136,22,3,outdoor
1324,10589,8,250,8,8,33,262,8,136,22,3,outdoor
1330,10638,8,250,8,8,33,264,8,137,22,3,outdoor
1332,10657,8,250,8,8,33,264,8,137,22,3,outdoor
1428,11428,8,250,8,8,34,275,8,138,22,3,outdoor
1637,11456,7,250,7,7,37,262,8,138,22,3,outdoor
1627,11388,7,250,7,7,37,261,8,138,22,3,outdoor
1625,11376,7,250,7,7,37,261,8,139,22,3,outdoor
1645,11512,7,250,7,7,38,263,8,139,22,3,outdoor
1580,11058,7,250,7,7,37,256,8,139,22,3,outdoor
1597,11178,7,250,7,7,37,258,8,140,23,3,outdoor
1658,11603,7,250,7,7,38,268,7,140,23,3,outdoor
1603,11222,7,250,7,7,38,264,7,140,23,3,outdoor
1686,11804,7,250,7,7,39,275,7,140,23,3,outdoor
1668,11674,7,250,7,7,39,270,7,139,22,3,outdoor
1713,11994,7,250,7,7,39,276,7,139,22,3,outdoor
1700,11900,7,250,7,7,39,275,7,139,22,3,outdoor
1675,11723,7,250,7,7,39,274,7,138,22,3,outdoor
1601,11209,7,250,7,7,38,265,7,138,22,3,outdoor
1559,10914,7,250,7,7,38,263,7,138,22,3,outdoor
1560,10923,7,250,7,7,38,263,7,138,22,3,outdoor
1384,11070,8,250,8,8,35,283,7,137,22,3,outdoor
1350,10799,8,250,8,8,34,275,8,137,22,3,outdoor
1341,10731,8,250,8,8,34,276,8,137,22,3,outdoor
1364,10911,8,250,8,8,35,278,8,136,22,3,outdoor
1524,18287,12,250,12,12,34,406,8,135,22,3,outdoor
1376,17888,13,250,13,13,32,421,8,135,22,3,outdoor
1364,17736,13,250,13,13,33,424,8,134,22,3,outdoor
1258,17616,14,250,14,14,31,436,8,134,22,3,outdoor
1273,17817,14,250,14,13,32,441,8,134,22,3,outdoor
1417,18415,13,250,13,12,33,425,8,133,22,3,outdoor
1410,18332,13,250,13,12,32,422,8,133,22,3,outdoor
1469,19096,13,250,13,12,34,438,8,133,22,3,outdoor
1515,19700,13,250,13,12,35,450,8,132,21,3,outdoor
1552,20180,13,250,13,12,35,461,8,133,22,3,outdoor
1519,19751,13,250,13,12,34,442,8,133,22,3,outdoor
1531,19907,13,250,13,12,34,444,8,133,22,3,outdoor
1494,19425,13,250,13,12,33,434,8,133,22,3,outdoor
1373,19224,14,250,14,12,32,448,8,133,22,3,outdoor
1367,19143,14,250,14,13,32,451,8,133,22,3,outdoor
1395,19530,14,250,14,13,33,462,8,134,22,3,outdoor
1345,18829,14,250,14,13,32,452,8,132,21,3,outdoor
1360,19038,14,250,14,13,33,457,8,131,21,3,outdoor
1389,19443,14,250,14,13,33,460,8,132,21,3,outdoor
1309,19634,15,250,15,14,32,485,8,133,22,3,outdoor
1402,19630,14,250,14,12,33,457,8,134,22,3,outdoor
1385,19386,14,250,14,13,32,453,8,134,22,3,outdoor
1387,19420,14,250,14,13,33,462,8,135,22,3,outdoor
1402,19633,14,250,14,13,33,466,8,135,22,3,outdoor
1406,19683,14,250,14,13,33,467,8,135,22,3,outdoor
1411,19755,14,250,14,14,33,459,8,134,22,3,outdoor
1430,20024,14,250,14,14,33,463,8,134,22,3,outdoor
1426,19966,14,250,14,14,34,477,8,134,22,3,outdoor
1418,19846,14,250,14,14,33,464,8,136,22,3,outdoor
1403,19642,14,250,14,14,33,467,8,135,22,3,outdoor
1372,19207,14,250,14,14,33,467,8,135,22,3,outdoor
1354,18949,14,250,14,13,34,471,8,134,22,3,outdoor
1314,18395,14,250,14,13,33,460,8,133,22,3,outdoor
1345,18832,14,250,14,13,33,464,8,133,22,3,outdoor
1318,18451,14,250,14,13,33,461,8,132,21,3,outdoor
1268,17756,14,250,14,13,32,448,8,132,21,3,outdoor
1302,18226,14,250,14,13,32,453,8,133,22,3,outdoor
1315,17096,13,250,13,11,32,422,8,133,22,3,outdoor
1290,16769,13,250,13,12,33,428,7,133,22,3,outdoor
1254,17561,14,250,14,13,32,450,7,133,22,3,outdoor
1282,16662,13,250,13,12,33,425,7,134,22,3,outdoor
1233,16028,13,250,13,11,33,428,7,135,22,3,outdoor
1274,17829,14,250,14,13,33,459,7,135,22,3,outdoor
1226,15943,13,250,13,12,33,426,8,133,22,3,outdoor
1223,17118,14,250,14,13,31,429,8,133,22,4,outdoor
1276,16590,13,250,13,12,32,419,7,133,22,3,outdoor
1276,17869,14,250,14,13,32,450,7,133,22,3,outdoor
1379,19310,14,250,14,13,34,470,7,133,22,3,outdoor
1429,20001,14,250,14,13,34,477,8,133,22,3,outdoor
1503,19533,13,250,13,12,35,458,8,133,22,3,outdoor
1501,19518,13,250,13,12,35,461,8,133,22,3,outdoor
1481,20730,14,250,14,13,35,495,7,133,22,3,outdoor
1464,20500,14,250,14,13,35,486,7,132,21,3,outdoor
1433,20060,14,250,13,12,33,466,7,131,21,3,outdoor
1417,19839,14,250,13,12,33,468,8,132,21,3,outdoor
1393,19496,14,250,14,13,33,465,8,132,21,3,outdoor
1355,18966,14,250,14,13,33,461,8,131,21,3,outdoor
1424,18506,13,250,13,12,34,441,8,130,21,3,outdoor
1352,18925,14,250,14,13,34,476,8,130,21,3,outdoor
1325,18553,14,250,14,13,33,463,8,131,21,3,outdoor
1299,19480,15,250,15,13,33,490,8,131,21,3,outdoor
1251,18759,15,250,15,13,31,469,8,131,21,3,outdoor
1271,19066,15,250,15,13,32,476,8,131,21,3,outdoor
1253,18797,15,250,15,13,31,466,8,130,21,3,outdoor
1273,16543,13,250,13,11,32,414,8,130,21,3,outdoor
1269,16496,13,250,13,11,32,415,7,130,21,3,outdoor
1272,17801,14,250,14,11,32,444,7,130,21,3,outdoor
1271,16529,13,250,13,11,32,415,7,130,21,3,outdoor
1280,16646,13,250,13,11,32,421,8,130,21,3,outdoor
1213,15769,13,250,13,11,30,396,8,131,21,3,outdoor
1249,16237,13,250,13,11,32,410,8,131,21,3,outdoor
1230,17220,14,250,14,11,31,434,8,132,21,3,outdoor
1327,17255,13,250,13,10,32,419,8,133,22,3,outdoor
