elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
986,2958,3,306,3,2,25,75,0,56,9,33,indoor
1025,3074,3,306,3,3,26,78,0,56,9,33,indoor
1072,4289,4,306,4,3,24,95,0,56,9,33,indoor
944,4721,5,306,5,3,22,112,0,56,9,33,indoor
935,4674,5,306,5,2,22,108,5,96,16,30,indoor
920,4599,5,306,5,2,21,106,5,90,15,58,indoor
776,4656,6,306,6,1,20,118,5,89,14,66,indoor
670,4687,7,306,7,1,19,133,6,87,14,43,indoor
643,4500,7,306,7,1,18,127,6,123,20,38,indoor
643,4500,7,306,7,1,18,127,6,105,17,24,indoor
638,4469,7,306,7,0,18,127,6,105,17,24,indoor
654,4578,7,306,7,1,19,130,6,132,21,14,indoor
663,4641,7,306,7,1,19,132,6,133,22,11,indoor
679,4755,7,306,7,2,20,137,6,129,21,12,indoor
673,4711,7,306,7,2,19,135,4,131,21,12,indoor
669,4684,7,306,7,2,20,138,4,133,22,13,indoor
670,4691,7,306,7,2,20,138,4,132,21,13,indoor
702,4916,7,306,7,4,21,146,4,134,22,15,indoor
693,4848,7,306,7,3,21,146,4,134,22,15,indoor
608,4258,7,306,6,4,20,137,5,134,22,14,indoor
726,5079,7,306,6,5,22,152,6,133,22,13,indoor
701,4910,7,306,6,5,21,148,6,119,19,12,indoor
747,5975,8,306,7,5,21,165,6,112,18,11,indoor
815,6522,8,306,8,6,22,176,7,105,17,10,indoor
755,6791,9,306,9,5,21,190,7,97,16,10,indoor
687,6182,9,306,9,4,20,179,8,95,15,10,indoor
791,6325,8,306,8,4,21,170,8,94,15,9,indoor
773,6181,8,306,8,4,21,165,8,94,15,9,indoor
742,6680,9,306,9,4,20,182,8,94,15,9,indoor
735,6611,9,306,9,4,20,180,8,92,15,10,indoor
717,7173,10,306,10,6,22,222,8,91,15,11,indoor
818,7362,9,306,9,5,23,209,7,88,14,13,indoor
737,7369,10,306,10,7,23,226,7,85,14,14,indoor
723,7954,11,306,11,8,23,249,7,82,13,15,indoor
688,7564,11,306,10,7,22,240,7,81,13,16,indoor
668,7347,11,306,10,7,21,233,8,79,13,17,indoor
660,7265,11,306,10,7,21,230,8,78,13,18,indoor
660,7258,11,306,10,7,21,229,9,77,12,21,indoor
665,7315,11,306,10,7,21,229,9,76,12,26,indoor
669,7354,11,306,10,7,21,231,6,76,12,31,indoor
679,7467,11,306,10,7,21,232,5,76,12,31,indoor
673,7405,11,306,10,6,21,226,4,76,12,29,indoor
673,7405,11,306,10,6,21,226,5,76,12,29,indoor
627,6896,11,306,10,4,20,215,4,76,12,31,indoor
629,6920,11,306,9,4,19,213,5,76,12,31,indoor
626,6883,11,306,9,4,19,212,6,75,12,31,indoor
603,6634,11,306,9,4,19,207,6,76,12,32,indoor
633,6968,11,306,9,5,19,211,7,76,12,32,indoor
642,7065,11,306,8,5,19,212,6,75,12,29,indoor
645,7100,11,306,8,5,19,213,7,74,12,27,indoor
635,6989,11,306,8,5,19,208,6,73,12,25,indoor
635,6989,11,306,8,5,19,208,6,73,12,24,indoor
632,6952,11,306,8,4,19,207,6,73,12,24,indoor
630,6934,11,306,7,4,19,205,5,73,12,23,indoor
637,7007,11,306,7,5,19,208,6,73,12,23,indoor
656,7214,11,306,7,5,20,215,5,73,12,23,indoor
655,7209,11,306,8,5,20,216,4,73,12,24,indoor
703,6324,9,306,6,3,18,166,4,72,12,22,indoor
676,6083,9,306,6,3,18,159,4,72,12,22,indoor
643,5143,8,306,5,2,17,139,5,72,12,22,indoor
816,6530,8,306,7,4,21,168,7,72,12,22,indoor
808,6467,8,306,7,4,21,165,8,73,12,20,indoor
869,6952,8,306,7,5,22,175,8,73,12,19,indoor
838,6703,8,306,7,5,22,176,7,74,12,16,indoor
830,6641,8,306,7,5,22,172,7,74,12,16,indoor
822,6572,8,306,7,6,22,173,7,73,12,17,indoor
809,6472,8,306,8,5,21,171,7,72,12,17,indoor
800,6397,8,306,8,5,21,170,8,71,11,15,indoor
740,5923,8,306,8,5,20,157,8,71,11,15,indoor
756,6046,8,306,8,5,20,162,8,71,11,15,indoor
769,6155,8,306,8,5,21,165,8,71,11,15,indoor
756,6046,8,306,8,5,20,161,8,71,11,16,indoor
731,5846,8,306,8,4,19,153,7,71,11,17,indoor
728,5828,8,306,8,4,19,152,5,71,11,19,indoor
741,5927,8,306,8,4,20,156,4,71,11,20,indoor
735,5883,8,306,8,4,19,154,3,71,11,23,indoor
720,5760,8,306,8,3,19,151,3,71,11,26,indoor
697,5575,8,306,7,2,18,144,3,71,11,29,indoor
657,5256,8,306,5,2,17,136,4,71,11,29,indoor
657,5256,8,306,5,2,17,136,5,71,11,29,indoor
582,4659,8,306,4,2,16,128,5,70,11,29,indoor
569,4554,8,306,4,1,16,124,6,70,11,30,indoor
569,4554,8,306,4,1,16,124,6,70,11,30,indoor
573,4581,8,306,4,2,16,125,6,70,11,31,indoor
571,4570,8,306,3,2,15,122,5,70,11,34,indoor
570,4557,8,306,3,2,15,122,4,70,11,34,indoor
572,4577,8,306,3,2,15,122,4,70,11,35,indoor
572,4577,8,306,3,2,15,122,3,70,11,37,indoor
557,4455,8,306,3,1,15,119,3,70,11,40,indoor
555,4440,8,306,3,1,15,118,3,70,11,40,indoor
581,4649,8,306,3,2,15,122,4,71,11,37,indoor
506,4051,8,306,2,1,14,114,5,71,11,34,indoor
546,4364,8,306,2,1,15,121,6,71,11,33,indoor
546,4364,8,306,2,1,15,121,7,71,11,32,indoor
547,4375,8,306,2,1,15,122,7,71,11,32,indoor
547,4375,8,306,2,1,15,122,8,71,11,29,indoor
522,4172,8,306,2,0,14,116,7,71,11,30,indoor
528,4226,8,306,2,1,15,119,5,71,11,32,indoor
530,4239,8,306,2,1,15,119,4,71,11,34,indoor
530,4239,8,306,2,1,15,119,3,71,11,36,indoor
532,4259,8,306,3,1,15,120,3,71,11,41,indoor
522,4176,8,306,3,0,15,117,3,71,11,40,indoor
515,4119,8,306,3,0,14,116,3,71,11,43,indoor
515,4119,8,306,3,0,14,116,3,71,11,39,indoor
512,4094,8,306,3,0,14,115,3,71,11,40,indoor
510,4079,8,306,3,0,14,114,4,71,11,40,indoor
510,4082,8,306,4,0,14,115,4,71,11,41,indoor
527,4213,8,306,4,1,15,119,4,71,11,38,indoor
561,3926,7,306,4,1,15,107,4,71,11,41,indoor
564,3946,7,306,4,1,15,108,4,71,11,42,indoor
538,3225,6,278,4,2,17,101,4,71,11,45,indoor
496,2479,5,278,4,2,18,91,4,71,11,41,indoor
497,2483,5,306,4,1,18,92,4,71,11,45,indoor
646,3874,6,306,5,3,20,117,4,71,11,43,indoor
646,3877,6,306,5,3,20,117,5,71,11,34,indoor
666,3993,6,306,5,4,20,122,5,71,11,29,indoor
758,5306,7,306,6,4,20,141,5,71,11,29,indoor
834,5841,7,306,6,4,21,149,6,71,11,23,indoor
790,6320,8,306,7,4,21,170,6,70,11,19,indoor
802,6415,8,306,7,5,22,176,6,70,11,19,indoor
793,6343,8,306,7,5,22,172,6,70,11,19,indoor
812,5687,7,306,7,5,22,157,6,71,11,20,indoor
819,5735,7,306,7,5,23,160,6,71,11,20,indoor
801,5604,7,306,7,4,22,156,6,71,11,21,indoor
788,5515,7,306,7,4,22,152,4,71,11,23,indoor
762,5331,7,306,7,3,20,143,3,71,11,24,indoor
752,5264,7,306,7,3,20,138,3,71,11,25,indoor
756,5295,7,306,7,3,20,139,4,71,11,25,indoor
756,5295,7,306,7,3,20,139,4,71,11,26,indoor
628,4398,7,306,6,2,18,126,4,71,11,27,indoor
570,3988,7,306,5,1,17,118,5,71,11,27,indoor
556,3892,7,306,5,0,16,115,6,71,11,27,indoor
557,3900,7,306,5,1,16,115,6,71,11,28,indoor
570,3988,7,306,5,2,17,119,5,72,12,28,indoor
504,4031,8,306,6,2,17,137,5,72,12,27,indoor
512,4096,8,306,6,3,18,144,5,73,12,28,indoor
