elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,Class
1023,14323,14,306,14,14,34,473,10,120,19,8,outdoor
895,11638,13,306,13,12,32,422,10,120,19,7,outdoor
1002,11017,11,306,11,11,34,372,10,121,20,7,outdoor
1003,11030,11,306,11,11,34,372,10,121,20,7,outdoor
969,10660,11,306,11,11,33,363,10,121,20,7,outdoor
896,11642,13,306,13,13,33,424,10,121,20,7,outdoor
967,10641,11,306,11,11,33,365,10,121,20,7,outdoor
886,11512,13,306,13,13,33,426,8,121,20,7,outdoor
889,10663,12,306,12,12,32,387,9,121,20,8,outdoor
906,11778,13,306,13,13,33,431,9,122,20,7,outdoor
915,12808,14,306,14,14,31,437,9,123,20,7,outdoor
967,13543,14,306,14,14,32,448,9,123,20,7,outdoor
956,13381,14,306,14,13,31,439,10,123,20,6,outdoor
961,13450,14,306,14,13,31,430,10,124,20,5,outdoor
952,13335,14,306,14,14,30,421,10,125,20,5,outdoor
950,13301,14,306,14,14,30,421,10,126,20,5,outdoor
962,13474,14,306,14,14,31,428,10,127,21,5,outdoor
959,13430,14,306,14,14,30,427,10,127,21,4,outdoor
986,13803,14,306,14,14,31,434,10,127,21,4,outdoor
1031,14428,14,306,14,14,32,445,9,127,21,4,outdoor
1127,14645,13,306,13,13,34,443,10,128,21,5,outdoor
1077,15080,14,306,14,14,34,475,10,129,21,4,outdoor
1088,15226,14,306,14,14,33,464,10,130,21,4,outdoor
1154,15002,13,306,13,13,34,441,10,131,21,4,outdoor
1187,15433,13,306,13,13,34,441,10,131,21,4,outdoor
1188,15439,13,306,13,13,34,443,10,132,21,3,outdoor
1182,15368,13,306,13,13,34,441,10,132,21,3,outdoor
1153,14994,13,306,13,13,33,426,10,132,21,3,outdoor
1251,15013,12,306,12,12,35,419,10,132,21,3,outdoor
1200,15594,13,306,13,13,35,459,9,132,21,3,outdoor
1178,15313,13,306,13,13,35,453,9,132,21,3,outdoor
1168,15179,13,306,13,13,35,453,9,132,21,3,outdoor
1218,14616,12,306,12,12,36,426,9,133,22,3,outdoor
1253,15034,12,306,12,12,37,446,9,133,22,3,outdoor
1238,14860,12,306,12,12,37,439,9,133,22,3,outdoor
1239,16111,13,306,13,13,37,480,9,134,22,3,outdoor
1285,15422,12,306,12,12,37,445,9,135,22,3,outdoor
1260,15119,12,306,12,12,37,439,9,135,22,4,outdoor
1187,14239,12,306,12,12,35,418,9,136,22,3,outdoor
1193,14312,12,306,12,12,35,424,9,137,22,3,outdoor
1146,14899,13,306,13,13,35,459,9,137,22,3,outdoor
1160,15084,13,306,13,13,35,455,9,138,22,3,outdoor
1161,15097,13,306,13,13,35,454,9,137,22,3,outdoor
1172,15241,13,306,13,13,36,470,9,137,22,3,outdoor
1143,16001,14,306,14,14,36,504,10,137,22,3,outdoor
1183,15381,13,306,13,13,36,471,10,138,22,3,outdoor
1165,16311,14,306,14,14,36,509,10,138,22,3,outdoor
1238,16090,13,306,13,13,38,491,10,139,22,3,outdoor
1167,15165,13,306,13,13,36,470,10,139,22,3,outdoor
1157,15043,13,306,13,13,36,472,10,140,23,3,outdoor
1083,15164,14,306,14,14,35,490,10,140,23,3,outdoor
1170,15212,13,306,13,13,36,467,10,140,23,3,outdoor
1115,15609,14,306,14,14,35,487,10,141,23,3,outdoor
1060,14841,14,306,14,14,33,466,10,141,23,3,outdoor
1055,14772,14,306,14,14,33,465,10,141,23,3,outdoor
1055,14772,14,306,14,14,33,464,10,140,23,3,outdoor
1046,14646,14,306,14,14,33,459,10,141,23,3,outdoor
1054,14755,14,306,14,14,33,467,10,141,23,3,outdoor
1134,14748,13,306,13,13,34,445,10,141,23,3,outdoor
1153,14995,13,306,13,13,35,453,10,141,23,3,outdoor
1111,14448,13,306,13,13,34,436,10,141,23,3,outdoor
1038,14535,14,306,14,14,33,457,10,141,23,3,outdoor
1052,14726,14,306,14,14,33,460,9,141,23,3,outdoor
1031,14430,14,306,14,14,32,451,9,141,23,3,outdoor
1049,14684,14,306,14,14,33,457,9,141,23,3,outdoor
1093,14209,13,306,13,13,32,421,9,140,23,3,outdoor
1051,13667,13,306,13,13,31,404,9,140,23,3,outdoor
1008,14112,14,306,14,14,31,434,9,139,22,3,outdoor
978,13688,14,306,14,14,30,422,10,139,22,3,outdoor
1082,14070,13,306,13,13,32,419,9,139,22,3,outdoor
1062,13802,13,306,13,13,32,416,10,138,22,3,outdoor
1146,14900,13,306,13,13,34,444,10,139,22,3,outdoor
1078,15088,14,306,14,14,33,466,10,139,22,3,outdoor
1067,13869,13,306,13,13,31,409,10,138,22,3,outdoor
1038,14537,14,306,14,14,32,449,10,138,22,3,outdoor
1000,14001,14,306,14,14,31,429,10,138,22,3,outdoor
990,13860,14,306,14,13,31,429,10,138,22,3,outdoor
1026,13341,13,306,13,12,30,390,10,138,22,3,outdoor
1000,14004,14,306,14,14,31,432,10,138,22,3,outdoor
971,13589,14,306,14,14,30,421,10,137,22,3,outdoor
966,13521,14,306,14,14,30,420,10,137,22,3,outdoor
1030,13388,13,306,13,13,30,393,9,136,22,3,outdoor
966,13530,14,306,14,14,30,422,9,136,22,3,outdoor
1003,14038,14,306,14,14,31,440,9,136,22,3,outdoor
979,13701,14,306,14,14,31,436,9,136,22,3,outdoor
914,12794,14,306,14,13,30,418,9,136,22,3,outdoor
901,12617,14,306,14,14,30,421,9,136,22,3,outdoor
889,12452,14,306,14,13,29,409,9,136,22,3,outdoor
909,12725,14,306,14,13,30,416,9,136,22,3,outdoor
876,12269,14,306,14,13,29,406,9,135,22,3,outdoor
794,10317,13,306,13,12,29,381,9,135,22,3,outdoor
899,12592,14,306,14,13,30,413,10,135,22,3,outdoor
876,12271,14,306,14,13,29,405,10,135,22,3,outdoor
963,12517,13,306,13,12,30,388,10,135,22,3,outdoor
1037,12442,12,306,12,11,31,369,10,135,22,3,outdoor
933,10265,11,306,11,10,31,337,10,135,22,3,outdoor
913,12783,14,306,14,13,30,421,10,136,22,3,outdoor
1075,12897,12,306,12,11,32,383,10,137,22,3,outdoor
928,12985,14,306,14,13,30,427,10,137,22,3,outdoor
1001,13018,13,306,13,12,31,403,10,137,22,3,outdoor
1043,12517,12,306,12,11,31,370,10,137,22,3,outdoor
926,10189,11,306,11,10,31,339,10,138,22,3,outdoor
920,10117,11,306,11,9,31,336,10,138,22,3,outdoor
915,10061,11,306,11,9,30,333,10,138,22,3,outdoor
925,10171,11,306,11,8,31,337,9,138,22,3,outdoor
945,10395,11,306,11,10,31,339,7,137,22,3,outdoor
934,10277,11,306,11,10,30,335,7,137,22,3,outdoor
963,10598,11,306,11,10,31,344,6,137,22,3,outdoor
909,10004,11,306,11,10,30,334,6,137,22,3,outdoor
1006,12076,12,306,12,11,31,367,7,137,22,3,outdoor
900,12606,14,306,14,12,30,415,8,136,22,3,outdoor
908,12707,14,306,14,13,29,412,10,137,22,3,outdoor
934,13082,14,306,14,13,30,426,10,137,22,3,outdoor
884,12378,14,306,13,12,29,402,10,137,22,3,outdoor
936,13104,14,306,14,13,30,426,10,137,22,3,outdoor
969,13560,14,306,14,14,31,437,10,137,22,3,outdoor
1014,14193,14,306,14,14,32,443,10,136,22,3,outdoor
1086,14124,13,306,13,13,32,422,10,136,22,3,outdoor
1109,14422,13,306,13,13,33,426,10,136,22,3,outdoor
1062,13810,13,306,13,12,32,413,10,136,22,3,outdoor
1062,13807,13,306,13,12,32,422,10,136,22,3,outdoor
1076,13987,13,306,13,11,32,419,10,136,22,3,outdoor
1072,13942,13,306,13,12,32,422,9,136,22,3,outdoor
1085,14099,13,306,13,12,33,434,9,136,22,3,outdoor
1114,14485,13,306,13,12,33,430,9,138,22,3,outdoor
1116,14504,13,306,13,12,34,436,9,138,22,3,outdoor
1110,14433,13,306,13,12,33,432,9,138,22,3,outdoor
1113,14470,13,306,13,12,33,434,9,137,22,3,outdoor
1097,14264,13,306,13,12,33,430,9,137,22,3,outdoor
1093,14203,13,306,13,12,33,426,9,136,22,3,outdoor
1139,13668,12,306,12,11,33,396,9,137,22,3,outdoor
1088,14142,13,306,13,13,33,431,9,136,22,3,outdoor
1109,14419,13,306,13,13,34,444,9,136,22,3,outdoor
1200,14394,12,306,12,12,35,424,9,136,22,3,outdoor
1195,14343,12,306,12,12,35,419,8,135,22,3,outdoor
1142,14848,13,306,13,13,35,449,8,134,22,3,outdoor
1241,14890,12,306,12,12,36,434,8,135,22,3,outdoor
1231,14775,12,306,12,12,37,439,8,135,22,3,outdoor
1239,14872,12,306,12,12,36,435,8,135,22,3,outdoor
1196,14346,12,306,12,11,35,423,8,135,22,3,outdoor
1255,15062,12,306,12,11,37,443,8,134,22,3,outdoor
1258,15095,12,306,12,11,37,445,8,135,22,3,outdoor
1318,15815,12,306,12,11,38,451,7,135,22,3,outdoor
1215,15792,13,306,13,12,36,469,7,135,22,3,outdoor
1161,15094,13,306,13,12,35,454,8,136,22,3,outdoor
1189,15455,13,306,13,13,36,472,8,136,22,3,outdoor
1273,15280,12,306,12,12,38,452,10,136,22,3,outdoor
1274,15292,12,306,12,12,37,446,10,136,22,3,outdoor
1258,15091,12,306,12,12,37,444,10,136,22,3,outdoor
1280,15366,12,306,12,12,38,450,10,137,22,3,outdoor
1255,15056,12,306,12,12,37,439,10,137,22,3,outdoor
1266,15194,12,306,12,12,37,443,9,137,22,3,outdoor
1201,14412,12,306,12,11,34,408,7,137,22,3,outdoor
1205,14456,12,306,12,12,34,413,7,136,22,3,outdoor
1187,14246,12,306,12,12,34,411,7,137,22,3,outdoor
1200,14394,12,306,12,12,35,419,7,138,22,3,outdoor
1181,14170,12,306,12,12,35,415,7,138,22,3,outdoor
1182,14179,12,306,12,11,35,418,7,139,22,3,outdoor
1123,14598,13,306,13,13,34,442,7,139,22,3,outdoor
1124,14609,13,306,13,13,34,442,7,139,22,3,outdoor
1199,14392,12,306,12,12,35,421,7,140,23,3,outdoor
1182,14189,12,306,12,12,35,416,7,141,23,3,outdoor
1196,14348,12,306,12,11,34,409,7,141,23,3,outdoor
1205,14463,12,306,12,11,35,422,7,141,23,3,outdoor
1132,14710,13,306,13,12,34,438,7,141,23,3,outdoor
1123,14604,13,306,13,12,34,446,8,141,23,3,outdoor
1176,14108,12,306,12,11,34,412,8,142,23,3,outdoor
1200,14400,12,306,12,11,35,417,8,142,23,3,outdoor
1194,14323,12,306,12,11,35,422,8,142,23,3,outdoor
1211,14533,12,278,12,11,36,434,8,142,23,3,outdoor
1200,14398,12,278,12,11,36,426,8,141,23,3,outdoor
1150,13802,12,278,12,11,34,413,7,141,23,3,outdoor
1154,13844,12,278,12,11,34,404,7,141,23,3,outdoor
1194,14332,12,278,12,11,35,418,7,141,23,3,outdoor
1147,13764,12,278,12,11,34,409,7,141,23,3,outdoor
1166,13992,12,278,12,11,34,411,7,140,23,3,outdoor
1205,14464,12,278,12,11,35,421,7,140,23,3,outdoor
1168,14021,12,278,12,11,34,413,7,139,22,3,outdoor
1189,14264,12,278,12,11,35,421,7,139,22,3,outdoor
1167,14004,12,278,12,11,34,411,7,139,22,3,outdoor
1161,13928,12,278,12,11,34,410,7,139,22,3,outdoor
1141,13695,12,278,12,11,33,400,7,139,22,3,outdoor
1143,13711,12,278,12,11,34,403,7,139,22,3,outdoor
1128,13538,12,278,12,11,33,400,7,139,22,3,outdoor
1099,13187,12,278,12,11,32,381,7,139,22,3,outdoor
1140,13676,12,278,12,11,33,394,7,138,22,3,outdoor
1085,13018,12,278,12,11,32,378,7,138,22,3,outdoor
1070,12838,12,278,12,11,31,374,7,138,22,3,outdoor
1083,12996,12,278,12,11,32,378,7,138,22,3,outdoor
1126,12385,11,278,11,10,33,366,7,138,22,3,outdoor
1098,13179,12,278,12,12,32,383,7,138,22,3,outdoor
1121,13456,12,278,12,11,33,394,7,137,22,3,outdoor
1191,13102,11,278,11,11,34,374,7,137,22,3,outdoor
1175,12926,11,278,11,11,34,377,7,137,22,3,outdoor
1000,13002,13,278,13,13,32,420,7,137,22,3,outdoor
922,12902,14,278,14,14,32,452,8,138,22,3,outdoor
936,12168,13,278,13,13,34,439,8,138,22,3,outdoor
884,11495,13,278,13,13,32,422,8,138,22,3,outdoor
884,12373,14,278,14,14,32,441,8,138,22,3,outdoor
893,12504,14,278,14,14,32,452,8,138,22,3,outdoor
925,12944,14,278,14,14,33,463,8,138,22,3,outdoor
875,13123,15,278,15,15,32,486,8,139,22,3,outdoor
819,12290,15,278,15,15,32,473,8,138,22,3,outdoor
810,12154,15,278,15,14,32,483,8,138,22,3,outdoor
757,11351,15,278,15,14,31,458,8,138,22,3,outdoor
794,12708,16,278,16,15,30,482,8,137,22,3,outdoor
812,12184,15,278,15,15,30,452,8,137,22,3,outdoor
857,11997,14,278,14,14,30,417,7,137,22,3,outdoor
875,12247,14,278,14,13,30,416,7,137,22,3,outdoor
891,12478,14,278,14,14,31,440,7,137,22,3,outdoor
832,12485,15,278,15,15,31,462,8,137,22,3,outdoor
848,12718,15,278,15,15,32,475,8,137,22,3,outdoor
844,12661,15,278,15,15,31,470,8,137,22,3,outdoor
824,11531,14,278,14,14,30,425,8,137,22,3,outdoor
879,12300,14,278,14,14,32,447,8,137,22,3,outdoor
868,12146,14,278,14,14,32,446,8,137,22,3,outdoor
862,12071,14,278,14,13,31,437,8,137,22,3,outdoor
912,10941,12,278,12,12,33,399,8,136,22,3,outdoor
861,11189,13,278,13,13,33,426,8,137,22,3,outdoor
848,11870,14,278,14,14,32,442,7,137,22,3,outdoor
885,11507,13,278,13,13,34,437,7,136,22,3,outdoor
916,10987,12,278,12,12,34,406,7,136,22,3,outdoor
966,12563,13,278,13,13,34,446,7,136,22,3,outdoor
913,12781,14,278,13,13,32,446,8,136,22,3,outdoor
831,13293,16,278,15,15,31,500,8,136,22,3,outdoor
890,13353,15,278,14,14,32,477,8,136,22,3,outdoor
855,12818,15,278,14,14,31,459,8,135,22,3,outdoor
857,12849,15,278,14,14,30,451,8,135,22,3,outdoor
849,12739,15,278,14,14,31,464,8,135,22,3,outdoor
966,12554,13,278,12,12,33,430,8,135,22,3,outdoor
972,12636,13,278,12,12,33,433,8,135,22,3,outdoor
