elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
1200,9600,8,194,8,8,30,238,4,55,9,8,0,116.29439,40.04936,118.53,outdoor
1192,9533,8,194,8,8,30,237,4,55,9,8,0,116.29439,40.04936,118.62,outdoor
1204,9634,8,194,8,8,30,238,4,55,9,8,0,116.29439,40.04936,119.32,outdoor
1227,9818,8,194,8,8,30,239,4,55,9,8,0,116.29439,40.04936,119.05,outdoor
1276,10208,8,194,8,8,31,248,4,55,9,6,0,116.29439,40.04936,118.63,outdoor
1274,10194,8,194,8,8,31,247,4,55,9,6,0,116.29439,40.04936,118.39,outdoor
1279,10232,8,194,8,8,31,246,4,56,9,6,0,116.29439,40.04936,117.74,outdoor
1267,10134,8,194,8,8,30,243,4,58,9,6,0,116.29439,40.04936,115.33,outdoor
1274,10196,8,194,8,8,32,254,4,60,10,8,0,116.29439,40.04936,114.2,outdoor
1264,10110,8,194,8,8,32,253,4,61,10,8,0,116.29439,40.04936,113.3,outdoor
1267,10135,8,194,8,8,32,253,4,62,10,8,0,116.29439,40.04936,112.04,outdoor
1251,10006,8,194,8,8,31,250,4,62,10,8,0,116.29439,40.04936,111.55,outdoor
1226,9812,8,194,8,8,31,245,4,63,10,8,0,116.29439,40.04936,111.19,outdoor
1208,9666,8,194,8,8,30,242,4,63,10,8,0,116.29439,40.04936,110.9,outdoor
1193,9542,8,194,8,7,30,238,4,63,10,8,0,116.29439,40.04936,110.65,outdoor
1178,9427,8,194,8,7,30,236,4,63,10,8,0,116.29439,40.04936,110.46,outdoor
1216,9724,8,194,8,8,30,241,4,64,10,6,0,116.29439,40.04936,110.31,outdoor
1216,9729,8,194,8,8,30,241,4,64,10,6,0,116.29439,40.04936,110.24,outdoor
1212,9695,8,194,8,8,30,240,4,64,10,6,0,116.29439,40.04936,110.24,outdoor
1207,9657,8,194,8,8,30,241,4,64,10,6,0,116.29439,40.04936,110.24,outdoor
1209,9674,8,194,8,8,30,242,4,64,10,4,5,116.29427,40.04934,110.23,outdoor
1216,9728,8,194,8,8,30,242,4,64,10,4,6,116.29428,40.04932,110.22,outdoor
1223,9782,8,194,8,8,30,243,4,64,10,4,6,116.29428,40.04931,110.2,outdoor
1217,9737,8,194,8,8,30,241,5,64,10,6,7,116.29429,40.0493,110.19,outdoor
1221,9771,8,194,8,8,30,243,5,64,10,6,7,116.29429,40.04928,110.15,outdoor
1232,9859,8,194,8,8,30,243,5,64,10,6,7,116.29428,40.04926,110.11,outdoor
1238,9901,8,194,8,8,30,243,5,64,10,6,7,116.29428,40.04926,110.08,outdoor
1229,9833,8,194,8,8,30,242,5,64,10,6,7,116.29428,40.04925,110.06,outdoor
1223,9785,8,194,8,8,30,240,5,64,10,6,7,116.29428,40.04924,110.04,outdoor
1215,9717,8,194,8,8,30,239,5,64,10,8,7,116.29428,40.04923,110.02,outdoor
1206,9646,8,194,8,8,30,238,5,64,10,8,7,116.29427,40.04923,110.01,outdoor
1208,9667,8,194,8,8,30,238,5,64,10,8,6,116.29427,40.04922,109.99,outdoor
1203,9623,8,194,8,8,30,236,5,64,10,8,5,116.29427,40.04921,109.95,outdoor
1194,9555,8,194,8,8,29,235,5,64,10,8,5,116.29427,40.04921,109.95,outdoor
1178,9424,8,194,8,8,29,232,5,64,10,12,6,116.29427,40.04918,109.88,outdoor
1174,9388,8,194,8,8,29,233,5,64,10,12,6,116.29427,40.04918,109.88,outdoor
1174,9388,8,194,8,8,29,233,5,64,10,12,6,116.29427,40.04917,109.86,outdoor
1170,9361,8,194,8,8,29,231,5,64,10,12,6,116.29427,40.04916,109.83,outdoor
1170,9357,8,194,8,8,29,231,5,64,10,12,6,116.29427,40.04915,109.8,outdoor
1170,9358,8,194,8,8,29,232,5,64,10,8,6,116.29427,40.04913,109.74,outdoor
1206,9646,8,194,8,8,30,239,5,64,10,8,6,116.29427,40.04913,109.74,outdoor
1235,9882,8,194,8,8,31,245,5,64,10,8,6,116.29428,40.04912,109.72,outdoor
1253,10027,8,194,8,8,31,249,5,64,10,8,6,116.29429,40.0491,109.69,outdoor
1255,10042,8,194,8,8,31,249,5,64,10,8,6,116.29431,40.04908,109.64,outdoor
1252,10018,8,194,8,8,32,252,5,64,10,8,6,116.29431,40.04908,109.64,outdoor
1236,9891,8,194,8,8,31,249,5,64,10,8,6,116.29432,40.04907,109.61,outdoor
1276,10208,8,194,8,8,32,258,5,64,10,8,5,116.29436,40.04903,109.54,outdoor
1271,10169,8,194,8,8,32,257,5,64,10,8,5,116.29438,40.04901,109.52,outdoor
1276,10206,8,194,8,8,32,259,6,64,10,8,5,116.2944,40.049,109.49,outdoor
1258,10068,8,194,8,8,32,257,6,64,10,8,5,116.29441,40.04898,109.47,outdoor
1265,10121,8,194,8,8,32,260,6,64,10,8,6,116.29442,40.04897,109.45,outdoor
1268,10143,8,194,8,8,33,261,6,64,10,8,6,116.29443,40.04896,109.4,outdoor
