elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
977,8789,9,250,9,8,27,245,6,112,18,32,0,116.35068,40.07421,61.84,indoor
950,8549,9,250,9,8,26,238,6,116,19,24,0,116.35068,40.07421,57.61,indoor
880,8795,10,278,9,8,25,249,6,118,19,24,0,116.35068,40.07421,56.17,indoor
866,8664,10,278,10,8,25,248,6,117,19,24,0,116.35068,40.07421,56.77,indoor
824,9062,11,306,11,8,24,266,6,117,19,16,0,116.35068,40.07421,56.42,indoor
786,8648,11,306,11,8,23,257,6,118,19,16,0,116.35068,40.07421,55.81,indoor
775,8529,11,306,10,8,23,252,6,118,19,16,0,116.35068,40.07421,55.87,indoor
815,8146,10,278,10,8,24,237,5,116,19,16,0,116.35068,40.07421,57.62,indoor
868,7808,9,250,9,8,24,212,5,115,19,16,0,116.35068,40.07421,58.65,indoor
864,7773,9,250,9,8,23,210,5,114,18,16,0,116.35068,40.07421,59.58,indoor
833,7501,9,250,9,7,23,203,5,114,18,16,0,116.35068,40.07421,59.99,indoor
831,7476,9,250,9,7,22,200,5,113,18,16,0,116.35068,40.07421,61.08,indoor
846,7618,9,250,9,7,22,201,5,113,18,16,0,116.35068,40.07421,61.08,indoor
866,7794,9,250,9,7,23,208,6,112,18,16,0,116.35068,40.07421,61.62,indoor
872,7844,9,250,9,8,23,210,5,111,18,16,0,116.35068,40.07421,62.42,indoor
872,7846,9,222,9,8,23,210,5,110,18,16,0,116.35068,40.07421,63.44,indoor
870,7827,9,222,9,8,23,210,5,110,18,16,0,116.35068,40.07421,64.27,indoor
862,7755,9,222,9,8,23,209,5,110,18,16,0,116.35068,40.07421,64.28,indoor
842,7577,9,222,9,8,23,205,5,110,18,12,0,116.35068,40.07421,64.22,indoor
885,7967,9,222,9,7,23,210,6,110,18,12,0,116.35068,40.07421,64.21,indoor
902,8116,9,222,9,7,25,222,6,110,18,12,0,116.35068,40.07421,64.22,indoor
940,8463,9,222,9,7,27,240,6,110,18,12,0,116.35068,40.07421,64.19,indoor
967,8707,9,222,9,8,27,246,6,110,18,12,0,116.35068,40.07421,64.19,indoor
968,8716,9,222,9,8,27,244,6,110,18,12,0,116.35068,40.07421,64.24,indoor
875,8747,10,250,10,8,26,257,6,110,18,12,0,116.35068,40.07421,64.24,indoor
894,8935,10,250,10,8,26,261,6,110,18,12,0,116.35068,40.07421,64.22,indoor
898,8981,10,250,10,8,26,262,6,110,18,12,0,116.35068,40.07421,64.16,indoor
911,9108,10,250,10,8,27,267,6,110,18,12,0,116.35068,40.07421,64.15,indoor
936,9363,10,250,10,8,27,271,6,110,18,12,0,116.35068,40.07421,64.03,indoor
855,9404,11,278,10,9,26,284,6,110,18,12,0,116.35068,40.07421,63.87,indoor
843,9269,11,278,10,8,25,278,6,110,18,12,0,116.35068,40.07421,63.85,indoor
824,9060,11,278,11,8,25,273,6,110,18,8,0,116.35068,40.07421,63.67,indoor
873,8731,10,250,10,7,25,251,5,110,18,8,0,116.35068,40.07421,63.5,indoor
791,8706,11,278,10,7,23,256,4,112,18,8,0,116.35068,40.07421,62.04,indoor
779,8572,11,278,10,7,23,250,5,112,18,8,0,116.35068,40.07421,61.93,indoor
764,8407,11,278,11,7,22,247,5,112,18,12,0,116.35068,40.07421,61.71,indoor
764,8399,11,278,10,8,22,247,5,112,18,12,0,116.35068,40.07421,61.58,indoor
750,8250,11,278,10,8,22,243,5,112,18,12,0,116.35068,40.07421,61.45,indoor
760,8356,11,278,9,8,22,240,5,113,18,12,0,116.35068,40.07421,61.31,indoor
753,8281,11,278,9,8,22,238,5,113,18,12,0,116.35068,40.07421,61.16,indoor
800,7996,10,250,9,7,22,224,5,113,18,12,0,116.35068,40.07421,61.03,indoor
871,7838,9,222,8,7,23,207,5,113,18,12,0,116.35068,40.07421,60.92,indoor
814,8138,10,250,8,7,22,224,5,113,18,12,0,116.35068,40.07421,60.78,indoor
731,8037,11,278,8,7,21,230,5,113,18,12,0,116.35068,40.07421,60.67,indoor
745,8192,11,278,8,7,21,231,6,113,18,12,0,116.35068,40.07421,60.56,indoor
736,8093,11,278,8,7,21,230,5,113,18,12,2,116.35066,40.07416,60.47,indoor
775,7753,10,250,8,7,22,215,4,114,18,12,2,116.35068,40.07416,60.2,indoor
792,7916,10,250,8,7,22,220,4,114,18,12,2,116.35068,40.07416,60.07,indoor
808,8080,10,250,8,7,22,225,4,114,18,12,2,116.35069,40.07416,60.06,indoor
766,8425,11,278,9,7,22,242,6,114,18,12,2,116.3507,40.07416,60.01,indoor
833,8330,10,250,8,7,23,229,6,114,18,12,2,116.3507,40.07416,59.96,indoor
825,8254,10,250,8,7,23,227,6,114,18,12,3,116.3507,40.07416,59.87,indoor
734,8072,11,278,9,7,21,236,6,114,18,12,3,116.35071,40.07416,59.74,indoor
751,8258,11,278,9,7,21,236,6,114,18,12,3,116.35072,40.07415,59.7,indoor
732,8050,11,278,10,7,21,232,6,114,18,12,3,116.35072,40.07415,59.67,indoor
719,7910,11,278,10,8,21,230,6,114,18,12,2,116.35073,40.07415,59.61,indoor
707,7781,11,278,10,8,21,226,6,114,18,12,2,116.35073,40.07414,59.57,indoor
685,7534,11,278,9,8,20,219,6,114,18,12,2,116.35073,40.07414,59.56,indoor
681,7496,11,278,10,6,20,221,6,114,18,12,2,116.35073,40.07414,59.53,indoor
675,7429,11,278,9,5,20,220,0,114,18,12,2,116.35072,40.07414,59.52,indoor
718,7895,11,278,10,6,21,230,6,381,62,89,2,116.35072,40.07414,555.0,indoor
727,8000,11,278,11,6,22,237,6,115,19,12,2,116.35072,40.07414,59.11,indoor
728,8009,11,278,11,6,22,237,5,115,19,12,2,116.35072,40.07414,58.87,indoor
726,7991,11,278,10,7,22,238,5,115,19,12,2,116.35071,40.07414,58.67,indoor
716,7874,11,278,10,7,21,236,4,115,19,12,2,116.35071,40.07414,58.43,indoor
705,7760,11,278,10,7,21,233,5,115,19,12,2,116.35071,40.07414,58.43,indoor
695,7650,11,278,10,6,21,229,6,116,19,12,2,116.3507,40.07413,58.26,indoor
673,7402,11,278,10,6,20,224,5,116,19,12,2,116.3507,40.07413,58.03,indoor
663,7297,11,278,9,5,20,220,7,116,19,12,3,116.35069,40.07413,57.8,indoor
676,7436,11,278,9,5,20,222,6,116,19,12,4,116.35068,40.07413,57.56,indoor
686,7548,11,278,10,6,21,226,6,117,19,12,3,116.35067,40.07412,57.12,indoor
679,7465,11,278,9,6,20,225,6,117,19,12,3,116.35067,40.07412,57.12,indoor
693,7626,11,278,9,5,21,226,7,117,19,12,3,116.35065,40.07412,56.72,indoor
686,7550,11,278,10,6,21,231,7,117,19,12,3,116.35065,40.07412,56.54,indoor
676,7437,11,278,10,6,21,232,7,118,19,12,3,116.35064,40.07412,56.32,indoor
692,7612,11,278,10,7,21,232,7,118,19,12,3,116.35063,40.07412,55.87,indoor
683,7517,11,278,10,6,21,229,4,118,19,12,3,116.35063,40.07412,55.87,indoor
668,7343,11,278,10,6,20,221,5,118,19,12,4,116.35063,40.07412,55.64,indoor
657,7228,11,278,10,6,20,215,5,118,19,12,4,116.35063,40.07412,55.43,indoor
662,7278,11,278,10,6,19,214,5,119,19,12,4,116.35063,40.07412,55.19,indoor
660,7256,11,278,9,6,19,211,4,119,19,12,3,116.35063,40.07412,54.97,indoor
641,7051,11,278,7,6,19,204,5,119,19,12,4,116.35064,40.07412,54.76,indoor
665,6652,10,250,8,5,19,190,5,119,19,12,4,116.35064,40.07412,54.56,indoor
660,6596,10,250,8,5,19,190,5,121,20,12,4,116.35064,40.07411,52.46,indoor
662,6619,10,250,8,7,20,195,5,123,20,12,4,116.35064,40.07411,50.74,indoor
636,7000,11,278,8,6,19,213,5,124,20,16,3,116.35065,40.07411,50.18,indoor
653,7182,11,278,8,6,20,223,6,124,20,16,3,116.35065,40.07411,49.77,indoor
733,8064,11,278,9,6,23,254,5,124,20,16,4,116.35066,40.0741,49.45,indoor
735,8084,11,278,9,6,23,257,6,124,20,16,3,116.35066,40.07411,49.46,indoor
742,8160,11,278,9,6,24,260,6,124,20,16,4,116.35067,40.07411,49.43,indoor
746,8203,11,278,9,6,24,263,6,125,20,16,4,116.35067,40.07411,49.32,indoor
761,8375,11,278,9,6,24,266,6,125,20,16,4,116.35067,40.07411,49.22,indoor
841,9256,11,278,9,7,25,280,6,125,20,12,2,116.35067,40.07411,49.02,indoor
885,9734,11,278,9,8,26,291,6,125,20,12,2,116.35067,40.07411,49.02,indoor
908,9987,11,278,9,8,27,297,6,125,20,12,2,116.35066,40.07411,48.74,indoor
913,10040,11,278,9,9,27,297,6,125,20,12,2,116.35066,40.07411,48.43,indoor
906,9968,11,278,9,8,27,295,6,126,20,8,1,116.35065,40.07411,48.12,indoor
914,10058,11,278,9,8,27,298,6,126,20,8,1,116.35064,40.0741,47.78,indoor
931,10238,11,278,9,8,27,302,6,126,20,8,1,116.35063,40.0741,47.75,indoor
919,10104,11,278,9,8,27,300,7,126,20,8,1,116.35063,40.0741,47.51,indoor
907,9976,11,278,9,8,27,298,7,126,20,8,1,116.35062,40.0741,47.48,indoor
889,9779,11,278,9,8,27,297,6,126,20,8,1,116.35062,40.0741,47.46,indoor
847,9318,11,278,9,8,26,285,5,126,20,8,2,116.35062,40.07409,47.42,indoor
818,9001,11,278,9,8,25,277,5,126,20,8,2,116.35062,40.07409,47.39,indoor
798,8782,11,278,9,6,25,272,5,127,21,8,2,116.35061,40.07409,47.17,indoor
