elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
718,5023,7,194,4,0,15,104,7,106,17,20,4,116.29556,40.04872,67.72,indoor
803,5622,7,194,4,1,17,116,7,107,17,20,3,116.29557,40.0487,67.21,indoor
761,5326,7,194,4,1,16,111,7,112,18,20,3,116.2956,40.0487,61.56,indoor
784,5488,7,194,5,1,16,114,7,113,18,20,2,116.29562,40.0487,60.48,indoor
769,5386,7,194,5,1,16,113,7,117,19,20,2,116.29564,40.04871,57.31,indoor
673,5381,8,194,4,1,16,125,8,119,19,4,2,116.29566,40.04869,54.34,indoor
677,5413,8,194,4,1,15,122,8,121,20,20,3,116.29568,40.04868,52.99,indoor
689,5513,8,194,4,1,15,123,8,121,20,20,5,116.29568,40.04869,52.46,indoor
684,5471,8,194,4,0,15,120,8,122,20,20,6,116.29566,40.04869,52.24,indoor
698,5585,8,194,5,0,15,120,8,122,20,4,7,116.29564,40.0487,52.03,indoor
670,5358,8,194,5,0,15,117,8,122,20,20,6,116.29562,40.04871,52.23,indoor
633,5066,8,194,3,0,14,108,8,122,20,20,6,116.29561,40.04873,52.21,indoor
610,4879,8,194,3,0,13,104,8,122,20,20,7,116.29559,40.04873,51.56,indoor
580,4639,8,194,3,0,12,99,8,122,20,20,8,116.29558,40.04873,51.53,indoor
531,4250,8,194,1,0,12,92,8,122,20,20,8,116.29558,40.04872,51.42,indoor
569,3984,7,194,1,0,11,77,7,122,20,20,7,116.29555,40.04874,51.39,indoor
490,2940,6,194,0,0,10,60,6,122,20,20,7,116.29555,40.04874,51.36,indoor
406,2029,5,194,0,0,9,47,5,122,20,20,6,116.29556,40.04873,51.36,indoor
422,1688,4,194,0,0,10,39,4,122,20,20,5,116.29556,40.04873,51.36,indoor
473,1419,3,194,0,0,9,27,0,122,20,20,5,116.29556,40.04871,51.36,indoor
498,1494,3,194,0,0,10,29,0,122,20,20,5,116.29556,40.04871,51.36,indoor
443,886,2,194,0,0,10,21,0,122,20,20,5,116.29556,40.04871,51.36,indoor
454,454,1,194,0,0,12,12,0,122,20,20,5,116.29556,40.04871,51.36,indoor
416,416,1,194,0,0,11,11,0,122,20,20,5,116.29556,40.04871,51.36,indoor
416,416,1,194,0,0,11,11,0,122,20,20,5,116.29556,40.04871,51.36,indoor
416,416,1,194,0,0,11,11,0,122,20,20,5,116.29556,40.04871,51.36,indoor
416,416,1,194,0,0,11,11,0,122,20,20,5,116.29556,40.04871,51.36,indoor
820,1641,2,194,1,0,14,29,0,122,20,20,5,116.29556,40.04871,51.36,indoor
691,6911,10,222,8,2,16,164,10,43,7,18,3,116.29513,40.04933,130.74,indoor
693,6928,10,222,9,2,16,164,10,42,7,20,2,116.29513,40.04931,131.85,indoor
690,6895,10,222,6,2,16,164,10,42,7,4,4,116.29512,40.04929,131.88,indoor
665,6648,10,222,5,2,16,157,10,43,7,4,4,116.29517,40.04928,131.03,indoor
660,6595,10,222,4,2,15,153,10,42,7,4,5,116.29516,40.04925,131.7,indoor
680,6804,10,222,5,2,16,161,10,41,7,20,6,116.29514,40.04923,133.0,indoor
632,6319,10,222,5,1,15,148,10,58,9,20,7,116.29513,40.0492,116.02,indoor
604,6038,10,222,4,2,14,140,10,62,10,20,6,116.29512,40.04919,111.53,indoor
585,5848,10,222,4,2,13,134,10,65,11,20,6,116.29503,40.04914,108.67,indoor
599,4792,8,222,3,1,13,106,8,67,11,20,8,116.29507,40.04914,107.11,indoor
538,4306,8,222,1,0,12,96,8,68,11,20,7,116.29511,40.04917,106.3,indoor
709,4253,6,222,2,0,13,79,6,68,11,20,6,116.29512,40.04918,106.2,indoor
957,4785,5,222,2,2,17,83,5,68,11,20,7,116.2951,40.04918,106.05,indoor
1007,5034,5,222,4,2,18,89,5,68,11,20,7,116.29508,40.04916,105.94,indoor
1028,5139,5,222,4,2,18,92,5,68,11,4,8,116.29511,40.04915,105.89,indoor
1055,5276,5,222,5,2,19,94,5,68,11,20,8,116.29508,40.04911,105.81,indoor
1086,5432,5,222,5,2,20,98,5,69,11,20,7,116.29505,40.0491,105.32,indoor
958,5748,6,222,6,2,20,120,6,69,11,20,7,116.29505,40.0491,104.36,indoor
735,5881,8,222,8,3,18,148,8,70,11,20,7,116.29507,40.04907,103.81,indoor
712,5695,8,222,7,2,18,142,8,70,11,4,8,116.29514,40.04909,103.52,indoor
750,6000,8,222,6,4,19,149,8,70,11,20,8,116.29519,40.04912,103.63,indoor
740,6663,9,222,8,3,19,167,9,71,11,20,9,116.29522,40.04914,103.18,indoor
739,6651,9,222,7,3,18,165,9,71,11,20,9,116.29525,40.04916,102.64,indoor
834,9174,11,222,9,5,19,209,11,71,11,4,9,116.29527,40.04918,102.7,indoor
676,8106,12,222,9,4,17,206,12,73,12,20,9,116.29529,40.04921,100.76,indoor
714,8570,12,222,9,3,18,213,12,77,12,20,8,116.2953,40.04923,97.16,indoor
728,8008,11,222,9,3,18,201,11,77,12,20,7,116.2953,40.04928,97.02,indoor
732,8048,11,222,9,2,18,198,11,77,12,4,8,116.29529,40.04929,96.65,indoor
699,7684,11,222,10,2,17,189,11,77,12,9,8,116.2953,40.0493,96.51,indoor
696,7652,11,222,10,2,17,186,11,77,12,9,8,116.2953,40.0493,96.51,indoor
723,8671,12,222,10,2,16,196,12,78,13,11,9,116.29532,40.04933,95.92,indoor
654,7848,12,222,7,0,15,177,12,78,13,11,9,116.29534,40.04933,95.78,indoor
598,7179,12,222,5,0,14,164,12,78,13,10,9,116.29537,40.04934,95.66,indoor
562,6749,12,222,3,0,13,156,12,78,13,7,8,116.29537,40.04937,95.6,indoor
512,6150,12,222,3,0,12,145,12,78,13,6,7,116.29538,40.04936,95.58,indoor
550,4946,9,222,1,0,12,108,9,78,13,4,8,116.2954,40.04937,95.56,indoor
529,4760,9,222,1,0,12,106,9,78,13,4,8,116.2954,40.04938,95.56,indoor
530,4242,8,222,3,0,13,101,8,78,13,4,9,116.29541,40.04941,95.46,indoor
527,4213,8,222,3,0,12,99,8,78,13,4,9,116.29543,40.04942,95.46,indoor
519,4152,8,222,3,0,12,99,8,78,13,4,9,116.29543,40.04942,95.46,indoor
456,2735,6,222,1,0,12,72,6,78,13,5,9,116.29542,40.04946,95.36,indoor
383,2297,6,222,1,0,10,63,6,78,13,9,8,116.29542,40.04947,95.36,indoor
378,2268,6,222,0,0,10,63,6,78,13,16,7,116.29541,40.04948,95.37,indoor
366,2195,6,222,0,0,10,61,6,78,13,18,8,116.29541,40.0495,95.38,indoor
363,2178,6,222,0,0,10,60,0,78,13,4,8,116.2954,40.04952,95.39,indoor
342,1712,5,222,0,0,11,56,0,78,13,4,8,116.2954,40.04952,95.39,indoor
404,1617,4,222,0,0,12,47,0,78,13,4,8,116.2954,40.04952,95.39,indoor
458,1834,4,222,0,0,13,52,0,78,13,4,8,116.2954,40.04952,95.39,indoor
458,1834,4,222,0,0,13,52,0,78,13,4,8,116.2954,40.04952,95.39,indoor
470,1881,4,222,1,0,14,54,0,78,13,4,8,116.2954,40.04952,95.39,indoor
480,1921,4,222,1,0,14,55,0,78,13,4,8,116.2954,40.04952,95.39,indoor
465,1861,4,222,1,0,14,54,0,78,13,4,8,116.2954,40.04952,95.39,indoor
563,4506,8,222,4,0,15,119,8,108,17,20,3,116.29527,40.04947,65.89,indoor
534,4276,8,222,4,0,14,113,8,111,18,20,1,116.29526,40.04947,62.96,indoor
530,4238,8,222,4,1,14,113,8,113,18,20,5,116.29525,40.04947,60.91,indoor
516,4126,8,222,3,1,14,109,8,114,18,20,5,116.29524,40.04949,59.65,indoor
496,3967,8,222,3,1,13,105,8,117,19,20,1,116.29526,40.04953,56.97,indoor
477,3813,8,222,2,1,13,101,8,116,19,20,4,116.29529,40.04954,58.32,indoor
488,3902,8,222,2,1,13,104,8,117,19,20,4,116.29531,40.04955,57.26,indoor
473,3787,8,222,2,1,13,101,8,115,19,20,4,116.29532,40.04957,59.13,indoor
459,3670,8,222,2,1,12,99,8,115,19,20,5,116.29533,40.04958,59.18,indoor
484,3871,8,222,2,1,13,102,8,113,18,20,6,116.29533,40.04961,60.43,indoor
548,3833,7,222,2,0,13,94,7,114,18,20,7,116.29536,40.04964,60.07,indoor
591,4138,7,222,4,1,14,100,7,114,18,20,6,116.29532,40.04969,59.5,indoor
656,5244,8,222,5,2,16,127,8,118,19,20,5,116.29525,40.04966,55.59,indoor
700,5601,8,222,6,3,17,135,8,123,20,4,4,116.29523,40.04966,50.57,indoor
879,7909,9,222,7,4,19,168,9,126,20,20,6,116.29521,40.04965,47.51,indoor
897,8069,9,222,7,4,19,171,9,132,21,20,7,116.29518,40.04964,42.07,indoor
865,7783,9,222,7,4,19,168,9,133,22,20,7,116.29511,40.04962,41.06,indoor
776,6987,9,222,5,3,17,155,9,132,21,20,8,116.2951,40.04963,41.42,indoor
799,7992,10,222,6,2,18,176,10,133,22,20,8,116.2951,40.04965,41.16,indoor
773,7734,10,222,6,3,17,170,10,132,21,4,7,116.29509,40.04966,41.63,indoor
726,7263,10,222,5,2,16,160,10,131,21,20,6,116.2951,40.04969,43.07,indoor
682,6817,10,222,5,1,15,152,10,131,21,20,7,116.29511,40.04972,42.82,indoor
659,6588,10,222,5,1,15,147,10,131,21,20,8,116.29514,40.04972,42.61,indoor
622,6225,10,222,5,1,14,139,10,131,21,20,8,116.29517,40.04971,42.62,indoor
562,5057,9,222,3,0,13,119,9,131,21,4,8,116.2952,40.04972,42.51,indoor
520,4680,9,222,2,0,12,110,9,131,21,4,7,116.29521,40.0497,42.7,indoor
511,4603,9,222,2,0,12,109,9,131,21,20,6,116.29521,40.04972,42.65,indoor
495,4453,9,222,2,0,12,104,9,131,21,20,7,116.29525,40.04972,43.22,indoor
450,3604,8,222,1,0,12,94,8,130,21,20,8,116.29525,40.04971,43.38,indoor
434,3035,7,222,1,0,11,79,7,130,21,20,8,116.29526,40.0497,43.44,indoor
426,2981,7,222,1,0,11,79,7,130,21,20,8,116.29528,40.0497,43.67,indoor
408,2446,6,222,1,0,11,65,6,130,21,20,7,116.29529,40.04968,43.95,indoor
402,2410,6,222,1,0,11,65,6,130,21,4,6,116.2953,40.04967,44.06,indoor
402,1610,4,222,1,0,12,48,4,130,21,20,7,116.2953,40.04967,44.06,indoor
406,1218,3,222,1,0,12,37,3,130,21,20,8,116.29531,40.04967,44.13,indoor
437,3498,8,250,2,0,9,75,8,130,21,20,8,116.29531,40.04967,44.13,indoor
441,3530,8,250,2,0,9,75,8,130,21,20,8,116.29532,40.04966,44.29,indoor
430,1291,3,222,1,1,13,38,3,129,21,20,8,116.29534,40.04969,44.6,indoor
446,3571,8,250,2,1,10,76,8,129,21,20,8,116.29534,40.04969,44.6,indoor
454,2269,5,222,3,1,15,73,5,129,21,20,8,116.29536,40.04971,44.62,indoor
454,2269,5,222,3,1,15,73,5,129,21,20,8,116.29536,40.04971,44.62,indoor
462,1385,3,222,1,1,13,40,3,129,21,20,7,116.29536,40.04972,44.65,indoor
458,3665,8,250,2,1,10,78,8,129,21,20,7,116.29536,40.04972,44.65,indoor
428,1285,3,222,1,0,13,38,3,129,21,20,6,116.29538,40.04973,44.67,indoor
446,3565,8,250,2,0,10,76,8,129,21,20,6,116.29538,40.04973,44.67,indoor
434,1302,3,222,1,0,13,38,3,129,21,4,7,116.29539,40.04973,44.67,indoor
448,3582,8,250,2,0,10,76,8,129,21,4,7,116.29539,40.04973,44.67,indoor
432,1297,3,222,1,0,13,38,3,129,21,20,8,116.29525,40.04974,44.67,indoor
447,3577,8,250,2,0,10,76,8,129,21,20,8,116.29525,40.04974,44.67,indoor
419,1256,3,222,0,0,12,37,0,129,21,4,8,116.29515,40.04974,44.67,indoor
530,1059,2,222,1,0,14,27,0,129,21,4,8,116.29515,40.04974,44.67,indoor
530,1061,2,222,0,0,14,27,0,129,21,4,8,116.29515,40.04974,44.67,indoor
471,942,2,222,0,0,12,24,0,129,21,4,8,116.29515,40.04974,44.67,indoor
354,709,2,222,0,0,9,18,0,129,21,4,8,116.29515,40.04974,44.67,indoor
343,343,1,222,0,0,9,9,0,129,21,4,8,116.29515,40.04974,44.67,indoor
343,343,1,222,0,0,9,9,0,129,21,4,8,116.29515,40.04974,44.67,indoor
635,1270,2,222,1,1,16,32,0,129,21,4,8,116.29515,40.04974,44.67,indoor
709,2835,4,222,4,2,20,79,4,102,16,4,3,116.29467,40.04986,71.97,indoor
675,2701,4,222,4,2,19,75,4,110,18,20,2,116.29469,40.04986,63.66,indoor
656,2625,4,222,4,2,18,72,4,108,17,4,3,116.2947,40.04984,65.93,indoor
630,2522,4,222,3,2,17,69,4,107,17,20,4,116.29471,40.04984,66.37,indoor
632,2527,4,222,2,1,17,68,4,107,17,20,6,116.29472,40.04985,66.64,indoor
575,2299,4,222,2,0,16,63,4,105,17,20,7,116.29473,40.04987,68.33,indoor
603,2411,4,222,2,1,16,66,4,105,17,20,8,116.29475,40.04988,69.07,indoor
546,2185,4,222,1,1,15,60,4,104,17,20,6,116.29478,40.04992,69.8,indoor
407,1628,4,222,0,0,12,47,4,103,17,20,5,116.29478,40.04993,71.08,indoor
358,1431,4,222,0,0,10,40,4,102,16,20,6,116.29478,40.04993,71.85,indoor
326,1305,4,222,0,0,9,37,4,101,16,20,7,116.29478,40.04996,72.44,indoor
299,898,3,222,0,0,9,27,0,101,16,4,7,116.29476,40.04998,72.46,indoor
299,898,3,222,0,0,9,27,0,101,16,4,7,116.29476,40.04998,72.46,indoor
412,1236,3,222,1,0,12,36,0,101,16,4,7,116.29476,40.04998,72.46,indoor
812,1625,2,222,2,0,19,38,0,101,16,4,7,116.29476,40.04998,72.46,indoor
797,1594,2,222,2,1,18,37,0,101,16,4,7,116.29476,40.04998,72.46,indoor
732,1464,2,222,1,1,17,34,0,101,16,4,7,116.29476,40.04998,72.46,indoor
598,1793,3,222,3,0,17,52,0,101,16,4,7,116.29476,40.04998,72.46,indoor
603,2413,4,222,4,0,17,68,0,101,16,4,7,116.29476,40.04998,72.46,indoor
684,2738,4,222,3,1,19,76,0,101,16,4,7,116.29476,40.04998,72.46,indoor
467,3266,7,222,3,0,13,94,7,82,13,20,3,116.29501,40.04996,92.1,indoor
449,3140,7,222,2,0,13,92,7,113,18,20,9,116.29503,40.04997,60.76,indoor
511,3066,6,222,2,0,14,83,6,113,18,20,9,116.29505,40.04998,60.52,indoor
453,3174,7,222,3,0,14,101,7,114,18,20,8,116.29508,40.04998,59.8,indoor
468,3276,7,222,2,0,14,98,7,114,18,20,7,116.29511,40.04996,59.47,indoor
476,3331,7,222,2,1,14,101,7,117,19,20,7,116.29515,40.04996,57.12,indoor
542,3250,6,222,3,2,16,98,6,117,19,20,8,116.29515,40.04995,56.66,indoor
548,3285,6,222,3,2,16,97,6,117,19,20,8,116.29515,40.04991,56.47,indoor
536,3216,6,222,3,1,16,95,6,117,19,20,8,116.29515,40.04989,56.33,indoor
496,2977,6,222,3,1,15,90,6,118,19,20,7,116.29513,40.04988,56.3,indoor
451,2704,6,222,3,1,14,85,6,118,19,20,6,116.29512,40.04987,56.27,indoor
500,2498,5,222,3,1,15,73,5,117,19,20,7,116.29513,40.04989,56.35,indoor
469,2346,5,222,2,1,14,68,5,117,19,4,7,116.29514,40.0499,56.48,indoor
525,1575,3,222,2,0,16,48,3,117,19,4,8,116.29515,40.0499,56.53,indoor
482,3855,8,250,3,0,11,86,8,117,19,4,8,116.29515,40.0499,56.53,indoor
