elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
530,3708,7,194,5,0,16,109,7,118,19,4,4,116.26912,40.04275,55.4,indoor
526,3684,7,194,5,0,15,108,7,118,19,20,5,116.26914,40.04278,55.34,indoor
506,3544,7,194,4,0,15,106,7,117,19,20,1,116.26914,40.04279,56.75,indoor
471,3298,7,194,3,0,14,100,7,116,19,20,1,116.26917,40.04281,57.5,indoor
447,3130,7,194,2,0,14,96,7,116,19,20,1,116.26918,40.04282,57.81,indoor
384,2685,7,194,2,0,12,85,7,116,19,20,2,116.26919,40.04283,58.16,indoor
363,2542,7,194,1,0,11,79,7,116,19,20,3,116.26921,40.04283,58.28,indoor
365,2558,7,194,1,0,11,78,7,116,19,20,4,116.26923,40.04282,58.28,indoor
311,1868,6,194,1,0,11,67,6,115,19,20,4,116.26925,40.04281,58.41,indoor
302,1815,6,194,1,0,11,67,0,115,19,20,5,116.26926,40.04281,59.0,indoor
353,1413,4,194,1,0,12,49,0,115,19,20,5,116.26926,40.04281,59.0,indoor
353,1413,4,194,1,0,12,49,0,115,19,20,5,116.26926,40.04281,59.0,indoor
324,971,3,194,1,0,13,38,0,115,19,20,5,116.26926,40.04281,59.0,indoor
329,658,2,194,0,0,10,21,0,115,19,20,5,116.26926,40.04281,59.0,indoor
292,583,2,194,0,0,9,18,0,115,19,20,5,116.26926,40.04281,59.0,indoor
292,583,2,194,0,0,9,18,0,115,19,20,5,116.26926,40.04281,59.0,indoor
292,583,2,194,0,0,9,18,0,115,19,20,5,116.26926,40.04281,59.0,indoor
549,3844,7,194,5,0,15,103,7,93,15,20,8,116.26799,40.04322,80.62,indoor
566,3963,7,194,4,0,15,103,7,94,15,20,7,116.2679,40.0434,80.2,indoor
560,3919,7,194,4,0,15,102,7,95,15,20,6,116.26792,40.04345,78.74,indoor
568,3974,7,194,4,0,14,101,7,91,15,20,5,116.26789,40.04347,82.8,indoor
578,4045,7,194,5,0,15,102,7,92,15,20,5,116.26789,40.04349,81.72,indoor
588,3525,6,194,3,0,15,89,6,88,14,20,4,116.26784,40.04347,85.92,indoor
571,3425,6,194,4,0,14,87,6,88,14,20,4,116.26784,40.04347,85.92,indoor
538,3227,6,194,2,0,14,82,6,88,14,20,4,116.26783,40.04347,86.17,indoor
480,2881,6,194,2,0,13,77,6,88,14,20,4,116.26781,40.04347,86.3,indoor
446,2678,6,194,3,0,12,73,6,87,14,20,3,116.26777,40.04344,86.55,indoor
426,2129,5,194,3,0,13,64,5,87,14,20,4,116.26774,40.04342,87.14,indoor
465,1861,4,194,2,0,14,55,4,87,14,4,4,116.26774,40.0434,87.08,indoor
428,1712,4,194,1,0,13,52,4,86,14,20,3,116.26772,40.04338,88.2,indoor
378,1511,4,194,0,0,11,45,4,86,14,20,3,116.26769,40.04334,88.18,indoor
283,848,3,194,0,0,12,36,3,86,14,20,3,116.26769,40.04332,88.17,indoor
391,3128,8,222,1,0,9,74,8,86,14,20,3,116.26769,40.04332,88.17,indoor
487,2434,5,194,3,0,15,74,5,167,27,20,3,116.268,40.04327,6.58,indoor
511,2554,5,194,3,0,15,76,5,167,27,20,4,116.26801,40.04324,7.01,indoor
504,2522,5,194,2,0,15,74,5,164,27,20,4,116.26803,40.04324,9.47,indoor
462,2311,5,194,2,0,13,67,5,159,26,20,6,116.26806,40.04324,15.02,indoor
489,2446,5,194,2,0,14,70,5,155,25,20,6,116.26805,40.04326,19.25,indoor
484,2418,5,194,2,0,14,70,5,152,25,20,5,116.26807,40.04328,21.58,indoor
509,2543,5,194,2,0,14,71,5,152,25,20,5,116.26806,40.04326,21.95,indoor
515,2573,5,194,3,0,15,73,5,152,25,20,5,116.26807,40.04326,22.22,indoor
528,2639,5,194,3,0,15,73,5,154,25,20,7,116.26808,40.04327,19.78,indoor
511,2556,5,194,3,0,14,72,5,151,24,20,8,116.26809,40.04328,22.58,indoor
495,2477,5,194,3,0,14,69,5,149,24,20,7,116.2681,40.0433,24.75,indoor
481,2407,5,194,2,0,13,67,5,149,24,20,7,116.26813,40.04331,24.97,indoor
