elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
1088,11965,11,222,11,7,27,301,11,37,6,44,0,116.26762,40.04159,137.26,outdoor
1022,13287,13,222,13,9,26,334,13,14,2,32,0,116.26758,40.04149,159.58,outdoor
1016,13213,13,222,13,10,25,328,13,16,3,33,1,116.26759,40.04158,158.02,outdoor
978,12720,13,222,11,8,24,314,13,16,3,33,1,116.26759,40.04158,158.02,outdoor
1014,13182,13,222,13,8,25,322,13,58,9,20,0,116.26747,40.04185,116.31,outdoor
1030,13387,13,222,13,10,25,330,13,55,9,20,0,116.26744,40.04195,118.45,outdoor
1062,13811,13,222,13,11,26,336,13,71,11,4,1,116.2674,40.04199,103.0,outdoor
1120,14559,13,222,12,9,27,350,13,76,12,8,2,116.26743,40.04199,97.76,outdoor
1079,14029,13,222,12,8,26,335,13,76,12,4,1,116.26739,40.04201,97.76,outdoor
1064,13834,13,222,12,8,25,330,13,80,13,6,2,116.26741,40.04201,93.91,outdoor
972,13615,14,222,13,10,25,349,14,85,14,11,4,116.26744,40.04204,89.03,outdoor
924,13859,15,222,14,11,25,375,15,87,14,4,4,116.26745,40.04205,86.85,outdoor
990,14857,15,222,14,11,26,397,15,87,14,13,4,116.26745,40.04205,86.83,outdoor
972,14583,15,222,14,11,26,395,15,90,15,12,3,116.26747,40.04207,84.14,outdoor
961,14418,15,222,14,10,26,388,15,90,15,4,4,116.26748,40.04208,83.85,outdoor
957,14349,15,222,14,11,26,388,15,91,15,4,4,116.26749,40.04209,83.05,outdoor
957,14358,15,222,14,11,26,385,15,91,15,4,3,116.26748,40.0421,83.31,outdoor
934,14015,15,222,14,10,25,381,15,91,15,4,3,116.26748,40.04212,82.69,outdoor
919,13788,15,222,14,11,25,376,15,91,15,4,4,116.26749,40.04213,82.67,outdoor
981,13740,14,222,13,11,26,364,14,94,15,4,4,116.26751,40.04213,79.93,outdoor
900,12602,14,222,13,11,24,343,14,101,16,4,4,116.26753,40.04213,72.95,outdoor
879,12302,14,222,13,11,25,346,14,103,17,4,4,116.26753,40.04213,70.45,outdoor
926,12961,14,222,14,11,25,354,14,104,17,4,4,116.26754,40.04214,69.41,outdoor
872,12213,14,222,13,10,24,338,14,108,17,4,3,116.26755,40.04214,65.42,outdoor
842,11781,14,222,13,10,24,330,14,110,18,4,4,116.26755,40.04213,64.0,outdoor
875,12244,14,222,13,10,25,344,14,110,18,4,4,116.26755,40.04212,63.33,outdoor
864,12099,14,222,13,9,24,338,14,112,18,4,4,116.26755,40.04212,62.08,outdoor
845,11835,14,222,13,9,24,338,14,113,18,4,4,116.26754,40.04213,60.62,outdoor
866,12129,14,222,13,10,25,345,14,115,19,4,3,116.26754,40.04212,59.03,outdoor
878,12291,14,222,13,10,25,348,14,116,19,4,3,116.26754,40.04211,58.21,outdoor
897,12555,14,222,13,11,25,354,14,116,19,4,3,116.26756,40.04211,58.16,outdoor
889,13340,15,222,14,11,25,377,15,116,19,4,3,116.26757,40.04211,57.71,outdoor
940,14103,15,222,14,12,26,386,15,117,19,4,3,116.26757,40.04212,57.2,outdoor
937,14053,15,222,13,12,26,383,15,117,19,6,3,116.26758,40.04213,56.54,outdoor
944,14156,15,222,13,13,26,386,15,118,19,4,3,116.26759,40.04215,55.68,outdoor
953,14292,15,222,13,13,26,392,15,119,19,4,3,116.26759,40.04215,54.4,outdoor
935,14030,15,222,13,13,26,387,15,120,19,4,2,116.2676,40.04214,53.52,outdoor
975,14619,15,222,13,13,27,402,15,121,20,4,2,116.26759,40.04214,52.76,outdoor
959,14384,15,222,13,12,27,402,15,122,20,4,2,116.26759,40.04213,51.77,outdoor
968,14516,15,222,13,13,27,405,15,123,20,4,2,116.26759,40.04213,50.41,outdoor
1014,12174,12,222,12,10,28,338,12,137,22,29,1,116.26766,40.04161,36.96,outdoor
1164,15129,13,222,13,11,29,380,13,123,20,18,2,116.26775,40.0416,50.71,outdoor
1174,16430,14,222,14,12,29,402,14,115,19,10,1,116.26774,40.04158,59.07,outdoor
1184,16571,14,222,14,12,28,396,14,112,18,8,2,116.26775,40.04158,61.4,outdoor
1165,16310,14,222,14,11,28,396,14,111,18,7,3,116.26777,40.04154,62.88,outdoor
1175,16450,14,222,14,12,28,395,14,113,18,6,3,116.26778,40.04153,61.0,outdoor
1115,15613,14,222,14,11,27,382,14,121,20,4,2,116.26778,40.04153,53.23,outdoor
1091,15280,14,222,13,11,27,380,14,124,20,4,3,116.26779,40.04152,49.78,outdoor
1157,16201,14,222,13,12,28,389,14,126,20,4,3,116.26779,40.04151,48.16,outdoor
1178,16494,14,222,13,13,28,388,14,126,20,4,4,116.26779,40.04152,47.57,outdoor
1162,16264,14,222,13,13,27,382,14,127,21,4,3,116.26779,40.04152,47.02,outdoor
1190,16660,14,222,13,12,28,391,14,127,21,4,3,116.26779,40.04151,46.42,outdoor
1214,17001,14,222,14,12,29,406,14,128,21,4,4,116.2678,40.0415,45.67,outdoor
1239,17346,14,222,14,12,29,410,14,129,21,4,4,116.26781,40.04149,44.78,outdoor
1262,17670,14,222,14,13,30,421,14,130,21,4,4,116.26781,40.04148,44.14,outdoor
1226,17169,14,222,14,12,30,419,14,130,21,4,4,116.26781,40.04147,43.83,outdoor
1260,17642,14,222,14,13,30,427,14,130,21,4,5,116.26781,40.04146,43.52,outdoor
1346,18848,14,222,14,13,31,440,14,131,21,4,4,116.26781,40.04145,43.23,outdoor
1177,16481,14,222,14,13,29,400,14,131,21,4,3,116.26781,40.04144,42.9,outdoor
1256,17584,14,222,14,13,30,427,14,131,21,4,4,116.2678,40.04143,42.92,outdoor
1206,16887,14,222,14,12,29,406,14,131,21,4,4,116.2678,40.04143,42.69,outdoor
1210,16943,14,222,14,13,29,409,14,132,21,4,4,116.2678,40.04142,42.15,outdoor
1163,16285,14,222,14,12,28,389,14,132,21,4,4,116.26781,40.04141,41.86,outdoor
1116,15630,14,222,14,12,27,375,14,132,21,4,4,116.26781,40.04141,41.58,outdoor
1164,16290,14,222,14,10,28,386,14,133,22,4,3,116.26781,40.04141,41.28,outdoor
1204,16853,14,222,14,11,29,401,14,133,22,4,3,116.26781,40.0414,41.32,outdoor
1190,16665,14,222,14,13,28,395,14,132,21,4,3,116.2678,40.0414,41.51,outdoor
1178,16487,14,222,14,13,28,391,14,132,21,4,3,116.26778,40.0414,41.98,outdoor
1173,16424,14,222,14,13,28,386,14,132,21,4,3,116.26777,40.0414,42.13,outdoor
1196,16748,14,222,14,13,28,390,14,131,21,4,3,116.26776,40.04139,42.4,outdoor
1178,16497,14,222,14,13,28,393,14,131,21,4,3,116.26774,40.04138,42.79,outdoor
1174,16443,14,222,14,13,28,391,14,131,21,4,2,116.26774,40.04137,43.17,outdoor
1141,15980,14,222,14,13,27,379,14,130,21,4,2,116.26772,40.04136,43.62,outdoor
1127,15772,14,222,14,11,26,370,14,130,21,4,2,116.26771,40.04136,43.97,outdoor
1185,16594,14,222,14,13,28,396,14,129,21,4,2,116.2677,40.04135,44.37,outdoor
1168,16356,14,222,14,12,28,389,14,128,21,5,2,116.2677,40.04134,45.4,outdoor
