elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
744,4464,6,306,6,3,21,125,6,87,14,70,0,116.26926,40.04344,87.06,indoor
744,4464,6,306,6,3,21,125,5,84,14,68,0,116.26928,40.04347,90.1,indoor
701,4206,6,306,6,3,20,117,5,103,17,68,0,116.26908,40.04339,71.01,indoor
715,4291,6,306,6,3,20,121,5,128,21,62,0,116.2691,40.04334,45.38,indoor
640,4481,7,306,7,3,20,138,5,140,23,41,0,116.26884,40.04325,33.43,indoor
603,4224,7,306,6,3,20,138,5,146,24,38,0,116.26873,40.04318,27.86,indoor
556,4450,8,306,6,2,19,151,6,145,23,35,0,116.2686,40.04308,29.06,indoor
534,4268,8,306,6,2,18,147,6,144,23,34,0,116.26859,40.04308,29.52,indoor
533,4261,8,306,6,1,18,145,7,145,23,32,0,116.2686,40.04309,28.68,indoor
506,4550,9,306,7,2,18,164,7,144,23,31,0,116.26867,40.04311,29.89,indoor
507,4564,9,306,7,3,18,165,7,144,23,29,0,116.26874,40.04315,30.05,indoor
561,5614,10,306,8,4,18,182,7,136,22,31,0,116.26877,40.04316,38.26,indoor
561,5610,10,306,8,4,18,185,6,132,21,29,0,116.26878,40.04316,41.83,indoor
570,5704,10,306,8,3,19,189,6,126,20,28,0,116.26878,40.04313,47.95,indoor
570,5704,10,306,8,3,19,189,6,123,20,27,0,116.2688,40.04313,50.95,indoor
599,5988,10,306,9,3,19,194,6,122,20,27,0,116.2688,40.04313,51.58,indoor
638,6383,10,306,8,3,19,191,7,120,19,25,0,116.26879,40.04312,53.51,indoor
655,6553,10,306,8,3,20,196,7,111,18,23,0,116.26878,40.04311,63.29,indoor
642,6421,10,306,8,4,20,195,7,100,16,22,0,116.26874,40.04311,74.06,indoor
658,6582,10,306,8,5,19,194,7,93,15,19,0,116.26872,40.04308,80.97,indoor
637,6367,10,306,9,4,19,188,7,83,13,19,0,116.26869,40.04306,90.85,indoor
657,6570,10,306,9,4,20,195,8,80,13,18,0,116.26868,40.04305,94.19,indoor
648,6480,10,306,9,3,19,191,8,79,13,17,0,116.26868,40.04304,95.05,indoor
665,6648,10,306,10,3,20,197,7,78,13,16,0,116.26867,40.04304,95.66,indoor
678,6781,10,306,10,4,20,203,8,78,13,15,0,116.26867,40.04303,95.81,indoor
661,7270,11,306,11,5,20,220,8,78,13,14,0,116.26867,40.04303,96.27,indoor
613,7358,12,306,11,5,19,233,9,69,11,16,0,116.26862,40.04302,104.56,indoor
625,8126,13,306,11,5,20,259,6,63,10,19,0,116.26857,40.04302,111.26,indoor
637,8280,13,306,12,6,21,270,5,55,9,21,0,116.26852,40.043,118.4,indoor
546,7638,14,306,13,6,20,286,5,48,8,21,0,116.26846,40.04297,125.61,indoor
556,7787,14,306,14,7,21,291,7,40,6,20,0,116.26837,40.04287,133.63,indoor
499,7479,15,306,14,5,19,286,7,36,6,19,0,116.26831,40.04284,138.3,indoor
482,7230,15,306,13,6,19,283,9,33,5,17,0,116.26832,40.04284,140.79,indoor
475,7119,15,306,13,5,19,279,10,33,5,17,0,116.26831,40.04284,140.74,indoor
474,7103,15,306,13,4,18,277,10,24,4,17,0,116.26829,40.04282,149.33,indoor
488,7324,15,306,13,5,19,282,10,27,4,17,0,116.26829,40.04283,146.81,indoor
491,7370,15,306,13,5,19,283,10,20,3,18,0,116.26828,40.04282,153.46,indoor
490,7345,15,306,13,5,19,279,10,20,3,20,0,116.26828,40.04282,154.2,indoor
488,7317,15,306,13,5,19,278,6,19,3,20,0,116.26828,40.04282,154.4,indoor
491,7364,15,306,13,5,19,280,5,19,3,21,0,116.26828,40.04282,154.48,indoor
508,7616,15,306,14,6,19,284,5,18,3,20,0,116.26828,40.04282,155.36,indoor
538,8069,15,306,13,7,19,290,7,15,2,18,0,116.26829,40.04282,159.28,indoor
536,8038,15,306,13,7,19,289,7,16,3,16,0,116.26829,40.04282,158.03,indoor
506,7583,15,306,12,6,18,277,7,15,2,15,0,116.26829,40.04282,158.38,indoor
529,7929,15,306,12,5,19,281,9,16,3,14,0,116.26829,40.04282,158.3,indoor
544,8165,15,306,12,5,19,284,9,14,2,13,0,116.26829,40.04283,159.6,indoor
527,7901,15,306,12,5,19,281,9,13,2,13,0,116.2683,40.04284,160.86,indoor
510,7656,15,306,12,5,19,279,9,13,2,12,0,116.2683,40.04284,160.79,indoor
505,7581,15,306,12,5,18,276,9,13,2,12,0,116.2683,40.04284,160.74,indoor
494,7406,15,306,12,5,18,276,9,13,2,12,0,116.2683,40.04284,160.72,indoor
489,7333,15,306,12,5,18,273,8,13,2,11,0,116.2683,40.04284,160.7,indoor
481,7215,15,306,12,5,18,269,8,13,2,11,0,116.2683,40.04284,160.75,indoor
517,7238,14,306,11,4,18,256,8,13,2,13,0,116.2683,40.04284,160.76,indoor
521,7288,14,306,11,4,18,257,7,13,2,13,0,116.2683,40.04284,160.75,indoor
530,7425,14,306,11,5,18,256,7,13,2,13,0,116.2683,40.04284,160.71,indoor
544,7611,14,306,11,5,19,262,7,13,2,13,0,116.2683,40.04284,160.64,indoor
582,6980,12,306,9,4,19,225,7,13,2,13,0,116.2683,40.04284,160.66,indoor
596,7147,12,306,9,4,19,228,7,13,2,13,0,116.2683,40.04284,160.64,indoor
637,7007,11,306,8,3,18,203,8,13,2,13,0,116.2683,40.04284,160.71,indoor
661,7268,11,306,8,3,19,207,7,13,2,13,0,116.2683,40.04284,160.71,indoor
624,6860,11,306,8,3,18,203,7,13,2,12,0,116.2683,40.04284,160.87,indoor
647,6468,10,306,8,3,19,191,7,12,2,13,0,116.2683,40.04284,161.33,indoor
637,6374,10,306,8,3,19,187,6,12,2,13,0,116.2683,40.04284,161.33,indoor
636,6356,10,306,8,3,19,186,6,13,2,13,0,116.2683,40.04284,161.29,indoor
614,6144,10,306,8,3,18,179,6,12,2,14,0,116.2683,40.04284,161.34,indoor
620,6201,10,306,8,3,18,181,6,12,2,15,0,116.2683,40.04284,161.35,indoor
587,5872,10,306,7,3,17,174,4,12,2,15,0,116.2683,40.04284,161.35,indoor
587,5872,10,306,7,3,17,174,5,12,2,17,0,116.2683,40.04284,161.36,indoor
555,5548,10,306,7,1,17,169,5,12,2,19,0,116.2683,40.04284,161.36,indoor
556,5565,10,306,6,2,17,169,5,12,2,21,0,116.2683,40.04284,161.35,indoor
562,5621,10,306,6,1,17,172,5,12,2,23,0,116.2683,40.04284,161.35,indoor
522,5221,10,306,5,2,16,163,5,12,2,24,0,116.2683,40.04284,161.33,indoor
522,5221,10,306,5,2,16,163,6,12,2,25,0,116.2683,40.04284,161.33,indoor
506,5056,10,306,5,2,16,157,5,12,2,27,0,116.2683,40.04284,161.34,indoor
501,5011,10,306,4,2,15,153,5,12,2,28,0,116.2683,40.04284,161.35,indoor
493,4932,10,306,3,2,15,149,5,12,2,26,0,116.2683,40.04284,161.36,indoor
493,4932,10,306,3,2,15,149,5,12,2,25,0,116.2683,40.04284,161.36,indoor
493,4927,10,306,3,2,15,149,5,12,2,26,0,116.2683,40.04284,161.39,indoor
