elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
762,12186,16,306,16,13,28,455,8,118,19,4,0,116.35057,40.07418,55.33,indoor
784,12545,16,306,16,14,29,462,5,118,19,4,0,116.35057,40.07418,55.33,indoor
768,12286,16,306,16,14,30,474,5,118,19,4,0,116.35057,40.07418,55.33,indoor
807,13715,17,306,17,16,29,488,5,119,19,4,1,116.35057,40.07419,54.58,indoor
800,13594,17,306,17,15,28,472,5,120,19,4,1,116.35057,40.0742,54.3,indoor
792,13462,17,306,17,14,28,469,5,120,19,4,0,116.35057,40.0742,54.22,indoor
736,12520,17,306,17,13,26,443,5,119,19,5,0,116.35057,40.07421,54.37,indoor
691,11748,17,306,17,13,25,420,5,120,19,5,0,116.35057,40.07421,54.3,indoor
702,11926,17,306,17,14,25,421,11,121,20,5,0,116.35057,40.07418,52.79,indoor
712,12105,17,306,17,13,25,430,11,122,20,5,0,116.35058,40.07416,51.55,indoor
690,11723,17,306,17,13,24,413,11,123,20,5,0,116.35058,40.07416,51.23,indoor
665,11302,17,306,17,11,23,388,11,123,20,5,0,116.35058,40.07416,50.99,indoor
651,11074,17,306,17,12,23,385,11,123,20,5,0,116.35058,40.07416,50.92,indoor
688,11691,17,306,17,13,23,399,11,122,20,5,0,116.35058,40.07416,51.4,indoor
664,11294,17,306,17,13,23,392,11,123,20,5,0,116.35059,40.07415,50.81,indoor
683,11610,17,306,17,12,23,390,11,124,20,5,0,116.35059,40.07414,50.03,indoor
717,12188,17,306,16,11,24,409,9,124,20,5,0,116.35059,40.07414,49.96,indoor
739,12570,17,306,16,13,24,411,10,124,20,4,0,116.3506,40.07414,49.99,indoor
765,13010,17,306,16,13,25,420,10,124,20,4,0,116.3506,40.07414,50.17,indoor
770,13088,17,306,16,13,25,421,10,123,20,4,0,116.3506,40.07414,50.4,indoor
749,12725,17,306,16,13,25,424,10,123,20,4,0,116.3506,40.07414,50.42,indoor
738,12542,17,306,16,11,24,413,10,123,20,4,0,116.3506,40.07414,50.43,indoor
705,11986,17,306,16,10,24,404,11,123,20,4,0,116.3506,40.07414,50.53,indoor
703,11953,17,306,16,9,24,401,11,123,20,4,0,116.3506,40.07414,50.52,indoor
688,11697,17,306,16,10,23,394,11,123,20,4,0,116.3506,40.07414,50.53,indoor
669,11371,17,306,16,13,24,400,11,123,20,4,0,116.3506,40.07414,50.55,indoor
695,11811,17,306,17,13,25,419,11,123,20,4,0,116.3506,40.07414,50.59,indoor
737,12528,17,306,17,11,26,446,11,123,20,3,0,116.3506,40.07414,50.59,indoor
842,14319,17,306,17,15,29,493,10,123,20,3,0,116.3506,40.07414,50.6,indoor
824,14006,17,306,17,17,29,492,10,123,20,3,1,116.3506,40.07416,50.5,indoor
844,14353,17,306,17,16,29,499,10,123,20,3,1,116.35061,40.07416,50.81,indoor
837,14228,17,306,17,17,30,506,10,123,20,4,0,116.35061,40.07416,50.33,indoor
787,13381,17,306,17,16,29,490,9,124,20,4,0,116.35061,40.07416,49.86,indoor
806,13709,17,306,17,17,29,491,6,124,20,4,0,116.35061,40.07417,49.85,indoor
848,14414,17,306,17,17,29,500,5,124,20,4,0,116.3506,40.07417,49.79,indoor
819,13931,17,306,17,17,29,499,5,123,20,10,2,116.3506,40.07418,50.97,indoor
820,13941,17,306,17,17,29,501,5,123,20,10,0,116.3506,40.07419,50.45,indoor
750,12753,17,306,17,17,28,472,5,124,20,10,0,116.3506,40.07419,50.22,indoor
737,12525,17,306,17,16,26,446,5,123,20,10,0,116.3506,40.07419,50.59,indoor
673,11440,17,306,17,15,23,398,5,123,20,10,0,116.35059,40.0742,50.82,indoor
641,10900,17,306,17,12,22,371,11,123,20,10,0,116.3506,40.0742,51.06,indoor
638,10853,17,306,17,12,22,372,11,123,20,10,0,116.3506,40.07419,50.66,indoor
674,11450,17,306,17,13,22,378,11,123,20,10,0,116.35061,40.07418,50.46,indoor
685,11652,17,306,17,13,22,380,11,124,20,10,0,116.35061,40.07418,50.2,indoor
734,12470,17,306,17,14,24,403,11,124,20,10,0,116.35061,40.07418,49.75,indoor
698,11860,17,306,17,14,24,402,11,124,20,10,0,116.35062,40.07417,49.39,indoor
711,12082,17,306,17,14,24,404,10,124,20,10,0,116.35062,40.07417,49.37,indoor
715,12157,17,306,17,15,24,411,10,125,20,10,0,116.35062,40.07417,49.2,indoor
675,11475,17,306,17,14,23,398,10,125,20,10,0,116.35062,40.07416,48.9,indoor
693,11787,17,306,17,13,24,408,10,125,20,9,0,116.35062,40.07416,49.12,indoor
673,11434,17,306,16,12,23,394,10,124,20,10,0,116.35061,40.07416,49.51,indoor
688,11695,17,306,16,13,24,409,10,124,20,10,0,116.35061,40.07416,50.13,indoor
709,12059,17,306,16,13,25,419,11,124,20,10,0,116.35061,40.07416,50.28,indoor
675,11470,17,306,16,12,23,398,11,123,20,10,0,116.35061,40.07416,50.37,indoor
675,11481,17,306,16,12,24,402,11,123,20,10,0,116.35061,40.07416,50.43,indoor
683,11606,17,306,16,12,24,409,11,123,20,10,0,116.35061,40.07416,50.51,indoor
691,11752,17,306,16,12,24,400,11,123,20,10,0,116.35061,40.07416,50.51,indoor
639,10866,17,306,16,12,22,379,10,123,20,10,0,116.35061,40.07416,50.68,indoor
644,10950,17,306,16,12,22,378,10,123,20,10,0,116.35061,40.07416,50.77,indoor
688,11703,17,306,16,11,23,393,10,123,20,10,0,116.35061,40.07416,50.67,indoor
670,11382,17,306,16,12,23,389,10,123,20,10,0,116.35061,40.07416,50.72,indoor
629,10686,17,306,16,12,22,367,10,123,20,10,0,116.35061,40.07416,50.78,indoor
646,10984,17,306,16,12,22,370,10,123,20,10,0,116.35061,40.07416,50.78,indoor
633,10768,17,306,16,12,22,367,11,123,20,10,0,116.35061,40.07416,50.78,indoor
637,10835,17,306,16,11,22,370,11,123,20,10,0,116.35061,40.07416,50.7,indoor
653,11104,17,306,16,10,22,377,11,123,20,10,0,116.35061,40.07415,50.42,indoor
636,10812,17,306,16,10,22,368,10,123,20,10,0,116.35061,40.07415,50.43,indoor
637,10831,17,306,16,10,22,373,10,123,20,10,0,116.35061,40.07415,50.45,indoor
637,10836,17,306,16,9,21,364,10,123,20,10,0,116.35061,40.07415,50.44,indoor
630,10710,17,306,16,9,22,376,9,123,20,10,0,116.35061,40.07415,50.43,indoor
631,10724,17,306,16,8,22,378,9,123,20,10,0,116.35061,40.07415,50.43,indoor
636,10815,17,306,16,9,22,379,10,123,20,10,0,116.35061,40.07415,50.48,indoor
588,9992,17,306,16,8,22,372,10,123,20,10,0,116.35061,40.07415,50.46,indoor
587,9984,17,306,16,9,22,368,10,123,20,10,0,116.35061,40.07416,50.52,indoor
583,9907,17,306,16,9,22,369,10,123,20,10,0,116.35061,40.07415,50.44,indoor
586,9963,17,306,16,8,21,363,11,123,20,10,0,116.35061,40.07415,50.4,indoor
611,10380,17,306,16,10,22,374,11,123,20,10,0,116.35061,40.07415,50.38,indoor
611,10392,17,306,16,10,21,364,11,123,20,10,0,116.35061,40.07415,50.36,indoor
590,10032,17,306,16,9,21,357,10,124,20,10,0,116.35061,40.07415,50.31,indoor
598,10171,17,306,16,9,21,358,10,124,20,10,0,116.35061,40.07415,50.3,indoor
601,10223,17,306,16,9,21,362,10,124,20,10,0,116.35061,40.07415,50.23,indoor
599,10182,17,306,16,9,22,368,9,124,20,10,0,116.35061,40.07415,50.21,indoor
580,9862,17,306,16,8,21,357,9,124,20,10,0,116.35061,40.07415,50.19,indoor
602,10233,17,306,15,10,21,363,9,124,20,10,0,116.35061,40.07415,50.18,indoor
611,9778,16,306,14,10,22,345,10,124,20,10,0,116.35061,40.07415,50.18,indoor
581,9290,16,306,14,8,21,334,10,124,20,10,0,116.35061,40.07415,50.16,indoor
586,9384,16,306,14,8,20,325,10,124,20,10,0,116.35061,40.07415,50.16,indoor
599,9591,16,306,15,9,21,336,10,124,20,10,0,116.35061,40.07415,50.16,indoor
608,9123,15,306,14,10,21,320,11,124,20,10,0,116.35061,40.07415,50.16,indoor
664,9957,15,306,14,11,22,329,11,124,20,10,0,116.35061,40.07415,50.15,indoor
639,9581,15,306,14,9,21,317,11,124,20,10,0,116.35061,40.07415,50.12,indoor
639,9583,15,306,14,9,21,318,11,124,20,10,0,116.35061,40.07415,50.11,indoor
638,9565,15,306,14,10,21,310,10,124,20,10,0,116.35061,40.07415,50.1,indoor
628,9419,15,306,14,8,20,305,9,124,20,10,0,116.35061,40.07415,50.09,indoor
619,9290,15,306,14,8,20,301,9,124,20,10,0,116.35061,40.07415,50.09,indoor
605,9070,15,306,14,9,20,303,8,124,20,10,0,116.35061,40.07415,50.08,indoor
590,8846,15,306,14,10,21,313,7,124,20,10,0,116.35061,40.07415,50.08,indoor
625,9379,15,306,12,10,21,312,6,124,20,10,0,116.35061,40.07415,50.07,indoor
603,9040,15,306,13,12,21,322,8,124,20,10,0,116.35061,40.07415,50.06,indoor
614,9216,15,306,13,12,22,334,9,124,20,10,0,116.35061,40.07415,50.05,indoor
603,9046,15,306,14,11,22,333,9,124,20,10,0,116.35061,40.07415,50.0,indoor
765,10711,14,306,13,11,27,372,10,124,20,10,0,116.35061,40.07415,49.99,indoor
749,10483,14,306,13,13,28,398,9,124,20,10,0,116.35061,40.07415,49.98,indoor
791,11863,15,306,14,13,28,418,8,124,20,9,0,116.35061,40.07415,49.94,indoor
804,12868,16,306,15,14,28,456,8,125,20,9,2,116.35062,40.07416,48.57,indoor
804,12867,16,306,15,13,28,445,7,125,20,9,0,116.35062,40.07417,48.89,indoor
765,12236,16,306,15,13,27,426,7,125,20,9,0,116.35062,40.07418,49.03,indoor
790,12634,16,306,16,14,27,428,5,125,20,10,1,116.35062,40.07418,48.82,indoor
778,12440,16,306,16,14,27,428,5,125,20,10,0,116.35061,40.07418,49.32,indoor
751,12013,16,278,16,13,26,412,5,124,20,10,0,116.35061,40.07418,49.88,indoor
752,12035,16,278,16,13,26,412,4,124,20,10,0,116.35062,40.07419,49.69,indoor
783,12521,16,278,16,13,26,417,4,124,20,10,0,116.35062,40.07419,49.92,indoor
787,12597,16,278,16,13,26,424,4,124,20,10,0,116.35062,40.07419,50.09,indoor
726,11620,16,278,16,10,25,399,4,124,20,10,0,116.35063,40.07419,50.27,indoor
777,12432,16,278,16,12,27,439,4,124,20,10,0,116.35063,40.07419,50.23,indoor
823,13175,16,278,16,13,29,461,6,124,20,10,0,116.35062,40.07419,50.17,indoor
806,12903,16,278,16,13,28,448,6,123,20,3,1,116.35062,40.07419,50.86,indoor
791,12660,16,278,16,14,29,465,6,123,20,3,2,116.35061,40.07419,50.83,indoor
787,12592,16,278,16,14,28,450,7,123,20,3,1,116.35061,40.07419,50.92,indoor
715,11435,16,278,16,14,26,410,7,122,20,3,0,116.35061,40.07419,51.47,indoor
682,10907,16,278,16,14,24,383,7,122,20,3,0,116.35061,40.07419,52.02,indoor
656,10501,16,278,16,14,23,372,10,122,20,3,0,116.3506,40.07419,52.14,indoor
651,10412,16,278,16,14,24,382,10,122,20,3,0,116.3506,40.07418,52.24,indoor
652,10427,16,278,16,13,24,378,11,122,20,4,0,116.35061,40.07418,51.95,indoor
664,10624,16,278,16,13,24,381,10,122,20,4,0,116.35061,40.07417,51.89,indoor
630,10075,16,278,16,13,23,363,10,122,20,4,0,116.35062,40.07417,51.83,indoor
634,10144,16,278,16,13,22,352,10,122,20,4,0,116.35062,40.07417,51.74,indoor
600,9608,16,278,16,12,22,344,7,122,20,4,0,116.35062,40.07417,51.85,indoor
595,9516,16,278,16,12,21,333,8,122,20,5,0,116.35061,40.07417,52.0,indoor
580,9278,16,278,14,10,20,319,8,122,20,5,0,116.35061,40.07417,51.98,indoor
557,8916,16,278,14,9,20,313,10,122,20,5,0,116.35061,40.07417,52.04,indoor
556,8889,16,278,14,8,19,308,10,122,20,6,0,116.35061,40.07417,52.05,indoor
527,8426,16,278,13,7,19,301,9,122,20,7,0,116.35061,40.07417,52.05,indoor
512,8194,16,278,13,6,19,299,9,122,20,8,0,116.35061,40.07417,52.06,indoor
500,8002,16,278,14,6,19,309,8,122,20,8,0,116.35061,40.07417,51.96,indoor
523,8369,16,278,15,7,20,317,7,123,20,8,0,116.35062,40.07416,50.78,indoor
537,8589,16,278,15,8,20,315,7,124,20,8,0,116.35062,40.07415,50.23,indoor
535,8564,16,278,15,8,20,319,6,124,20,8,0,116.35062,40.07414,50.32,indoor
564,9023,16,278,15,11,21,330,7,124,20,7,0,116.35062,40.07414,50.25,indoor
561,8969,16,278,15,8,20,325,9,124,20,6,0,116.35063,40.07414,49.76,indoor
558,8935,16,278,14,8,20,315,9,124,20,6,0,116.35063,40.07413,49.61,indoor
598,9573,16,278,14,9,21,340,9,124,20,5,0,116.35063,40.07413,49.6,indoor
553,8843,16,278,14,8,20,324,9,124,20,5,0,116.35063,40.07413,49.51,indoor
605,9680,16,278,14,9,21,343,9,124,20,5,0,116.35063,40.07413,49.51,indoor
622,9948,16,278,14,9,22,351,9,124,20,4,0,116.35063,40.07413,49.42,indoor
585,9361,16,278,14,8,21,330,9,124,20,4,0,116.35063,40.07413,49.36,indoor
582,9313,16,278,14,8,20,321,10,125,20,4,0,116.35063,40.07413,49.21,indoor
593,9489,16,278,14,8,21,330,10,125,20,4,0,116.35063,40.07413,49.26,indoor
620,9299,15,278,12,7,20,305,10,125,20,4,0,116.35063,40.07413,49.24,indoor
582,8726,15,278,12,7,19,291,10,125,20,4,0,116.35063,40.07413,49.2,indoor
552,8273,15,278,12,5,19,287,10,125,20,4,0,116.35063,40.07413,49.19,indoor
596,8935,15,278,12,6,20,296,9,125,20,5,0,116.35063,40.07413,49.2,indoor
565,8476,15,278,13,4,19,290,9,125,20,4,0,116.35063,40.07413,49.19,indoor
568,8515,15,278,13,6,19,286,9,125,20,4,0,116.35063,40.07413,49.17,indoor
