elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
735,2206,3,306,2,1,17,52,1,135,22,84,0,116.29525,40.04919,38.34,indoor
902,3606,4,306,2,1,18,71,2,135,22,75,0,116.29524,40.04919,38.5,indoor
954,4771,5,306,3,3,19,96,2,135,22,56,0,116.29525,40.04919,38.53,indoor
929,4647,5,306,3,3,19,93,4,134,22,43,0,116.29525,40.04919,39.97,indoor
926,5559,6,306,3,3,19,116,4,134,22,41,0,116.29525,40.04919,40.26,indoor
916,5497,6,306,3,2,19,115,4,133,22,34,0,116.29525,40.04919,40.43,indoor
959,5754,6,306,4,3,20,120,4,133,22,31,0,116.29525,40.04919,40.69,indoor
947,5682,6,306,4,3,20,119,4,133,22,30,0,116.29526,40.0492,41.12,indoor
830,4982,6,306,4,2,18,108,4,132,21,27,0,116.29526,40.0492,41.42,indoor
870,5223,6,306,5,2,19,112,3,132,21,28,0,116.29526,40.0492,41.42,indoor
872,5230,6,306,6,1,19,113,4,132,21,27,0,116.29526,40.0492,41.53,indoor
872,5230,6,306,6,1,19,113,4,132,21,27,0,116.29526,40.0492,41.55,indoor
859,6011,7,306,7,1,18,129,4,132,21,25,0,116.29526,40.0492,41.56,indoor
869,6086,7,306,7,1,19,131,5,132,21,24,0,116.29526,40.0492,41.53,indoor
824,5770,7,306,7,1,19,130,5,132,21,24,0,116.29526,40.0492,41.55,indoor
882,6175,7,306,7,2,19,136,5,132,21,26,0,116.29526,40.0492,41.57,indoor
861,6024,7,306,7,1,19,132,5,132,21,30,0,116.29526,40.0492,41.55,indoor
793,6345,8,306,7,1,19,149,5,132,21,32,0,116.29526,40.0492,41.48,indoor
820,6561,8,306,7,2,19,154,4,132,21,30,0,116.29526,40.0492,41.53,indoor
834,6669,8,306,7,2,20,157,4,132,21,29,0,116.29526,40.0492,41.54,indoor
858,6867,8,306,7,2,20,161,5,132,21,27,0,116.29526,40.0492,41.58,indoor
838,6700,8,306,7,3,19,155,4,132,21,26,0,116.29527,40.0492,41.66,indoor
872,6972,8,306,7,3,20,162,5,132,21,25,0,116.29527,40.0492,41.85,indoor
851,6810,8,306,7,3,20,159,5,132,21,25,0,116.29527,40.0492,41.88,indoor
783,6264,8,306,7,3,19,152,5,132,21,24,0,116.29527,40.0492,42.02,indoor
761,6085,8,306,7,2,18,148,5,132,21,23,0,116.29527,40.0492,42.24,indoor
771,6170,8,306,7,2,19,150,5,132,21,20,0,116.29527,40.0492,42.27,indoor
785,6282,8,306,7,3,19,152,5,132,21,19,0,116.29527,40.0492,42.13,indoor
794,6353,8,306,7,3,19,153,5,132,21,18,0,116.29527,40.0492,42.13,indoor
806,6446,8,306,7,3,19,153,5,131,21,19,0,116.29527,40.0492,42.52,indoor
806,6446,8,306,7,3,19,153,5,131,21,21,0,116.29527,40.0492,42.52,indoor
806,6446,8,306,7,3,19,153,5,131,21,22,0,116.29527,40.0492,42.53,indoor
799,6395,8,306,7,2,19,151,4,131,21,24,0,116.29527,40.0492,42.47,indoor
799,6395,8,306,7,2,19,151,3,131,21,26,0,116.29527,40.0492,42.46,indoor
768,6146,8,306,7,2,18,148,3,131,21,30,0,116.29527,40.0492,42.46,indoor
768,6146,8,306,7,2,18,148,3,131,21,33,0,116.29527,40.0492,42.46,indoor
768,6146,8,306,7,2,18,148,2,131,21,35,0,116.29527,40.0492,42.46,indoor
746,5972,8,306,6,2,18,144,2,131,21,38,0,116.29527,40.0492,42.46,indoor
746,5972,8,306,6,2,18,144,3,131,21,39,0,116.29527,40.0492,42.44,indoor
753,5269,7,306,5,2,18,125,2,131,21,41,0,116.29527,40.0492,42.44,indoor
753,5269,7,306,5,2,18,125,2,131,21,42,0,116.29527,40.0492,42.44,indoor
619,4335,7,306,3,1,15,108,1,131,21,43,0,116.29527,40.0492,42.44,indoor
688,4128,6,306,3,1,16,93,2,131,21,42,0,116.29527,40.0492,42.44,indoor
688,4128,6,306,3,1,16,93,2,131,21,45,0,116.29527,40.0492,42.44,indoor
652,3913,6,306,2,1,15,88,1,131,21,47,0,116.29527,40.0492,42.44,indoor
652,3913,6,306,2,1,15,88,2,131,21,48,0,116.29527,40.0492,42.44,indoor
618,3707,6,306,1,1,14,85,2,131,21,49,0,116.29527,40.0492,42.44,indoor
618,3707,6,306,1,1,14,85,3,131,21,47,0,116.29527,40.0492,42.44,indoor
618,3707,6,306,1,1,14,85,2,131,21,50,0,116.29527,40.0492,42.44,indoor
652,3915,6,306,2,1,15,88,2,131,21,51,0,116.29527,40.0492,42.35,indoor
896,4482,5,306,2,1,16,79,3,131,21,47,0,116.29527,40.0492,42.33,indoor
1003,6020,6,306,3,2,17,100,2,131,21,38,0,116.29527,40.0492,42.33,indoor
1003,6020,6,306,3,2,17,100,3,132,21,29,0,116.29527,40.0492,41.95,indoor
1027,6164,6,306,3,2,17,103,3,132,21,24,0,116.29527,40.0492,41.94,indoor
975,6826,7,306,3,2,17,117,4,131,21,23,0,116.29527,40.0492,42.42,indoor
975,6826,7,306,3,2,17,117,4,131,21,23,0,116.29527,40.0492,42.42,indoor
985,6897,7,306,3,2,17,119,3,131,21,23,0,116.29527,40.0492,42.43,indoor
985,6897,7,306,3,2,17,119,4,131,21,21,0,116.29527,40.0492,42.4,indoor
985,6897,7,306,3,2,17,119,3,131,21,22,0,116.29527,40.0492,42.4,indoor
985,6897,7,306,3,2,17,119,3,131,21,22,0,116.29527,40.0492,42.41,indoor
985,6897,7,306,3,2,17,119,1,131,21,25,0,116.29527,40.0492,42.41,indoor
966,6760,7,306,3,2,17,116,1,131,21,27,0,116.29527,40.0492,42.41,indoor
913,6391,7,306,2,2,16,111,2,131,21,31,0,116.29527,40.0492,42.41,indoor
786,5504,7,306,1,1,14,98,2,131,21,34,0,116.29527,40.0492,42.4,indoor
786,5504,7,306,1,1,14,98,2,131,21,34,0,116.29527,40.0492,42.4,indoor
786,5504,7,306,1,1,14,98,2,131,21,33,0,116.29527,40.0492,42.4,indoor
786,5504,7,306,1,1,14,98,2,131,21,34,0,116.29527,40.0492,42.4,indoor
786,5504,7,306,1,1,14,98,2,131,21,35,0,116.29527,40.0492,42.4,indoor
786,5504,7,278,1,1,14,98,1,131,21,34,0,116.29527,40.0492,42.4,indoor
786,5504,7,278,1,1,14,98,0,131,21,34,0,116.29527,40.0492,42.39,indoor
786,5504,7,278,1,1,14,98,0,131,21,35,0,116.29527,40.0492,42.39,indoor
786,5504,7,278,1,1,14,98,0,131,21,37,0,116.29527,40.0492,42.39,indoor
851,5107,6,250,1,1,14,87,0,131,21,43,0,116.29527,40.0492,42.4,indoor
854,5121,6,278,1,1,14,87,0,131,21,50,0,116.29527,40.0492,42.41,indoor
915,4577,5,278,1,1,14,72,1,131,21,43,0,116.29527,40.0492,42.42,indoor
887,5321,6,278,2,1,15,91,1,131,21,38,0,116.29527,40.0492,42.43,indoor
927,5561,6,278,3,1,16,95,2,131,21,29,0,116.29527,40.0492,42.43,indoor
927,5561,6,278,3,1,16,95,3,131,21,28,0,116.29527,40.0492,42.39,indoor
980,4898,5,278,3,1,16,80,3,131,21,27,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,3,131,21,28,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,3,131,21,29,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,3,131,21,30,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,2,131,21,33,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,0,131,21,38,0,116.29527,40.0492,42.39,indoor
1094,4376,4,278,3,1,17,69,0,90,15,47,1,116.29515,40.04878,84.08,indoor
1011,4043,4,278,3,0,16,65,0,90,15,47,1,116.29515,40.04878,84.08,indoor
942,3766,4,278,2,0,15,61,1,131,21,61,0,116.29527,40.0492,42.4,indoor
942,3766,4,278,2,0,15,61,1,131,21,72,0,116.29527,40.0492,42.4,indoor
942,3766,4,278,2,0,15,61,1,131,21,69,0,116.29527,40.0492,42.4,indoor
942,3766,4,278,2,0,15,61,1,131,21,65,0,116.29527,40.0492,42.4,indoor
942,3766,4,278,2,0,15,61,1,131,21,60,0,116.29527,40.0492,42.4,indoor
942,3766,4,278,2,0,15,61,1,131,21,57,0,116.29527,40.0492,42.4,indoor
