elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
1323,6615,5,250,5,5,37,185,2,126,20,120,0,116.26734,40.04218,47.4,outdoor
1013,6079,6,250,6,6,33,196,5,125,20,23,0,116.26734,40.04213,49.32,outdoor
992,5954,6,250,6,6,33,196,6,122,20,14,0,116.26734,40.04209,52.02,outdoor
1056,11617,11,250,11,11,31,342,6,120,19,12,0,116.26735,40.04207,53.43,outdoor
1176,15286,13,250,13,13,31,397,6,118,19,12,0,116.26735,40.04208,55.4,outdoor
1230,15990,13,250,13,13,31,406,6,119,19,10,0,116.26735,40.04209,55.0,outdoor
1214,15776,13,250,13,13,31,402,6,118,19,9,0,116.26735,40.04209,56.32,outdoor
1212,15762,13,250,13,13,31,404,6,116,19,9,0,116.26735,40.04209,58.17,outdoor
1237,16075,13,250,13,13,32,411,6,115,19,8,0,116.26735,40.04209,58.61,outdoor
1379,16552,12,250,12,12,32,383,5,62,10,7,4,116.26743,40.04176,111.45,outdoor
1275,16573,13,250,13,13,31,406,5,62,10,7,3,116.26744,40.04176,111.91,outdoor
1230,17219,14,250,14,14,30,421,5,63,10,7,1,116.26745,40.04177,110.53,outdoor
1335,16016,12,250,12,12,31,377,5,66,11,7,4,116.26745,40.04178,107.86,outdoor
1224,14692,12,250,12,12,31,369,5,68,11,7,3,116.26745,40.04179,105.43,outdoor
1233,14797,12,250,12,12,30,363,5,70,11,7,3,116.26746,40.0418,103.63,outdoor
1262,17667,14,250,14,14,31,429,5,74,12,6,3,116.26746,40.04181,99.97,outdoor
1234,17276,14,250,14,14,30,423,5,76,12,6,4,116.26746,40.04183,98.17,outdoor
1222,14660,12,250,12,12,31,375,5,78,13,6,4,116.26746,40.04185,95.65,outdoor
1293,15515,12,250,12,11,33,392,8,81,13,5,4,116.26747,40.04188,92.84,outdoor
1266,15190,12,250,12,12,32,381,8,82,13,5,4,116.26748,40.0419,92.09,outdoor
1269,15226,12,250,12,12,31,376,8,83,13,5,4,116.26748,40.04192,90.77,outdoor
1292,15505,12,250,12,12,32,386,8,86,14,5,3,116.26749,40.04194,88.29,outdoor
1307,15684,12,250,12,12,32,385,8,87,14,5,4,116.2675,40.04195,86.99,outdoor
1265,15181,12,250,12,12,32,388,8,89,14,5,5,116.26751,40.04197,84.53,outdoor
1317,17127,13,250,13,13,31,408,8,91,15,5,5,116.26751,40.04199,82.75,outdoor
1243,16158,13,250,13,13,31,399,8,93,15,5,3,116.26751,40.042,80.85,outdoor
1177,15295,13,250,13,13,29,379,8,94,15,5,4,116.26751,40.04202,79.67,outdoor
1122,15709,14,250,14,13,28,395,8,98,16,4,2,116.26752,40.04205,76.09,outdoor
1172,15233,13,250,13,13,29,378,9,100,16,4,2,116.26753,40.04206,74.23,outdoor
1122,14590,13,250,13,13,29,375,9,102,16,4,3,116.26753,40.04206,72.26,outdoor
1134,15875,14,250,14,14,29,408,9,106,17,4,1,116.26753,40.04208,68.25,outdoor
1238,14850,12,250,12,12,30,364,9,109,18,4,2,116.26752,40.04209,64.93,outdoor
1246,14955,12,250,12,12,31,368,9,110,18,4,2,116.26751,40.0421,64.03,outdoor
1184,13025,11,250,11,11,31,343,9,109,18,4,2,116.26751,40.0421,64.93,outdoor
1321,14528,11,250,11,11,32,356,9,111,18,4,2,116.2675,40.04211,62.35,outdoor
1240,14875,12,250,12,12,32,384,9,113,18,4,3,116.26749,40.04212,61.16,outdoor
1360,16319,12,250,12,12,33,397,8,113,18,4,2,116.26748,40.04213,61.06,outdoor
