elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
1211,16952,14,250,14,14,30,421,7,122,20,4,0,116.29464,40.04944,51.67,outdoor
1173,16424,14,250,14,13,29,410,8,122,20,4,0,116.29464,40.04944,52.1,outdoor
1271,16517,13,250,13,12,31,399,7,122,20,4,0,116.29464,40.04944,52.25,outdoor
1211,15737,13,250,13,13,30,388,7,122,20,4,0,116.29465,40.04944,51.81,outdoor
1345,16137,12,250,12,12,32,378,7,122,20,4,0,116.29465,40.04944,51.83,outdoor
1257,16340,13,250,13,13,31,402,8,121,20,4,0,116.29464,40.04944,52.34,outdoor
1255,16311,13,250,13,13,31,403,8,121,20,4,0,116.29464,40.04944,52.95,outdoor
1408,16893,12,250,12,12,32,390,8,120,19,4,0,116.29464,40.04944,53.52,outdoor
1528,16808,11,250,11,11,33,364,7,120,19,4,0,116.29464,40.04944,54.11,outdoor
1321,17176,13,250,13,12,30,394,7,120,19,4,0,116.29464,40.04945,53.52,outdoor
1316,17104,13,250,13,13,31,398,7,119,19,4,0,116.29464,40.04945,54.44,outdoor
1373,16473,12,250,12,12,32,379,7,120,19,4,0,116.29464,40.04945,54.21,outdoor
1333,15994,12,250,12,12,31,374,7,120,19,4,0,116.29465,40.04945,53.45,outdoor
1337,16046,12,250,12,12,31,373,7,121,20,4,0,116.29465,40.04945,52.51,outdoor
1329,15948,12,250,12,12,31,370,7,122,20,4,0,116.29466,40.04945,52.3,outdoor
1291,15495,12,250,12,11,30,365,7,122,20,4,0,116.29466,40.04944,51.78,outdoor
1255,16320,13,250,13,12,31,404,7,123,20,4,0,116.29467,40.04944,51.32,outdoor
1289,16757,13,250,13,13,32,410,7,123,20,4,1,116.29467,40.04944,50.8,outdoor
1276,17869,14,250,14,14,32,445,7,123,20,4,7,116.29467,40.04943,50.58,outdoor
1283,17957,14,250,14,13,31,440,8,123,20,5,5,116.29468,40.04942,51.16,outdoor
1265,17711,14,250,14,14,32,444,8,122,20,4,7,116.29469,40.0494,51.82,outdoor
1283,17960,14,250,14,14,32,448,8,122,20,4,4,116.29469,40.04939,52.06,outdoor
1318,18445,14,250,14,13,32,445,8,121,20,5,4,116.2947,40.04938,52.77,outdoor
1341,18780,14,250,14,14,32,452,8,120,19,4,5,116.2947,40.04937,53.57,outdoor
1365,19111,14,250,14,14,33,467,8,120,19,4,4,116.2947,40.04937,53.5,outdoor
1518,18222,12,250,12,12,34,406,8,120,19,4,4,116.29471,40.04936,53.53,outdoor
1446,18792,13,250,13,13,34,446,8,120,19,4,3,116.29471,40.04936,53.93,outdoor
1416,18413,13,250,13,13,34,439,8,119,19,4,5,116.29472,40.04935,54.42,outdoor
1419,18452,13,250,13,13,34,438,8,119,19,4,4,116.29472,40.04934,54.75,outdoor
1457,18942,13,250,13,13,34,447,8,119,19,4,4,116.29472,40.04933,54.57,outdoor
1464,19037,13,250,13,13,35,450,8,119,19,4,4,116.29472,40.04933,54.94,outdoor
1506,18076,12,250,12,12,34,408,8,119,19,4,4,116.29473,40.04932,55.04,outdoor
1343,18802,14,250,14,14,33,464,8,118,19,4,4,116.29473,40.04931,55.47,outdoor
1393,18106,13,250,13,13,33,431,8,118,19,4,4,116.29473,40.04931,55.51,outdoor
1335,18689,14,250,14,14,33,457,8,118,19,4,4,116.29474,40.0493,55.4,outdoor
1332,18652,14,250,14,14,33,459,8,118,19,4,4,116.29474,40.04929,55.55,outdoor
1393,18105,13,250,13,13,33,427,8,118,19,4,4,116.29474,40.04927,56.11,outdoor
1429,18573,13,250,13,13,34,436,8,118,19,4,4,116.29475,40.04926,55.46,outdoor
1421,18473,13,250,13,13,34,439,8,118,19,3,5,116.29475,40.04925,55.53,outdoor
1366,17758,13,250,13,13,32,420,8,118,19,3,5,116.29475,40.04923,55.33,outdoor
1394,18121,13,250,13,13,33,431,8,118,19,3,5,116.29476,40.04921,55.54,outdoor
1430,18590,13,250,13,12,34,436,8,117,19,3,5,116.29476,40.0492,56.65,outdoor
1493,17920,12,250,12,11,33,401,8,117,19,3,5,116.29476,40.04919,56.93,outdoor
1458,18951,13,250,13,12,34,441,8,117,19,3,5,116.29477,40.04917,57.01,outdoor
1418,18431,13,250,13,12,33,431,8,117,19,3,5,116.29477,40.04916,56.94,outdoor
1469,19103,13,250,13,13,34,443,8,117,19,3,5,116.29478,40.04914,57.27,outdoor
1465,19040,13,250,13,13,34,443,7,116,19,3,5,116.29478,40.04913,58.05,outdoor
1453,18889,13,250,13,13,34,436,7,115,19,3,5,116.29478,40.04911,58.75,outdoor
1420,18457,13,250,13,13,33,435,7,115,19,3,5,116.29478,40.0491,58.96,outdoor
1430,18585,13,250,13,13,34,446,7,115,19,3,6,116.29477,40.04908,58.37,outdoor
1284,17972,14,250,14,14,32,451,7,116,19,4,5,116.29476,40.04907,58.21,outdoor
1300,18202,14,250,14,14,32,455,7,115,19,4,5,116.29476,40.04905,58.58,outdoor
1304,18259,14,250,14,14,33,457,7,115,19,3,5,116.29477,40.04904,59.16,outdoor
1376,19264,14,250,14,14,34,474,7,115,19,3,5,116.29477,40.04902,58.86,outdoor
1340,18758,14,250,14,14,33,458,7,114,18,4,6,116.29477,40.049,59.36,outdoor
1369,19164,14,250,14,14,34,477,8,114,18,3,5,116.29476,40.04899,59.4,outdoor
1326,18564,14,250,14,13,33,461,8,114,18,3,5,116.29477,40.04898,60.08,outdoor
1331,18637,14,250,14,13,33,467,8,114,18,3,5,116.29477,40.04896,59.71,outdoor
1389,19448,14,250,14,13,34,482,8,114,18,3,5,116.29477,40.04895,59.36,outdoor
1371,19189,14,250,14,14,33,466,8,114,18,3,5,116.29478,40.04894,59.59,outdoor
1412,19769,14,250,14,14,34,483,8,114,18,4,5,116.29478,40.04893,59.93,outdoor
1377,19283,14,250,14,14,34,472,8,114,18,3,5,116.29479,40.04892,59.48,outdoor
1360,19034,14,250,14,14,34,470,8,114,18,4,5,116.29479,40.04891,59.48,outdoor
1325,18553,14,250,14,14,33,461,8,114,18,3,5,116.2948,40.0489,59.36,outdoor
1316,18426,14,250,14,14,33,461,8,114,18,4,5,116.29481,40.04888,59.76,outdoor
1311,18355,14,250,14,13,33,458,8,114,18,3,5,116.29481,40.04887,60.01,outdoor
1340,18756,14,250,14,14,34,471,8,114,18,3,5,116.29482,40.04886,59.43,outdoor
1391,18085,13,250,13,13,34,446,8,114,18,4,5,116.29482,40.04885,59.42,outdoor
1404,18246,13,250,13,13,35,451,8,114,18,4,5,116.29483,40.04884,59.5,outdoor
1328,18598,14,250,14,14,34,470,8,115,19,4,5,116.29484,40.04883,58.88,outdoor
1312,18369,14,250,14,14,33,461,8,115,19,4,5,116.29485,40.04881,58.36,outdoor
1293,18106,14,250,14,14,32,453,8,115,19,4,5,116.29485,40.0488,58.49,outdoor
