elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
745,12665,17,306,17,17,26,445,11,124,20,3,0,116.35058,40.07411,50.28,indoor
768,13050,17,306,17,17,27,461,11,123,20,3,0,116.35058,40.07411,50.33,indoor
787,13375,17,306,17,15,27,467,11,123,20,3,0,116.35058,40.07411,50.46,indoor
932,9325,10,278,10,10,31,313,6,124,20,8,0,116.35057,40.07413,49.39,indoor
991,9908,10,278,10,10,33,326,9,124,20,8,0,116.35057,40.07413,49.39,indoor
947,9474,10,278,10,10,31,310,9,124,20,5,0,116.35057,40.07413,49.47,indoor
962,14423,15,278,15,15,32,479,9,124,20,4,1,116.35057,40.07414,49.51,indoor
865,14701,17,278,17,16,31,525,10,126,20,3,1,116.35059,40.07412,47.71,indoor
894,15195,17,278,17,16,31,533,11,126,20,4,0,116.3506,40.07412,47.55,indoor
898,15272,17,278,17,14,32,537,11,126,20,4,0,116.3506,40.07411,48.09,indoor
892,15159,17,278,17,15,32,537,11,125,20,4,0,116.3506,40.07411,48.63,indoor
873,14844,17,278,17,14,31,534,10,125,20,4,0,116.3506,40.07411,48.5,indoor
833,14157,17,278,17,14,30,508,10,125,20,4,0,116.3506,40.07411,49.05,indoor
767,13033,17,278,17,14,27,465,10,125,20,4,0,116.3506,40.07412,48.78,indoor
751,13522,18,278,18,14,28,510,9,126,20,4,2,116.3506,40.07412,47.95,indoor
726,13073,18,278,18,15,27,493,9,127,21,4,2,116.3506,40.07411,47.08,indoor
702,12637,18,278,18,15,27,482,9,127,21,4,0,116.3506,40.07412,47.04,indoor
670,12056,18,278,18,14,25,458,9,127,21,4,2,116.35059,40.07412,47.2,indoor
687,12367,18,278,18,14,26,460,9,127,21,4,0,116.35059,40.07412,46.79,indoor
660,11888,18,278,18,13,24,437,9,127,21,4,0,116.35059,40.07413,47.12,indoor
691,12439,18,278,18,14,26,461,9,127,21,4,0,116.35059,40.07414,47.12,indoor
716,12894,18,278,18,15,27,485,9,127,21,4,0,116.35058,40.07414,47.32,indoor
657,11834,18,278,18,13,25,453,9,127,21,4,1,116.35058,40.07414,46.9,indoor
608,10941,18,278,18,12,23,409,9,127,21,4,0,116.35058,40.07415,46.72,indoor
564,10159,18,278,18,11,22,398,9,127,21,4,0,116.35058,40.07414,46.93,indoor
546,9837,18,278,18,10,21,386,9,127,21,4,0,116.35058,40.07414,46.97,indoor
546,9824,18,278,18,11,21,376,10,127,21,5,0,116.35058,40.07414,47.16,indoor
568,10219,18,278,18,11,21,380,9,127,21,5,0,116.35058,40.07414,47.09,indoor
574,10332,18,278,18,10,21,384,9,127,21,5,0,116.35058,40.07414,47.14,indoor
564,10147,18,278,18,9,21,378,9,127,21,5,0,116.35058,40.07414,47.27,indoor
558,10045,18,278,18,10,21,376,8,127,21,5,0,116.35058,40.07413,47.29,indoor
558,10049,18,278,18,11,21,386,9,127,21,5,0,116.35058,40.07413,47.21,indoor
600,10205,17,278,17,13,22,374,8,127,21,5,0,116.35058,40.07413,46.99,indoor
607,10322,17,278,16,14,22,369,8,127,21,5,0,116.35059,40.07412,46.67,indoor
588,10001,17,278,16,11,20,347,8,127,21,4,0,116.35059,40.07412,46.39,indoor
585,9951,17,278,15,11,21,350,8,128,21,4,0,116.35059,40.07411,46.03,indoor
568,10224,18,278,16,12,22,387,10,128,21,4,0,116.35059,40.07411,45.8,indoor
551,9914,18,278,16,11,21,381,10,128,21,4,0,116.35059,40.07411,45.9,indoor
550,9903,18,278,16,10,21,371,10,128,21,4,0,116.35059,40.07411,45.93,indoor
603,10848,18,278,16,12,22,404,10,128,21,3,0,116.35059,40.0741,45.85,indoor
631,11364,18,278,16,12,23,413,10,128,21,3,0,116.35059,40.0741,45.76,indoor
631,11366,18,278,17,13,24,425,11,128,21,4,0,116.35059,40.07409,45.62,indoor
636,11442,18,278,17,14,24,423,10,128,21,4,0,116.35059,40.07409,45.57,indoor
626,11273,18,278,17,13,24,424,10,128,21,4,0,116.35058,40.07409,45.46,indoor
580,10444,18,278,16,12,22,403,10,128,21,4,0,116.35058,40.07409,45.45,indoor
565,10175,18,278,15,12,21,386,10,128,21,4,0,116.35058,40.07409,45.65,indoor
550,9896,18,278,16,11,21,376,11,128,21,4,0,116.35058,40.07409,45.66,indoor
528,9496,18,278,16,10,21,378,11,128,21,4,0,116.35058,40.07409,45.66,indoor
559,10058,18,278,16,12,21,386,11,128,21,4,0,116.35058,40.07409,45.63,indoor
586,10545,18,278,16,14,23,406,11,128,21,4,0,116.35058,40.07409,45.79,indoor
580,10435,18,278,16,13,22,403,11,128,21,4,0,116.35058,40.07409,45.79,indoor
546,9820,18,278,16,11,21,375,10,128,21,4,0,116.35058,40.07409,45.8,indoor
535,9634,18,278,16,11,21,378,11,128,21,4,0,116.35058,40.07409,45.79,indoor
560,10083,18,278,16,13,22,389,10,128,21,4,0,116.35058,40.07409,45.81,indoor
577,10386,18,278,16,14,22,394,10,128,21,4,0,116.35058,40.07409,45.81,indoor
563,10142,18,278,16,12,22,391,10,128,21,4,0,116.35058,40.07409,45.8,indoor
543,9769,18,278,16,11,20,365,10,128,21,4,0,116.35058,40.07409,45.78,indoor
536,9655,18,278,15,10,19,348,9,128,21,4,0,116.35058,40.07409,45.78,indoor
529,9523,18,278,16,9,19,345,10,128,21,4,0,116.35058,40.07409,45.78,indoor
559,10063,18,278,16,10,20,361,10,128,21,4,0,116.35058,40.07409,45.77,indoor
559,10064,18,278,16,10,20,365,10,128,21,4,0,116.35058,40.07409,45.77,indoor
566,9625,17,278,16,9,20,346,10,128,21,4,0,116.35058,40.07409,45.77,indoor
545,9265,17,278,15,10,20,347,8,128,21,4,0,116.35058,40.07409,45.78,indoor
522,8876,17,278,15,8,19,329,9,128,21,4,0,116.35058,40.07409,45.77,indoor
514,8736,17,278,15,9,19,329,9,128,21,4,0,116.35058,40.07409,45.73,indoor
526,8942,17,278,15,10,20,340,9,128,21,4,0,116.35058,40.07409,45.69,indoor
524,8376,16,278,14,8,20,318,8,128,21,4,0,116.35058,40.07409,45.66,indoor
529,7936,15,278,13,7,20,296,9,128,21,4,0,116.35058,40.07409,45.66,indoor
530,7947,15,278,13,7,20,294,10,128,21,4,0,116.35058,40.07409,45.66,indoor
523,7847,15,278,13,6,19,283,8,128,21,4,0,116.35058,40.07409,45.65,indoor
540,7567,14,278,12,5,19,266,8,128,21,4,0,116.35058,40.07409,45.65,indoor
574,8039,14,278,12,5,20,275,8,128,21,4,0,116.35058,40.07409,45.65,indoor
634,8248,13,278,12,5,21,269,8,128,21,5,0,116.35058,40.07409,45.65,indoor
599,7792,13,278,12,6,20,262,7,128,21,5,0,116.35058,40.07409,45.66,indoor
598,7771,13,278,12,6,21,267,6,128,21,5,0,116.35058,40.07409,45.66,indoor
584,7591,13,278,12,6,19,251,7,128,21,5,0,116.35058,40.07409,45.66,indoor
575,7477,13,278,12,4,19,249,8,128,21,5,0,116.35058,40.07409,45.66,indoor
616,8007,13,278,12,5,20,258,8,128,21,10,0,116.35058,40.07409,45.66,indoor
603,7838,13,278,12,5,20,259,8,128,21,10,0,116.35058,40.07409,45.65,indoor
592,7693,13,278,12,5,19,251,8,128,21,10,0,116.35058,40.07409,45.66,indoor
704,8443,12,278,12,5,20,245,8,128,21,10,0,116.35058,40.07409,45.66,indoor
678,8132,12,278,12,5,20,241,8,128,21,10,0,116.35058,40.07409,45.66,indoor
709,8506,12,278,12,7,21,253,7,128,21,10,0,116.35058,40.07409,45.66,indoor
696,8346,12,278,12,7,21,255,7,128,21,10,0,116.35058,40.07409,45.66,indoor
