elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
705,2114,3,250,3,3,22,66,2,153,25,5,5,116.29484,40.04969,21.29,indoor
694,2081,3,250,3,2,22,65,3,158,26,14,4,116.2949,40.04973,16.13,indoor
725,2175,3,250,3,2,22,66,3,178,29,13,2,116.29485,40.04977,-4.46,indoor
734,2202,3,250,3,3,22,65,3,190,31,8,3,116.2948,40.04983,-16.34,indoor
768,2305,3,250,3,3,23,69,3,180,29,16,2,116.29491,40.04968,-6.3,indoor
718,2153,3,250,3,3,21,64,3,183,30,22,1,116.29499,40.04962,-8.75,indoor
709,2126,3,250,3,2,21,62,3,186,30,23,1,116.29501,40.04958,-12.54,indoor
582,2326,4,250,4,2,20,80,3,182,29,20,2,116.29499,40.04959,-8.36,indoor
530,2650,5,250,5,3,20,100,4,175,28,16,1,116.29501,40.04964,-0.84,indoor
497,2485,5,250,5,2,20,100,5,175,28,16,1,116.295,40.04962,-1.2,indoor
523,2616,5,250,5,3,21,106,5,172,28,17,6,116.295,40.04959,1.36,indoor
539,2693,5,250,5,4,22,109,5,173,28,16,5,116.29501,40.04957,0.77,indoor
588,2939,5,250,5,4,23,117,5,175,28,15,0,116.29501,40.04956,-1.04,indoor
550,2752,5,250,5,5,22,108,5,170,27,17,1,116.29501,40.04956,4.2,indoor
569,2847,5,250,5,4,24,118,5,168,27,16,2,116.295,40.04955,5.76,indoor
628,3765,6,250,6,4,22,135,5,158,26,15,2,116.295,40.04954,16.02,indoor
749,5246,7,250,7,5,22,156,5,156,25,16,2,116.29499,40.04953,17.45,indoor
726,5806,8,250,8,5,22,175,6,153,25,13,1,116.29499,40.04952,20.42,indoor
753,6026,8,250,8,7,23,182,6,151,24,12,1,116.29499,40.0495,23.26,indoor
727,5817,8,250,8,5,22,176,6,149,24,10,0,116.29499,40.0495,24.49,indoor
722,5776,8,250,8,6,22,174,6,153,25,9,1,116.29498,40.0495,21.14,indoor
747,5975,8,250,8,6,23,182,6,152,25,9,1,116.29497,40.0495,22.27,indoor
766,6124,8,250,8,5,23,186,6,151,24,9,0,116.29494,40.0495,22.75,indoor
747,5979,8,250,8,6,22,177,5,150,24,9,0,116.29492,40.0495,23.5,indoor
768,6910,9,250,8,6,22,194,5,150,24,8,0,116.2949,40.0495,24.08,indoor
772,6951,9,250,8,5,22,194,6,150,24,8,0,116.29489,40.0495,23.65,indoor
740,6661,9,250,8,4,20,184,6,149,24,7,0,116.29489,40.0495,24.86,indoor
758,6824,9,250,8,4,21,190,6,148,24,7,0,116.29488,40.0495,25.58,indoor
730,6568,9,250,8,4,21,185,6,147,24,7,0,116.29488,40.0495,26.65,indoor
748,6730,9,250,8,4,21,190,5,147,24,7,0,116.29487,40.0495,26.72,indoor
751,6762,9,250,8,3,21,185,5,147,24,7,0,116.29487,40.0495,26.95,indoor
796,7163,9,250,8,6,22,197,4,147,24,7,0,116.29487,40.0495,27.2,indoor
795,7152,9,250,8,6,22,196,4,146,24,7,0,116.29487,40.0495,27.75,indoor
775,6978,9,250,8,6,22,195,4,146,24,7,0,116.29487,40.0495,27.83,indoor
788,7091,9,250,7,6,21,192,4,145,23,7,0,116.29487,40.0495,28.33,indoor
745,6706,9,250,7,6,20,180,5,145,23,8,0,116.29487,40.0495,28.75,indoor
815,7336,9,250,7,6,22,200,5,145,23,9,0,116.29487,40.0495,29.07,indoor
783,7044,9,250,7,6,21,193,6,145,23,8,0,116.29486,40.0495,29.16,indoor
764,6873,9,250,7,6,21,188,6,145,23,8,0,116.29486,40.0495,29.22,indoor
727,5818,8,250,6,6,21,171,6,145,23,8,0,116.29486,40.0495,29.32,indoor
674,5396,8,250,6,6,20,164,6,144,23,10,0,116.29486,40.0495,29.71,indoor
701,5609,8,250,6,6,21,168,5,144,23,10,0,116.29486,40.0495,29.72,indoor
696,5566,8,250,6,6,20,164,5,144,23,9,0,116.29486,40.0495,29.84,indoor
699,5590,8,250,6,6,21,165,4,144,23,9,0,116.29486,40.0495,30.17,indoor
652,5219,8,250,6,5,20,157,4,144,23,8,0,116.29486,40.0495,30.21,indoor
610,4878,8,250,7,4,19,152,4,144,23,8,0,116.29486,40.0495,30.21,indoor
