elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
807,6453,8,222,5,2,17,134,2,85,14,192,0,116.26857,40.04269,88.99,indoor
807,6453,8,222,5,2,17,134,2,85,14,217,0,116.26857,40.0427,88.74,indoor
806,5642,7,222,4,3,17,122,2,85,14,242,0,116.26858,40.04272,88.77,indoor
751,3754,5,222,3,1,16,82,1,86,14,267,0,116.26857,40.04275,88.04,indoor
751,3754,5,222,3,1,16,82,0,86,14,267,0,116.26857,40.04275,88.04,indoor
657,2629,4,222,2,1,16,62,1,87,14,231,0,116.26857,40.04278,86.98,indoor
666,2666,4,222,2,1,16,63,1,86,14,224,0,116.26857,40.04275,87.39,indoor
672,2690,4,222,2,1,16,64,1,86,14,217,0,116.26859,40.04255,87.95,indoor
785,2356,3,194,2,1,17,50,1,86,14,203,0,116.2686,40.04255,87.64,indoor
881,2643,3,222,2,2,18,54,2,86,14,150,0,116.26859,40.04256,87.35,indoor
936,2809,3,222,2,1,19,57,2,86,14,117,2,116.26861,40.04256,87.72,indoor
957,2870,3,222,2,2,20,59,2,86,14,109,2,116.26861,40.04256,87.49,indoor
752,3006,4,222,3,1,18,71,2,87,14,103,3,116.26859,40.04257,87.29,indoor
846,3383,4,222,3,3,20,79,2,87,14,103,3,116.26859,40.04257,87.29,indoor
843,3371,4,222,3,3,20,79,2,88,14,87,7,116.2684,40.04287,86.23,indoor
844,3376,4,222,3,3,20,79,2,88,14,86,7,116.26839,40.04289,86.15,indoor
771,3084,4,222,3,1,18,73,2,89,14,62,3,116.26841,40.0429,84.41,indoor
757,3028,4,222,3,1,18,71,2,90,15,63,3,116.26844,40.04291,83.93,indoor
757,3028,4,222,3,1,18,71,2,90,15,68,4,116.26845,40.04292,83.82,indoor
743,3715,5,222,4,1,17,85,2,89,14,50,2,116.26847,40.04294,84.7,indoor
700,3501,5,222,4,1,16,82,3,91,15,51,3,116.26849,40.04296,83.2,indoor
700,3501,5,222,4,1,16,82,3,88,14,51,2,116.26849,40.04299,85.82,indoor
675,3375,5,222,4,0,15,77,3,88,14,53,2,116.2685,40.043,85.82,indoor
675,3375,5,222,4,0,15,77,3,88,14,54,2,116.26851,40.04303,86.32,indoor
660,3302,5,222,4,0,15,74,3,87,14,59,2,116.26851,40.04306,86.33,indoor
651,3254,5,222,4,0,15,74,3,88,14,63,3,116.26852,40.04308,85.99,indoor
668,3338,5,222,4,0,15,77,2,88,14,58,1,116.26853,40.04308,85.43,indoor
668,3338,5,222,4,0,15,77,1,88,14,61,2,116.26853,40.04309,85.38,indoor
703,3514,5,222,4,0,16,80,1,88,14,58,2,116.26852,40.0431,85.41,indoor
699,3495,5,222,4,0,16,79,1,89,14,58,2,116.2685,40.04308,85.05,indoor
692,3458,5,222,4,0,16,78,1,89,14,59,2,116.26849,40.04306,85.21,indoor
616,3693,6,222,4,0,15,92,2,89,14,48,2,116.26849,40.04304,85.14,indoor
676,4053,6,222,4,1,16,98,4,87,14,39,3,116.26847,40.04301,86.85,indoor
683,4096,6,222,4,1,16,99,4,84,14,31,3,116.26844,40.04301,89.33,indoor
675,4051,6,222,4,1,16,97,4,84,14,31,4,116.26842,40.04301,89.37,indoor
675,4051,6,222,4,1,16,97,4,85,14,27,6,116.26837,40.04301,88.82,indoor
624,3743,6,222,3,0,15,91,4,85,14,26,6,116.26833,40.04302,88.76,indoor
766,4594,6,222,5,2,19,112,4,85,14,23,5,116.26829,40.04303,88.59,indoor
766,4594,6,222,5,2,19,112,3,84,14,17,8,116.26824,40.04304,89.64,indoor
766,4594,6,222,5,2,19,112,3,89,14,18,5,116.26818,40.04305,85.16,indoor
766,4594,6,222,5,2,19,112,3,89,14,18,5,116.26818,40.04305,85.16,indoor
762,4569,6,222,5,2,19,112,3,89,14,22,4,116.26816,40.04304,84.96,indoor
755,4529,6,222,4,2,18,110,3,89,14,22,4,116.26815,40.04303,84.95,indoor
664,3984,6,222,4,1,17,100,2,88,14,23,5,116.26813,40.04301,85.71,indoor
618,4323,7,222,5,1,17,118,4,87,14,22,6,116.26809,40.043,86.44,indoor
654,4579,7,222,5,1,17,122,5,88,14,21,5,116.26808,40.04299,85.82,indoor
662,4634,7,222,5,2,18,123,5,89,14,21,6,116.26806,40.04297,85.22,indoor
617,4318,7,222,4,1,16,112,5,89,14,22,6,116.26804,40.04295,84.65,indoor
612,4281,7,222,4,1,16,111,5,90,15,19,2,116.26804,40.04294,83.86,indoor
612,4281,7,222,4,1,16,111,4,89,14,20,2,116.26805,40.04294,84.68,indoor
609,4262,7,222,4,1,16,110,3,89,14,22,2,116.26806,40.04294,84.68,indoor
591,4134,7,222,4,0,15,108,2,89,14,24,1,116.26807,40.04294,85.25,indoor
591,4134,7,222,4,0,15,108,2,89,14,28,0,116.2681,40.04294,85.11,indoor
622,4352,7,222,5,0,16,112,2,89,14,34,0,116.26811,40.04295,85.11,indoor
633,4433,7,222,5,0,16,114,3,90,15,34,4,116.26816,40.04294,83.45,indoor
620,4340,7,222,4,0,16,112,4,89,14,37,4,116.2682,40.04292,85.15,indoor
651,5211,8,222,4,0,16,125,5,89,14,41,4,116.26822,40.0429,85.19,indoor
651,5211,8,222,4,0,16,125,6,88,14,43,4,116.26824,40.04288,85.75,indoor
635,5083,8,222,4,0,15,123,6,88,14,46,4,116.26826,40.04286,85.73,indoor
667,5336,8,222,5,1,16,129,6,88,14,50,4,116.26827,40.04285,85.73,indoor
683,5467,8,222,5,1,16,131,5,86,14,47,3,116.26826,40.04284,87.86,indoor
692,5533,8,222,5,2,17,134,5,84,14,34,7,116.26809,40.04265,90.23,indoor
684,5474,8,222,5,2,17,133,4,83,13,30,4,116.26809,40.04266,90.82,indoor
668,5342,8,222,6,1,16,131,4,77,12,24,9,116.26806,40.04303,96.54,indoor
676,5411,8,222,6,2,16,132,5,77,12,23,3,116.26807,40.04303,97.32,indoor
722,5774,8,222,6,1,17,137,5,74,12,20,4,116.26807,40.04308,99.42,indoor
704,5632,8,222,6,1,17,135,5,75,12,17,2,116.26807,40.04309,99.0,indoor
704,5632,8,222,6,1,17,135,4,74,12,17,1,116.26806,40.04309,99.55,indoor
704,5632,8,222,6,1,17,135,4,74,12,18,1,116.26806,40.04309,99.5,indoor
704,5632,8,222,6,1,17,135,0,74,12,18,1,116.26806,40.04309,99.5,indoor
707,5656,8,222,6,1,17,135,0,74,12,18,1,116.26806,40.04309,99.5,indoor
704,5635,8,222,6,1,17,134,0,74,12,18,1,116.26806,40.04309,99.5,indoor
755,5286,7,222,5,2,17,122,0,74,12,18,1,116.26806,40.04309,99.5,indoor
755,5286,7,222,5,2,17,122,0,74,12,18,1,116.26806,40.04309,99.5,indoor
738,5168,7,222,4,2,17,118,0,74,12,18,1,116.26806,40.04309,99.5,indoor
716,4297,6,222,4,2,17,104,0,74,12,18,1,116.26806,40.04309,99.5,indoor
716,4297,6,222,4,2,17,104,0,74,12,18,1,116.26806,40.04309,99.5,indoor
716,4297,6,222,4,2,17,104,0,74,12,18,1,116.26806,40.04309,99.5,indoor
585,3512,6,222,3,0,15,91,4,80,13,67,3,116.26849,40.04256,93.62,indoor
585,3512,6,222,3,0,15,91,3,57,9,48,4,116.26849,40.0427,116.95,indoor
585,3512,6,222,3,0,15,91,0,57,9,48,4,116.26849,40.0427,116.95,indoor
624,3744,6,222,4,0,16,99,0,57,9,48,4,116.26849,40.0427,116.95,indoor
687,4807,7,222,5,0,16,112,0,57,9,48,4,116.26849,40.0427,116.95,indoor
703,5624,8,222,5,0,16,127,0,57,9,48,4,116.26849,40.0427,116.95,indoor
682,5456,8,222,4,0,15,123,0,57,9,48,4,116.26849,40.0427,116.95,indoor
689,5509,8,222,5,0,16,124,2,72,12,177,15,116.26885,40.04173,101.89,indoor
681,5449,8,222,5,0,15,122,2,72,12,156,15,116.26885,40.04169,101.87,indoor
683,5463,8,222,5,0,15,123,3,75,12,96,1,116.26873,40.04244,98.84,indoor
683,5463,8,222,5,0,15,123,3,75,12,96,1,116.26873,40.04244,98.84,indoor
683,5463,8,222,5,0,15,123,3,75,12,72,3,116.26858,40.04236,98.48,indoor
683,5463,8,222,5,0,15,123,2,75,12,59,4,116.2685,40.04235,98.46,indoor
683,5463,8,222,5,0,15,123,1,75,12,42,4,116.26849,40.04246,99.12,indoor
677,5418,8,222,5,0,15,122,1,75,12,42,5,116.26851,40.04247,99.06,indoor
650,4549,7,222,4,0,15,105,1,75,12,36,4,116.26856,40.04252,98.84,indoor
650,4549,7,222,4,0,15,105,1,75,12,36,4,116.26855,40.04252,98.85,indoor
641,4488,7,222,4,0,15,104,1,75,12,34,3,116.26854,40.04251,98.9,indoor
