elesnrave,elesnrtotal,numtotal,tenTotal,snr15num,snr20num,snrave,snrtotal,number,gpsz_tmean,gpsz_stdz,R,speed,gpsx,gpsy,gpsh,Class
830,6643,8,250,8,8,34,268,7,96,16,17,0,116.26738,40.04191,77.94,outdoor
934,8403,9,250,9,9,33,293,7,95,15,15,0,116.26738,40.0419,78.88,outdoor
924,8319,9,250,9,9,32,288,9,93,15,14,0,116.26739,40.0419,80.43,outdoor
1042,11463,11,250,11,11,33,364,9,91,15,13,0,116.26739,40.0419,82.38,outdoor
1076,11840,11,250,11,11,33,364,9,91,15,12,0,116.2674,40.04191,82.67,outdoor
1095,13140,12,250,12,11,32,378,8,89,14,13,0,116.2674,40.0419,85.02,outdoor
1094,13125,12,250,12,11,31,376,8,88,14,13,0,116.2674,40.0419,85.98,outdoor
1082,12981,12,250,12,11,31,373,8,88,14,13,0,116.2674,40.0419,85.98,outdoor
1086,13028,12,250,12,11,31,373,8,88,14,11,1,116.2674,40.04189,85.49,outdoor
1169,12854,11,250,11,10,33,358,8,89,14,10,7,116.26741,40.0419,85.04,outdoor
1178,14136,12,250,12,10,31,371,8,89,14,10,6,116.26741,40.04192,84.4,outdoor
1207,14482,12,250,12,10,31,374,8,90,15,9,5,116.26742,40.04193,83.78,outdoor
1106,15480,14,250,13,11,29,411,8,91,15,9,4,116.26742,40.04194,83.0,outdoor
1141,13687,12,250,11,9,31,367,8,93,15,9,4,116.26743,40.04195,81.06,outdoor
1176,14116,12,250,11,9,31,369,7,98,16,8,9,116.26743,40.04197,76.29,outdoor
1173,14081,12,250,11,9,31,373,7,99,16,8,6,116.26744,40.04198,74.95,outdoor
1054,14754,14,250,13,11,30,415,7,99,16,8,6,116.26744,40.04198,74.95,outdoor
1180,16513,14,250,14,11,30,423,7,105,17,7,6,116.26746,40.04202,68.63,outdoor
1211,16960,14,250,14,11,31,432,8,105,17,7,6,116.26746,40.04202,68.63,outdoor
1130,14684,13,250,13,10,31,397,7,109,18,7,4,116.26747,40.04206,64.64,outdoor
1161,15095,13,250,13,10,31,405,8,109,18,7,5,116.26747,40.04207,64.46,outdoor
1169,14028,12,250,11,9,31,374,8,109,18,7,3,116.26748,40.04208,64.84,outdoor
1078,14014,13,250,12,10,30,395,8,109,18,7,3,116.26748,40.04209,64.62,outdoor
1086,14113,13,250,12,10,30,392,9,112,18,7,5,116.26749,40.0421,61.35,outdoor
1065,13841,13,250,12,10,30,387,9,112,18,6,3,116.26749,40.04211,61.72,outdoor
1071,13921,13,250,12,10,30,391,8,113,18,6,3,116.26749,40.04212,60.66,outdoor
1043,13564,13,250,12,10,30,393,8,114,18,7,3,116.2675,40.04213,59.49,outdoor
973,12653,13,250,13,10,29,376,7,114,18,7,3,116.2675,40.04213,59.49,outdoor
989,13852,14,250,14,12,29,411,7,116,19,7,3,116.2675,40.04215,58.2,outdoor
1031,15470,15,250,15,13,29,431,8,116,19,7,3,116.2675,40.04215,58.2,outdoor
1033,14456,14,250,14,12,29,402,9,114,18,7,1,116.26751,40.04217,59.91,outdoor
997,13959,14,250,14,12,28,394,9,114,18,7,1,116.26751,40.04217,59.91,outdoor
1053,14744,14,250,14,13,30,413,9,112,18,7,2,116.26751,40.04217,61.61,outdoor
1039,14551,14,250,14,13,30,413,9,112,18,7,2,116.26751,40.04217,61.61,outdoor
1094,15316,14,250,14,13,30,415,9,110,18,9,9,116.2675,40.04215,63.33,outdoor
1123,13477,12,250,12,11,31,368,9,112,18,10,1,116.26749,40.04215,61.41,outdoor
1058,14805,14,250,14,12,30,423,9,112,18,10,4,116.26748,40.04215,62.11,outdoor
1108,13294,12,250,12,11,31,377,9,112,18,11,2,116.26748,40.04215,61.87,outdoor
1167,14001,12,250,12,11,32,386,9,113,18,9,2,116.26748,40.04215,60.89,outdoor
1180,14160,12,250,12,10,33,397,9,113,18,9,2,116.26748,40.04215,60.89,outdoor
1196,16741,14,250,14,12,32,444,9,114,18,10,0,116.26749,40.04216,60.04,outdoor
1224,15913,13,250,13,11,32,422,9,115,19,9,0,116.2675,40.04216,59.04,outdoor
1249,14992,12,250,12,10,33,396,9,115,19,9,0,116.2675,40.04216,59.04,outdoor
1181,12993,11,250,11,9,33,364,8,117,19,9,0,116.2675,40.04218,57.27,outdoor
1198,14380,12,250,12,10,32,388,8,117,19,9,0,116.2675,40.04218,57.27,outdoor
1191,16676,14,250,14,12,32,451,8,117,19,8,1,116.2675,40.04217,56.6,outdoor
1108,16617,15,250,14,13,31,463,8,117,19,8,2,116.2675,40.04217,57.22,outdoor
1041,14569,14,250,13,12,31,436,9,116,19,9,0,116.26749,40.04216,57.41,outdoor
1138,14800,13,250,12,11,33,425,9,118,19,8,1,116.2675,40.04216,55.55,outdoor
1212,15756,13,250,12,11,32,421,9,118,19,8,0,116.26749,40.04216,55.52,outdoor
1257,16337,13,250,12,11,32,418,9,119,19,7,1,116.26749,40.04215,54.42,outdoor
1178,14137,12,250,10,10,33,391,9,119,19,6,3,116.26749,40.04214,54.77,outdoor
1223,15898,13,250,11,11,33,423,9,119,19,6,3,116.26749,40.04213,54.93,outdoor
1190,15475,13,250,11,11,32,412,9,119,19,7,3,116.26749,40.04212,54.61,outdoor
1097,15364,14,250,12,12,30,426,8,119,19,7,0,116.26748,40.04211,54.67,outdoor
1054,13708,13,250,11,11,31,402,8,119,19,7,0,116.26747,40.0421,54.4,outdoor
1164,13963,12,250,10,10,33,392,8,120,19,7,0,116.26747,40.0421,54.18,outdoor
1212,15757,13,250,11,11,32,414,8,121,20,6,2,116.26746,40.04209,52.5,outdoor
1214,15782,13,250,12,11,32,415,8,121,20,6,3,116.26745,40.04208,52.42,outdoor
1221,15876,13,250,13,12,32,414,8,122,20,6,3,116.26744,40.04207,52.29,outdoor
